Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																		
Дата голосования: 18.09.2016																																		
																																		
Наименование Избирательной комиссии:    Староюрьевская																																		
																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																		
																																		
		Сумма	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	11685	460	147	579	745	446	185	222	224	294	1081	379	287	252	188	479	326	207	109	440	2094	846	870	825									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	11430	450	140	570	740	440	180	210	210	280	1050	370	270	240	180	470	310	200	110	430	2050	840	860	830									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5641	277	90	200	246	346	99	131	138	157	456	136	116	155	135	205	165	99	41	152	883	531	376	507									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1180	30	30	112	80	56	21	29	14	44	59	67	61	51	21	60	24	20	12	74	150	57	84	24									
6	Число погашенных избирательных бюллетеней	4609	143	20	258	414	38	60	50	58	79	535	167	93	34	24	205	121	81	57	204	1017	252	400	299									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1180	30	30	112	80	56	21	29	14	44	59	67	61	51	21	60	24	20	12	74	150	57	84	24									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5641	277	90	200	246	346	99	131	138	157	456	136	116	155	135	205	165	99	41	152	883	531	376	507									
9	Число недействительных избирательных бюллетеней	68	0	1	2	6	0	0	0	0	1	11	6	9	1	0	0	0	3	1	2	4	9	6	6									
10	Число действительных избирательных бюллетеней	6753	307	119	310	320	402	120	160	152	200	504	197	168	205	156	265	189	116	52	224	1029	579	454	525									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	130	2	2	5	5	3	5	5	4	0	8	5	5	5	6	5	4	4	2	5	14	10	10	16									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	70	0	0	1	2	2	2	0	4	0	3	2	1	2	6	1	1	0	1	5	13	6	2	16									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	44	1	2	6	2	2	1	1	4	1	1	1	3	1	2	2	2	0	0	1	9	0	0	2									
14	Число погашенных неиспользованных открепительных удостоверений	60	2	2	4	3	1	3	5	0	0	5	3	4	3	0	4	3	4	1	0	1	4	8	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	53	2	1	0	3	0	0	1	1	4	5	1	0	4	0	1	1	0	0	2	13	8	5	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																		
