Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																												
Дата голосования: 18.09.2016																												
																												
Наименование Избирательной комиссии:    Белоярская 																												
																												
Сводная таблица итогов голосования по федеральному избирательному округу																												
																												
		Сумма	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	17948	1417	1327	1196	1570	1190	1615	1236	1286	940	603	282	824	971	730	840	983	938									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	19000	1440	1350	1240	1600	1210	1750	1200	1300	1400	600	290	867	1080	798	905	1000	970									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	312	155									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	12739	898	763	811	969	791	982	788	948	915	291	238	809	947	725	836	365	663									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	348	11	2	6	2	3	53	3	3	25	71	0	0	15	0	0	103	51									
6	Число погашенных избирательных бюллетеней	5446	531	585	423	629	416	715	409	349	460	238	52	58	118	73	69	220	101									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	815	11	2	6	2	3	53	3	3	25	71	0	0	15	0	0	415	206									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	12733	898	763	811	967	791	982	788	948	915	291	238	809	943	725	836	365	663									
9	Число недействительных избирательных бюллетеней	306	42	21	5	2	23	51	27	45	0	6	4	9	10	32	3	8	18									
10	Число действительных избирательных бюллетеней	13242	867	744	812	967	771	984	764	906	940	356	234	800	948	693	833	772	851									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	641	40	40	40	40	40	40	40	40	40	25	10	40	66	40	40	30	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	433	21	15	30	21	7	25	16	40	16	15	4	40	66	40	23	26	28									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	74	1	3	1	5	7	0	3	5	3	3	0	20	1	9	10	0	3									
14	Число погашенных неиспользованных открепительных удостоверений	208	19	25	10	19	33	15	24	0	24	10	6	0	0	0	17	4	2									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	259	27	27	18	28	19	30	12	25	23	3	4	7	22	5	4	1	4									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	115	17	5	2	13	7	12	8	9	10	3	0	6	6	7	2	1	7									
		0.85%	1.87%	0.65%	0.24%	1.34%	0.88%	1.16%	1.01%	0.95%	1.06%	0.83%	0.00%	0.74%	0.63%	0.97%	0.24%	0.13%	0.81%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	202	15	6	14	33	16	16	19	21	7	10	8	6	5	13	2	2	9									
		1.49%	1.65%	0.78%	1.71%	3.41%	2.02%	1.55%	2.40%	2.21%	0.74%	2.76%	3.36%	0.74%	0.52%	1.79%	0.24%	0.26%	1.04%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	198	25	14	11	21	14	10	14	21	20	14	0	3	8	8	8	1	6									
		1.46%	2.75%	1.83%	1.35%	2.17%	1.76%	0.97%	1.77%	2.21%	2.13%	3.87%	0.00%	0.37%	0.84%	1.10%	0.96%	0.13%	0.69%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	9445	469	418	574	590	540	572	501	618	596	205	177	692	866	528	628	715	756									
		69.72%	51.60%	54.64%	70.26%	60.89%	68.01%	55.27%	63.34%	64.98%	63.40%	56.63%	74.37%	85.54%	90.40%	72.83%	75.12%	91.67%	86.99%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	68	6	3	4	12	5	8	2	7	6	4	0	1	2	2	3	0	3									
		0.50%	0.66%	0.39%	0.49%	1.24%	0.63%	0.77%	0.25%	0.74%	0.64%	1.10%	0.00%	0.12%	0.21%	0.28%	0.36%	0.00%	0.35%									
24	"6. Политическая партия ""Гражданская Платформа"""	12	2	2	0	0	0	4	0	0	0	0	0	0	0	1	2	1	0									
		0.09%	0.22%	0.26%	0.00%	0.00%	0.00%	0.39%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.14%	0.24%	0.13%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1950	205	184	122	201	118	206	123	146	205	80	36	52	23	99	98	25	27									
		14.39%	22.55%	24.05%	14.93%	20.74%	14.86%	19.90%	15.55%	15.35%	21.81%	22.10%	15.13%	6.43%	2.40%	13.66%	11.72%	3.21%	3.11%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	48	2	1	3	0	6	14	2	5	5	0	0	3	1	1	1	3	1									
		0.35%	0.22%	0.13%	0.37%	0.00%	0.76%	1.35%	0.25%	0.53%	0.53%	0.00%	0.00%	0.37%	0.10%	0.14%	0.12%	0.38%	0.12%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	73	4	11	4	6	7	6	6	0	6	4	0	2	5	4	3	2	3									
		0.54%	0.44%	1.44%	0.49%	0.62%	0.88%	0.58%	0.76%	0.00%	0.64%	1.10%	0.00%	0.25%	0.52%	0.55%	0.36%	0.26%	0.35%									
