Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																															
Дата голосования: 02.12.2007																															
																															
Наименование Избирательной комиссии:    Троицко-Печорская																															
																															
Сводная таблица результатов выборов																															
																															
		Сумма	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509					
1	"Число избирателей, внесенных в списки избирателей"	12407	126	910	696	66	291	148	395	192	417	189	54	515	675	1995	1093	171	2565	723	100	278	248	104	93	363					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	12969	150	1000	800	80	300	160	400	210	460	200	60	600	650	1950	1000	200	2569	800	110	300	350	110	110	400					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	7706	62	578	451	48	171	113	270	128	258	120	38	341	378	1192	579	131	1653	424	67	169	174	58	58	245					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	678	56	73	25	0	20	2	14	15	33	13	0	27	52	58	41	10	85	66	8	36	15	8	0	21					
6	Число погашенных избирательных бюллетеней	4585	32	349	324	32	109	45	116	67	169	67	22	232	220	700	380	59	831	310	35	95	161	44	52	134					
7	Число избирательных бюллетеней в переносных ящиках для голосования	678	56	73	25	0	20	2	14	15	33	13	0	27	52	58	41	10	85	66	8	36	15	8	0	21					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	7703	62	577	451	48	171	113	270	128	258	120	38	341	378	1191	579	131	1653	424	67	169	174	58	57	245					
9	Число недействительных избирательных бюллетеней	51	0	3	5	0	1	1	3	0	1	0	0	2	1	4	4	3	9	5	0	1	3	1	1	3					
10	Число действительных избирательных бюллетеней	8330	118	647	471	48	190	114	281	143	290	133	38	366	429	1245	616	138	1729	485	75	204	186	65	56	263					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	672	20	60	28	5	20	5	30	20	30	20	10	47	50	45	40	5	57	67	13	30	30	10	10	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	534	20	60	26	0	9	1	2	20	24	13	10	46	22	31	16	5	57	67	13	30	30	2	10	20					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	153	2	7	1	2	1	1	1	1	3	2	3	8	8	31	3	4	26	12	2	17	5	1	1	11					
14	Число погашенных неиспользованных открепительных удостоверений	138	0	0	2	5	11	4	28	0	6	7	0	1	28	14	24	0	0	0	0	0	0	8	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	78	0	3	8	0	2	2	1	0	0	1	0	1	8	16	9	1	19	4	0	3	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																															
18	1.Политическая партия «Аграрная партия России»	259	1	12	23	5	4	5	10	4	13	7	0	12	10	42	18	9	52	8	0	7	6	3	3	5					
		3.09%	0.85%	1.85%	4.83%	10.42%	2.09%	4.35%	3.52%	2.80%	4.47%	5.26%	0.00%	3.26%	2.33%	3.36%	2.90%	6.38%	2.99%	1.63%	0.00%	3.41%	3.17%	4.55%	5.26%	1.88%					
19	2.Всероссийская политическая партия «Гражданская Сила»	51	0	2	1	0	2	0	0	1	1	1	0	3	2	8	4	0	22	1	1	1	0	0	0	1					
		0.61%	0.00%	0.31%	0.21%	0.00%	1.05%	0.00%	0.00%	0.70%	0.34%	0.75%	0.00%	0.82%	0.47%	0.64%	0.65%	0.00%	1.27%	0.20%	1.33%	0.49%	0.00%	0.00%	0.00%	0.38%					
20	3.Политическая партия «Демократическая партия России»	10	0	1	1	0	0	0	0	1	0	0	0	0	0	2	0	0	4	0	0	0	0	0	0	1					
