Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																								
Дата голосования: 18.09.2016																																																								
																																																								
Наименование Избирательной комиссии:    Чебаркульская																																																								
																																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																																								
																																																								
		Сумма	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №2222	УИК №2223	УИК №2259									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	22833	1049	416	351	364	1661	506	148	544	2213	237	226	251	276	205	280	182	537	133	191	782	258	105	647	877	484	468	122	1938	201	483	351	621	198	174	243	1271	238	188	381	646	218	187	160	1666	156									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	18622	850	330	230	300	1330	460	130	440	1800	190	190	200	220	170	230	170	410	100	155	630	210	100	520	700	385	380	100	1570	160	400	280	500	160	140	200	1050	195	150	310	630	155	167	150	1335	140									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	9543	390	148	71	188	642	280	62	227	756	124	103	126	136	81	108	94	280	79	126	348	120	63	297	329	153	132	72	893	71	208	143	212	84	86	111	458	145	73	175	299	62	109	65	727	87									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	990	41	6	95	5	101	35	14	31	98	0	8	2	16	10	14	5	21	7	7	13	8	4	37	21	44	22	4	31	5	17	24	6	5	10	12	13	11	13	34	48	27	5	29	25	6									
6	Число погашенных избирательных бюллетеней	8089	419	176	64	107	587	145	54	182	946	66	79	72	68	79	108	71	109	14	22	269	82	33	186	350	188	226	24	646	84	175	113	282	71	44	77	579	39	64	101	283	66	53	56	583	47									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	990	41	6	95	5	101	35	14	31	98	0	8	2	16	10	14	5	21	7	7	13	8	4	37	21	44	22	4	31	5	17	24	6	5	10	12	13	11	13	34	48	27	5	29	25	6									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	9542	390	148	71	188	642	280	62	227	756	124	103	126	136	81	108	94	280	79	126	348	120	63	297	329	153	132	72	893	71	208	143	212	84	86	111	458	145	73	175	299	62	109	65	726	87									
9	Число недействительных избирательных бюллетеней	275	7	2	1	1	30	6	0	4	48	1	0	2	1	0	4	4	6	0	1	8	3	2	1	15	8	1	2	43	1	2	6	5	1	1	3	12	1	2	2	5	1	3	0	26	3									
10	Число действительных избирательных бюллетеней	10257	424	152	165	192	713	309	76	254	806	123	111	126	151	91	118	95	295	86	132	353	125	65	333	335	189	153	74	881	75	223	161	213	88	95	120	459	155	84	207	342	88	111	94	725	90									
