Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																													
Дата голосования: 18.09.2016																																																													
																																																													
Наименование Избирательной комиссии:    Нефтекамская городская																																																													
																																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																																													
																																																													
		Сумма	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	103856	2171	2070	935	2450	825	2999	2947	2748	3333	2865	1936	1081	154	2857	2872	2908	2729	2558	2524	2305	2853	2050	1506	1186	2509	2175	2262	2071	151	1285	1411	2121	1980	1105	1963	1994	2876	2901	1444	3019	2881	1516	2022	1139	1584	2463	1513	1763	2150	2696									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	96160	2000	1900	850	2250	750	2700	2650	2600	2900	2900	1850	1150	150	2600	2700	2600	2600	2400	2300	2100	2600	1850	1400	1250	2100	2000	2100	1900	160	1200	1300	2000	1800	1000	1850	1850	2700	2700	1350	2700	2600	1600	1900	1200	1450	2250	1400	1600	1950	2450									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	54607	670	623	389	1755	420	2219	2218	1186	2510	1299	856	432	48	1983	1387	1245	2566	928	1120	752	1731	1498	672	882	1435	1646	811	930	112	412	1089	897	669	448	680	762	1029	1015	367	1896	1350	530	855	730	1299	1897	458	1339	1676	886									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1368	19	248	130	50	2	10	27	14	11	196	17	16	60	9	28	39	26	17	13	5	10	19	14	8	23	20	10	13	10	2	7	3	3	6	10	6	15	8	0	5	4	2	14	8	15	24	53	33	49	37									
6	Число погашенных избирательных бюллетеней	40185	1311	1029	331	445	328	471	405	1400	379	1405	977	702	42	608	1285	1316	8	1455	1167	1343	859	333	714	360	642	334	1279	957	38	786	204	1100	1128	546	1160	1082	1656	1677	983	799	1246	1068	1031	462	136	329	889	228	225	1527									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1368	19	248	130	50	2	10	27	14	11	196	17	16	60	9	28	39	26	17	13	5	10	19	14	8	23	20	10	13	10	2	7	3	3	6	10	6	15	8	0	5	4	2	14	8	15	24	53	33	49	37									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	54590	670	623	389	1755	420	2219	2218	1186	2510	1299	856	431	48	1974	1387	1245	2566	927	1120	752	1731	1498	672	882	1435	1646	807	930	112	410	1089	897	669	448	680	762	1029	1015	367	1896	1350	530	855	730	1299	1897	458	1339	1676	886									
9	Число недействительных избирательных бюллетеней	637	11	8	4	6	8	0	0	0	0	24	21	19	0	16	1	11	6	46	0	47	1	0	5	0	27	0	25	2	4	9	24	9	8	14	16	35	13	41	13	0	4	17	4	25	5	2	7	20	25	54									
10	Число действительных избирательных бюллетеней	55321	678	863	515	1799	414	2229	2245	1200	2521	1471	852	428	108	1967	1414	1273	2586	898	1133	710	1740	1517	681	890	1431	1666	792	941	118	403	1072	891	664	440	674	733	1031	982	354	1901	1350	515	865	713	1309	1919	504	1352	1700	869									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	914	15	15	15	15	5	25	15	35	25	35	20	10	2	25	25	15	15	25	15	25	36	15	10	10	25	15	25	25	2	10	10	15	15	10	15	15	25	35	20	15	35	20	25	20	10	25	10	10	17	17									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	673	5	7	7	12	1	19	15	27	25	28	13	5	1	22	19	15	15	20	8	16	27	14	10	7	19	7	17	20	2	7	7	12	9	8	12	13	16	28	10	10	27	9	19	13	10	21	10	7	11	11									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	336	6	5	4	7	5	5	5	13	7	14	4	4	3	8	12	8	4	9	5	4	1	17	5	5	6	3	5	25	1	8	1	2	8	6	7	9	2	7	2	16	3	4	3	14	3	3	6	2	6	24									
14	Число погашенных неиспользованных открепительных удостоверений	241	10	8	8	3	4	6	0	8	0	7	7	5	1	3	6	0	0	5	7	9	9	1	0	3	6	8	8	5	0	3	3	3	6	2	3	2	9	7	10	5	8	11	6	7	0	4	0	3	6	6									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	136	6	3	1	2	1	5	3	5	5	8	2	1	0	3	2	5	7	2	3	3	5	1	3	1	2	6	4	1	0	0	5	5	0	1	1	3	4	2	1	5	5	3	1	0	4	1	2	0	2	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	324	12	12	5	3	9	0	0	10	4	10	8	6	2	11	6	5	0	16	8	8	17	0	4	0	0	4	14	2	1	3	17	1	9	6	14	13	5	14	5	0	5	5	4	4	0	0	7	14	16	5									
		0.58%	1.74%	1.38%	0.96%	0.17%	2.13%	0.00%	0.00%	0.83%	0.16%	0.67%	0.92%	1.34%	1.85%	0.55%	0.42%	0.39%	0.00%	1.69%	0.71%	1.06%	0.98%	0.00%	0.58%	0.00%	0.00%	0.24%	1.71%	0.21%	0.82%	0.73%	1.55%	0.11%	1.34%	1.32%	2.03%	1.69%	0.48%	1.37%	1.36%	0.00%	0.37%	0.94%	0.46%	0.54%	0.00%	0.00%	1.37%	1.02%	0.93%	0.54%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	779	14	31	4	2	20	2	0	0	0	45	23	21	3	25	11	6	0	38	13	31	32	0	10	0	6	10	32	0	1	23	33	1	25	3	47	39	15	57	18	0	7	23	2	29	0	0	21	11	35	10									
		1.39%	2.03%	3.56%	0.77%	0.11%	4.74%	0.09%	0.00%	0.00%	0.00%	3.01%	2.63%	4.70%	2.78%	1.26%	0.78%	0.47%	0.00%	4.03%	1.15%	4.10%	1.84%	0.00%	1.46%	0.00%	0.41%	0.60%	3.92%	0.00%	0.82%	5.58%	3.01%	0.11%	3.72%	0.66%	6.81%	5.08%	1.44%	5.57%	4.90%	0.00%	0.52%	4.32%	0.23%	3.93%	0.00%	0.00%	4.11%	0.80%	2.03%	1.08%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	534	2	14	13	8	19	9	0	17	8	18	17	20	1	9	6	8	7	26	12	18	15	0	5	0	7	5	18	0	0	6	26	1	15	12	10	28	26	22	5	0	3	12	8	10	9	13	13	3	16	14									
		0.95%	0.29%	1.61%	2.50%	0.44%	4.50%	0.40%	0.00%	1.42%	0.32%	1.20%	1.95%	4.47%	0.93%	0.45%	0.42%	0.62%	0.27%	2.75%	1.06%	2.38%	0.86%	0.00%	0.73%	0.00%	0.48%	0.30%	2.20%	0.00%	0.00%	1.46%	2.37%	0.11%	2.23%	2.64%	1.45%	3.65%	2.49%	2.15%	1.36%	0.00%	0.22%	2.26%	0.92%	1.36%	0.68%	0.68%	2.54%	0.22%	0.93%	1.52%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	29305	428	414	303	942	188	1162	1393	682	1310	895	422	168	76	1042	829	752	1296	399	625	299	905	788	402	471	741	862	345	501	83	161	578	468	363	233	289	286	521	391	129	1178	701	207	446	433	694	1345	232	715	749	463									
		52.37%	62.12%	47.53%	58.38%	52.19%	44.55%	52.13%	62.05%	56.83%	51.96%	59.87%	48.34%	37.58%	70.37%	52.55%	58.59%	58.57%	50.00%	42.27%	55.16%	39.50%	51.98%	51.94%	58.60%	52.92%	50.82%	51.74%	42.23%	53.13%	68.03%	39.08%	52.74%	52.00%	54.02%	51.32%	41.88%	37.24%	49.90%	38.22%	35.15%	61.97%	51.77%	38.91%	51.32%	58.67%	52.82%	70.02%	45.40%	52.11%	43.42%	50.16%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	237	0	0	2	5	3	7	0	3	2	10	9	1	0	9	2	7	0	9	5	6	36	0	6	0	6	2	5	0	0	8	11	1	6	5	4	5	3	18	8	0	3	8	2	1	0	0	0	4	5	10									
		0.42%	0.00%	0.00%	0.39%	0.28%	0.71%	0.31%	0.00%	0.25%	0.08%	0.67%	1.03%	0.22%	0.00%	0.45%	0.14%	0.55%	0.00%	0.95%	0.44%	0.79%	2.07%	0.00%	0.87%	0.00%	0.41%	0.12%	0.61%	0.00%	0.00%	1.94%	1.00%	0.11%	0.89%	1.10%	0.58%	0.65%	0.29%	1.76%	2.18%	0.00%	0.22%	1.50%	0.23%	0.14%	0.00%	0.00%	0.00%	0.29%	0.29%	1.08%									
24	"6. Политическая партия ""Гражданская Платформа"""	410	0	9	5	4	4	8	0	8	6	13	15	9	0	11	3	5	0	16	10	11	50	15	4	8	6	3	20	1	2	7	32	1	7	6	10	12	2	18	5	0	5	11	1	7	0	0	7	9	11	13									
