Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																									
Дата голосования: 02.12.2007																																																									
																																																									
Наименование Избирательной комиссии:    ТИК Орджоникидзевского района г.Перми																																																									
																																																									
Сводная таблица результатов выборов																																																									
																																																									
		Сумма	УИК №3301	УИК №3302	УИК №3303	УИК №3304	УИК №3305	УИК №3306	УИК №3307	УИК №3308	УИК №3309	УИК №3310	УИК №3311	УИК №3312	УИК №3313	УИК №3314	УИК №3315	УИК №3316	УИК №3317	УИК №3318	УИК №3319	УИК №3320	УИК №3321	УИК №3322	УИК №3323	УИК №3324	УИК №3325	УИК №3326	УИК №3327	УИК №3328	УИК №3329	УИК №3330	УИК №3331	УИК №3332	УИК №3333	УИК №3334	УИК №3335	УИК №3336	УИК №3337	УИК №3338	УИК №3339	УИК №3340	УИК №3341	УИК №3342	УИК №3343	УИК №3344	УИК №3345	УИК №3346	УИК №3347	УИК №3348	УИК №3349	УИК №3350					
1	"Число избирателей, внесенных в списки избирателей"	89151	1223	1583	1873	96	1974	2156	2437	1559	1776	2204	2152	2183	1783	1886	2761	1706	2688	194	1160	1920	2398	2148	2479	2441	1777	1106	300	2236	2390	2254	2246	2277	2048	2109	1719	2478	2268	2209	2200	740	1579	1343	1982	1937	1109	2081	1865	150	202	1766					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	87984	1200	1600	1850	100	1970	2100	2400	1600	1800	2200	2100	2200	1700	1800	2700	1700	2600	204	1150	1900	2400	2100	2400	2400	1800	1100	300	2200	2400	2200	2200	2200	2000	2000	1700	2500	2250	2200	2200	740	1500	1350	2000	2000	1050	2050	1800	150	170	1750					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	41190	542	655	761	52	859	1026	1233	691	871	1005	912	1552	699	859	1174	669	1218	178	425	688	1154	1007	1080	1170	840	445	300	1062	977	976	912	1112	720	743	930	1292	1124	1079	1075	279	777	601	926	972	551	1107	840	130	157	783					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1193	19	26	35	42	20	23	13	11	9	33	25	26	30	31	18	23	31	15	10	24	13	7	26	18	20	7	0	17	27	28	20	14	11	31	11	11	28	39	27	27	43	55	41	29	51	33	35	20	13	27					
6	Число погашенных избирательных бюллетеней	45601	639	919	1054	6	1091	1051	1154	898	920	1162	1163	622	971	910	1508	1008	1351	11	715	1188	1233	1086	1294	1212	940	648	0	1121	1396	1196	1268	1074	1269	1226	759	1197	1098	1082	1098	434	680	694	1033	999	448	910	925	0	0	940					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1193	19	26	35	42	20	23	13	11	9	33	25	26	30	31	18	23	31	15	10	24	13	7	26	18	20	7	0	17	27	28	20	14	11	31	11	11	28	39	27	27	43	55	41	29	51	33	35	20	13	27					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	41156	542	655	760	52	859	1026	1233	690	870	1005	912	1552	699	859	1173	669	1218	178	425	688	1151	1006	1078	1170	839	445	300	1060	977	976	912	1111	720	743	929	1291	1122	1074	1075	279	777	600	926	968	551	1105	838	130	157	781					
9	Число недействительных избирательных бюллетеней	759	6	16	6	5	13	20	24	9	15	16	10	22	9	15	28	6	9	4	6	14	13	13	20	23	3	7	24	15	12	15	30	20	18	7	19	24	20	18	16	4	9	16	26	37	17	37	18	1	8	16					
10	Число действительных избирательных бюллетеней	41590	555	665	789	89	866	1029	1222	692	864	1022	927	1556	720	875	1163	686	1240	189	429	698	1151	1000	1084	1165	856	445	276	1062	992	989	902	1105	713	767	921	1278	1130	1095	1086	302	811	639	941	960	585	1101	855	149	162	792					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	2067	45	45	45	2	45	45	50	45	45	50	50	50	45	45	50	45	50	5	45	45	50	45	45	45	45	45	0	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	0	0	45					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1059	8	17	21	0	19	24	21	23	21	20	16	40	34	18	39	12	22	0	23	20	24	36	28	33	22	9	0	41	37	35	30	23	29	29	19	20	32	25	29	11	17	20	30	20	9	27	13	0	0	13					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	697	10	5	14	5	9	6	17	7	5	15	22	16	10	12	11	5	7	6	6	21	16	20	16	12	2	5	14	5	21	6	13	21	10	15	15	0	9	13	13	8	19	3	10	8	20	12	12	90	77	3					
14	Число погашенных неиспользованных открепительных удостоверений	1008	37	28	24	2	26	21	29	22	24	30	34	10	11	27	11	33	28	5	22	25	26	9	17	12	23	36	0	4	8	10	15	22	16	16	26	25	13	20	16	34	28	25	15	25	36	18	32	0	0	32					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																									
18	1.Политическая партия «Аграрная партия России»	1085	10	13	19	0	21	29	21	16	29	34	21	18	23	20	29	23	35	10	13	20	38	22	33	18	22	8	10	38	39	30	26	29	13	26	23	25	27	20	41	3	11	24	24	36	12	35	14	2	6	26					
		2.56%	1.78%	1.91%	2.39%	0.00%	2.39%	2.76%	1.69%	2.28%	3.30%	3.28%	2.24%	1.14%	3.16%	2.25%	2.43%	3.32%	2.80%	5.18%	2.99%	2.81%	3.26%	2.17%	2.99%	1.52%	2.56%	1.77%	3.33%	3.53%	3.88%	2.99%	2.79%	2.58%	1.78%	3.36%	2.45%	1.92%	2.35%	1.80%	3.72%	0.98%	1.34%	3.66%	2.48%	3.61%	1.99%	3.08%	1.60%	1.33%	3.53%	3.22%					
19	2.Всероссийская политическая партия «Гражданская Сила»	1964	9	13	24	1	26	39	34	30	30	21	23	17	25	24	35	22	30	1	14	13	40	48	86	108	56	22	1	66	81	73	155	109	52	54	61	79	48	54	59	12	41	30	51	22	25	44	15	3	6	32					
		4.64%	1.60%	1.91%	3.02%	1.06%	2.96%	3.72%	2.73%	4.28%	3.41%	2.02%	2.45%	1.08%	3.43%	2.70%	2.94%	3.18%	2.40%	0.52%	3.22%	1.83%	3.44%	4.74%	7.79%	9.09%	6.52%	4.87%	0.33%	6.13%	8.07%	7.27%	16.63%	9.69%	7.11%	6.98%	6.49%	6.07%	4.17%	4.85%	5.35%	3.92%	5.00%	4.58%	5.27%	2.21%	4.15%	3.87%	1.72%	2.00%	3.53%	3.96%					
20	3.Политическая партия «Демократическая партия России»	92	0	1	1	0	1	2	2	1	0	2	3	6	1	2	2	1	3	0	1	2	4	2	7	2	3	0	4	3	1	0	3	4	1	2	2	1	2	0	1	0	1	1	4	1	2	6	1	0	0	3					
		0.22%	0.00%	0.15%	0.13%	0.00%	0.11%	0.19%	0.16%	0.14%	0.00%	0.19%	0.32%	0.38%	0.14%	0.22%	0.17%	0.14%	0.24%	0.00%	0.23%	0.28%	0.34%	0.20%	0.63%	0.17%	0.35%	0.00%	1.33%	0.28%	0.10%	0.00%	0.32%	0.36%	0.14%	0.26%	0.21%	0.08%	0.17%	0.00%	0.09%	0.00%	0.12%	0.15%	0.41%	0.10%	0.33%	0.53%	0.11%	0.00%	0.00%	0.37%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	5411	72	107	112	3	126	159	172	89	93	151	154	149	100	123	124	105	168	10	55	89	188	122	116	161	124	13	18	143	122	117	103	176	77	55	147	221	167	203	185	17	70	67	146	132	44	145	42	15	18	96					
		12.78%	12.83%	15.71%	14.09%	3.19%	14.33%	15.16%	13.80%	12.70%	10.58%	14.55%	16.44%	9.44%	13.72%	13.82%	10.41%	15.17%	13.45%	5.18%	12.64%	12.50%	16.15%	12.04%	10.51%	13.55%	14.44%	2.88%	6.00%	13.28%	12.15%	11.65%	11.05%	15.64%	10.53%	7.11%	15.64%	16.97%	14.52%	18.24%	16.79%	5.56%	8.54%	10.23%	15.10%	13.24%	7.31%	12.74%	4.81%	10.00%	10.59%	11.88%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	917	8	7	13	0	21	19	30	14	14	16	40	17	23	35	41	13	24	5	5	12	24	35	28	27	17	7	5	21	27	25	19	23	21	15	33	35	25	19	30	8	10	6	15	24	19	19	11	2	2	8					
		2.17%	1.43%	1.03%	1.64%	0.00%	2.39%	1.81%	2.41%	1.99%	1.59%	1.54%	4.27%	1.08%	3.16%	3.93%	3.44%	1.88%	1.92%	2.59%	1.15%	1.69%	2.06%	3.46%	2.54%	2.27%	1.98%	1.55%	1.67%	1.95%	2.69%	2.49%	2.04%	2.04%	2.87%	1.94%	3.51%	2.69%	2.17%	1.71%	2.72%	2.61%	1.22%	0.92%	1.55%	2.41%	3.16%	1.67%	1.26%	1.33%	1.18%	0.99%					
23	6.Политическая партия «Партия социальной справедливости»	93	0	1	3	1	2	5	2	0	1	4	1	5	1	4	2	0	3	0	2	0	3	4	3	0	0	2	5	4	1	4	2	1	2	1	2	2	3	4	2	0	2	0	1	2	0	2	0	0	1	3					
		0.22%	0.00%	0.15%	0.38%	1.06%	0.23%	0.48%	0.16%	0.00%	0.11%	0.39%	0.11%	0.32%	0.14%	0.45%	0.17%	0.00%	0.24%	0.00%	0.46%	0.00%	0.26%	0.39%	0.27%	0.00%	0.00%	0.44%	1.67%	0.37%	0.10%	0.40%	0.21%	0.09%	0.27%	0.13%	0.21%	0.15%	0.26%	0.36%	0.18%	0.00%	0.24%	0.00%	0.10%	0.20%	0.00%	0.18%	0.00%	0.00%	0.59%	0.37%					
24	7.Политическая партия «Либерально-демократическая партия России»	5356	72	92	66	5	116	154	150	103	102	169	107	300	99	121	167	104	189	21	46	84	155	118	130	164	104	69	35	127	106	123	105	123	105	102	108	126	138	105	139	33	87	74	128	117	71	150	115	12	15	105					
		12.65%	12.83%	13.51%	8.30%	5.32%	13.20%	14.68%	12.04%	14.69%	11.60%	16.28%	11.42%	19.01%	13.58%	13.60%	14.02%	15.03%	15.13%	10.88%	10.57%	11.80%	13.32%	11.65%	11.78%	13.80%	12.11%	15.27%	11.67%	11.79%	10.56%	12.25%	11.27%	10.93%	14.36%	13.18%	11.49%	9.68%	12.00%	9.43%	12.61%	10.78%	10.61%	11.30%	13.24%	11.74%	11.79%	13.18%	13.17%	8.00%	8.82%	12.99%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	2376	37	36	34	0	51	55	76	43	63	63	63	48	41	43	67	46	69	6	27	35	59	53	63	51	59	33	11	49	55	64	47	50	48	41	45	83	73	74	70	13	62	44	63	64	28	71	35	6	5	54					
		5.61%	6.60%	5.29%	4.28%	0.00%	5.80%	5.24%	6.10%	6.13%	7.17%	6.07%	6.72%	3.04%	5.62%	4.83%	5.63%	6.65%	5.52%	3.11%	6.21%	4.92%	5.07%	5.23%	5.71%	4.29%	6.87%	7.30%	3.67%	4.55%	5.48%	6.37%	5.04%	4.44%	6.57%	5.30%	4.79%	6.37%	6.35%	6.65%	6.35%	4.25%	7.56%	6.72%	6.51%	6.42%	4.65%	6.24%	4.01%	4.00%	2.94%	6.68%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	475	8	3	6	1	7	7	8	6	9	20	6	20	4	8	24	3	16	0	4	9	16	15	16	13	7	5	3	9	13	10	8	11	4	11	11	20	10	11	8	6	15	6	16	14	11	14	10	6	1	6					
		1.12%	1.43%	0.44%	0.75%	1.06%	0.80%	0.67%	0.64%	0.86%	1.02%	1.93%	0.64%	1.27%	0.55%	0.90%	2.02%	0.43%	1.28%	0.00%	0.92%	1.26%	1.37%	1.48%	1.45%	1.09%	0.81%	1.11%	1.00%	0.84%	1.29%	0.99%	0.86%	0.98%	0.55%	1.42%	1.17%	1.54%	0.87%	0.99%	0.73%	1.96%	1.83%	0.92%	1.65%	1.40%	1.83%	1.23%	1.15%	4.00%	0.59%	0.74%					
