Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																									
Дата голосования: 02.12.2007																									
																									
Наименование Избирательной комиссии:    Кыринская																									
																									
Сводная таблица результатов выборов																									
																									
		Сумма	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211					
1	"Число избирателей, внесенных в списки избирателей"	10945	214	632	533	200	2186	1430	311	459	635	70	761	384	1199	521	793	216	274	127					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	11220	209	655	533	201	2122	1450	304	468	646	71	744	375	1489	532	803	214	279	125					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	7085	109	428	331	136	1333	793	190	306	436	10	462	222	1146	341	437	144	179	82					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	769	81	36	25	13	63	86	28	48	20	2	107	60	53	38	48	10	51	0					
6	Число погашенных избирательных бюллетеней	3366	19	191	177	52	726	571	86	114	190	59	175	93	290	153	318	60	49	43					
7	Число избирательных бюллетеней в переносных ящиках для голосования	769	81	36	25	13	63	86	28	48	20	2	107	60	53	38	48	10	51	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	7014	109	428	331	136	1262	793	190	306	436	10	462	222	1146	341	437	144	179	82					
9	Число недействительных избирательных бюллетеней	81	1	10	2	3	18	10	1	3	3	0	8	3	10	2	3	0	4	0					
10	Число действительных избирательных бюллетеней	7702	189	454	354	146	1307	869	217	351	453	12	561	279	1189	377	482	154	226	82					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	295	15	15	14	6	43	25	10	12	16	5	19	10	50	14	20	6	10	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	163	8	15	2	0	27	21	3	10	8	0	4	1	43	5	6	0	10	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	58	2	4	1	1	14	6	3	1	0	3	1	1	14	3	0	1	2	1					
14	Число погашенных неиспользованных открепительных удостоверений	132	7	0	12	6	16	4	7	2	8	5	15	9	7	9	14	6	0	5					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																									
18	1.Политическая партия «Аграрная партия России»	220	3	31	6	4	48	18	3	4	4	0	3	19	22	22	19	1	7	6					
		2.83%	1.58%	6.68%	1.69%	2.68%	3.62%	2.05%	1.38%	1.13%	0.88%	0.00%	0.53%	6.74%	1.83%	5.80%	3.92%	0.65%	3.04%	7.32%					
19	2.Всероссийская политическая партия «Гражданская Сила»	17	1	4	0	0	3	6	1	0	0	0	0	0	0	1	1	0	0	0					
		0.22%	0.53%	0.86%	0.00%	0.00%	0.23%	0.68%	0.46%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	0.21%	0.00%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	9	2	0	0	0	1	1	1	0	1	0	0	1	0	0	2	0	0	0					
		0.12%	1.05%	0.00%	0.00%	0.00%	0.08%	0.11%	0.46%	0.00%	0.22%	0.00%	0.00%	0.35%	0.00%	0.00%	0.41%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	919	28	106	35	7	179	143	15	58	35	0	86	11	83	31	57	10	23	12					
