Выборы Президента Российской Федерации																																																																				
																																																																				
"Наименование Избирательной комиссии:    Новосибирск, Октябрьская"																																																																				
																																																																				
Итоги голосования 																																																																				
																																																																				
		Сумма	УИК №1820	УИК №1821	УИК №1822	УИК №1823	УИК №1824	УИК №1825	УИК №1826	УИК №1827	УИК №1828	УИК №1829	УИК №1830	УИК №1831	УИК №1832	УИК №1833	УИК №1834	УИК №1835	УИК №1836	УИК №1837	УИК №1838	УИК №1839	УИК №1840	УИК №1841	УИК №1842	УИК №1843	УИК №1844	УИК №1845	УИК №1846	УИК №1847	УИК №1848	УИК №1849	УИК №1850	УИК №1851	УИК №1852	УИК №1853	УИК №1854	УИК №1855	УИК №1856	УИК №1857	УИК №1858	УИК №1859	УИК №1860	УИК №1861	УИК №1862	УИК №1863	УИК №1864	УИК №1865	УИК №1866	УИК №1867	УИК №1868	УИК №1869	УИК №1870	УИК №1871	УИК №1872	УИК №1873	УИК №1874	УИК №1875	УИК №1876	УИК №1877	УИК №1878	УИК №1879	УИК №1880					
1	"Число избирателей, внесенных в список"	134992	2325	1821	2197	2386	1762	1734	2812	2721	2752	2203	1807	2143	2888	2815	2416	2257	1912	3090	2606	2911	2937	2748	1721	1950	1412	1918	1886	2465	2302	2070	2828	2453	2337	2554	2689	2160	3057	317	967	1249	2393	1695	1627	2294	2712	2774	2342	2691	2493	2520	2138	1679	2790	2581	2269	2089	2749	801	2516	2063	198					
2	Число полученных избирательных бюллетеней	121799	2120	1650	1960	2140	1620	1730	2550	2470	2462	1940	1600	2000	2600	2610	2150	2023	1730	2570	2535	2640	2590	2490	1530	1800	1290	1710	1720	2220	2080	1880	2550	2230	2090	2310	2420	1950	2700	300	950	1100	2160	1600	1480	2020	2490	2500	2120	2430	2018	2230	1900	1500	2500	2340	2060	1880	2490	721	2270	1860	220					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	75412	1036	871	929	1093	1092	1326	1536	1547	1685	1157	1046	1015	1764	1504	1295	1322	966	1623	2039	1755	1794	1500	894	1150	839	818	1023	1435	1257	1152	1713	1298	1319	1323	1386	1297	1682	253	640	643	1478	1142	1020	1191	1526	1552	1136	1395	1719	1092	1252	761	1493	1535	1249	1229	1306	557	1455	1109	198					
5	"Число избирательных бюллетеней, выданных вне помещения"	3135	71	66	75	83	34	301	43	78	29	42	50	29	39	8	33	24	23	146	97	28	27	65	73	25	26	111	76	26	32	61	36	120	22	31	36	12	29	41	35	59	38	13	18	86	53	43	73	70	16	36	31	80	44	43	49	35	81	0	49	35	0					
6	Число погашенных избирательных бюллетеней	43252	1013	713	956	964	494	103	971	845	748	741	504	956	797	1098	822	677	741	801	399	857	769	925	563	625	425	781	621	759	791	667	801	812	749	956	998	641	989	6	275	398	644	445	442	743	911	905	911	965	283	1102	617	659	963	762	762	616	1103	164	766	716	22					
7	Число избирательных бюллетеней в переносных ящиках	3135	71	66	75	83	34	301	43	78	29	42	50	29	39	8	33	24	23	146	97	28	27	65	73	25	26	111	76	26	32	61	36	120	22	31	36	12	29	41	35	59	38	13	18	86	53	43	73	70	16	36	31	80	44	43	49	35	81	0	49	35	0					
8	Число бюллетеней в стационарных ящиках для голосования	75296	1036	871	929	1093	1092	1324	1536	1546	1684	1157	1046	1015	1760	1503	1294	1322	966	1623	2039	1755	1792	1495	821	1148	839	818	1021	1432	1252	1152	1713	1298	1319	1323	1386	1297	1679	253	640	643	1478	1141	1020	1191	1526	1552	1136	1395	1717	1092	1252	760	1493	1535	1246	1227	1306	557	1454	1109	197					
9	Число недействительных избирательных бюллетеней	514	20	14	12	20	7	10	11	8	16	9	2	6	8	3	15	0	4	16	12	12	6	7	0	5	6	9	11	26	13	3	9	6	9	6	0	6	9	3	6	6	6	4	0	9	9	5	8	11	6	5	6	0	18	12	13	13	15	2	6	10	5					
10	Число действительных избирательных бюллетеней	77917	1087	923	992	1156	1119	1615	1568	1616	1697	1190	1094	1038	1791	1508	1312	1346	985	1753	2124	1771	1813	1553	894	1168	859	920	1086	1432	1271	1210	1740	1412	1332	1348	1422	1303	1699	291	669	696	1510	1150	1038	1268	1570	1590	1201	1454	1727	1123	1277	840	1519	1566	1282	1249	1372	555	1497	1134	192					
11	Число полученных открепительных  удостоверений	1788	10	25	10	10	15	20	30	30	20	10	20	10	20	200	10	10	20	30	450	20	39	20	10	10	20	10	20	10	10	10	20	20	20	10	10	30	25	0	10	15	20	50	15	20	20	25	10	15	100	18	15	20	26	25	20	10	20	50	10	10	0					
12	Число выданных открепительных удостоверений	1358	6	19	6	8	15	9	15	25	19	10	8	7	16	136	8	6	15	26	397	19	36	8	5	7	14	2	10	9	10	9	18	17	20	10	8	10	18	0	0	12	11	45	12	13	15	19	9	13	76	13	8	11	21	12	16	5	20	27	10	9	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	637	9	12	6	16	4	0	17	9	14	14	23	8	13	12	12	7	11	6	4	9	11	5	15	6	17	4	5	8	7	8	9	3	10	6	5	10	21	19	6	8	18	16	5	18	9	16	10	12	17	11	11	9	8	11	3	5	10	23	16	7	13					
14	Число неиспользованных открепительных удостоверений	430	4	6	4	2	0	11	15	5	1	0	12	3	4	64	2	4	5	4	53	1	3	12	5	3	6	8	10	1	0	1	2	3	0	0	2	20	7	0	10	3	9	5	3	7	5	6	1	2	24	5	7	9	5	13	4	5	0	23	0	1	0					
15	"Число открепительных удостоверений, выданных в ТИК"	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																				
18	. Глазьев Сергей Юрьевич	4340	50	61	66	76	58	12	90	132	118	66	57	33	84	65	67	91	67	58	21	103	109	78	28	46	28	43	52	108	65	68	100	66	112	70	75	87	76	5	21	38	102	60	77	59	73	76	77	66	70	62	124	39	110	122	143	131	91	9	132	59	8					
		5.53%	4.52%	6.51%	6.57%	6.46%	5.15%	0.74%	5.70%	8.13%	6.89%	5.50%	5.20%	3.16%	4.67%	4.30%	5.05%	6.76%	6.77%	3.28%	0.98%	5.78%	5.99%	5.00%	3.13%	3.92%	3.24%	4.63%	4.74%	7.41%	5.06%	5.61%	5.72%	4.65%	8.35%	5.17%	5.27%	6.65%	4.45%	1.70%	3.11%	5.41%	6.73%	5.20%	7.42%	4.62%	4.62%	4.76%	6.37%	4.51%	4.04%	5.50%	9.66%	4.64%	7.16%	7.73%	11.04%	10.38%	6.56%	1.62%	8.78%	5.16%	4.06%					
19	. Малышкин Олег Александрович	1033	10	10	16	23	15	14	23	19	19	19	18	9	24	19	13	13	5	24	23	25	16	10	7	17	17	21	19	23	13	6	17	12	23	24	17	18	30	6	14	4	14	15	14	18	22	22	31	23	15	18	20	13	28	12	29	18	24	4	21	16	1					
		1.32%	0.90%	1.07%	1.59%	1.96%	1.33%	0.86%	1.46%	1.17%	1.11%	1.58%	1.64%	0.86%	1.33%	1.26%	0.98%	0.97%	0.51%	1.36%	1.08%	1.40%	0.88%	0.64%	0.78%	1.45%	1.97%	2.26%	1.73%	1.58%	1.01%	0.49%	0.97%	0.85%	1.72%	1.77%	1.20%	1.38%	1.76%	2.04%	2.07%	0.57%	0.92%	1.30%	1.35%	1.41%	1.39%	1.38%	2.56%	1.57%	0.87%	1.60%	1.56%	1.55%	1.82%	0.76%	2.24%	1.43%	1.73%	0.72%	1.40%	1.40%	0.51%					
20	. Миронов Сергей Михайлович	531	7	10	10	12	6	6	7	6	8	4	4	4	12	9	7	3	8	6	10	17	20	16	3	2	7	9	6	15	11	14	14	18	9	15	10	13	17	2	5	5	5	2	8	4	9	13	8	9	15	7	7	5	12	10	11	14	6	7	6	5	1					
		0.68%	0.63%	1.07%	1.00%	1.02%	0.53%	0.37%	0.44%	0.37%	0.47%	0.33%	0.36%	0.38%	0.67%	0.60%	0.53%	0.22%	0.81%	0.34%	0.47%	0.95%	1.10%	1.03%	0.34%	0.17%	0.81%	0.97%	0.55%	1.03%	0.86%	1.15%	0.80%	1.27%	0.67%	1.11%	0.70%	0.99%	1.00%	0.68%	0.74%	0.71%	0.33%	0.17%	0.77%	0.31%	0.57%	0.82%	0.66%	0.61%	0.87%	0.62%	0.55%	0.60%	0.78%	0.63%	0.85%	1.11%	0.43%	1.26%	0.40%	0.44%	0.51%					
21	. Путин Владимир Владимирович	53619	764	662	658	760	815	1455	1018	967	1105	814	753	782	1169	1165	901	931	689	1354	1921	1143	1279	1024	641	855	600	634	736	929	867	791	1165	943	854	918	980	884	1174	232	547	481	943	815	659	879	1041	1062	866	1014	1216	769	792	592	963	985	746	759	937	465	888	728	140					
		68.36%	69.02%	70.65%	65.54%	64.63%	72.38%	89.54%	64.47%	59.54%	64.51%	67.89%	68.70%	74.90%	64.98%	77.10%	67.90%	69.17%	69.67%	76.54%	89.93%	64.11%	70.31%	65.64%	71.70%	72.89%	69.36%	68.25%	67.09%	63.72%	67.52%	65.21%	66.61%	66.50%	63.68%	67.80%	68.92%	67.53%	68.74%	78.91%	81.04%	68.52%	62.20%	70.62%	63.49%	68.83%	65.93%	66.58%	71.63%	69.22%	70.17%	68.17%	61.73%	70.48%	62.65%	62.42%	57.61%	60.14%	67.56%	83.48%	59.08%	63.64%	71.07%					
