Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																							
Дата голосования: 18.09.2016																																																							
																																																							
Наименование Избирательной комиссии:    Гунибская																																																							
																																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																																							
																																																							
		Сумма	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	15902	600	27	18	217	300	924	1600	287	241	153	161	532	284	180	649	120	33	558	505	429	409	64	147	30	700	377	273	461	13	586	70	661	740	716	428	432	250	300	205	88	229	546	258	101									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	15200	600	31	18	201	300	810	1585	251	241	135	161	505	245	180	609	120	33	504	501	410	409	64	139	30	700	332	224	451	11	523	47	622	720	716	428	410	250	270	201	79	229	546	258	101									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	10315	433	23	18	144	186	600	1224	200	179	132	105	370	173	74	529	112	30	311	65	217	335	64	108	30	634	176	141	289	11	284	43	134	622	405	326	250	227	270	101	60	131	300	148	101									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1399	16	4	0	7	0	15	100	33	5	0	0	111	12	0	0	0	0	184	434	179	32	0	0	0	0	0	9	18	0	24	0	94	26	0	50	15	0	0	0	0	0	23	8	0									
6	Число погашенных избирательных бюллетеней	3486	151	4	0	50	114	195	261	18	57	3	56	24	60	106	80	8	3	9	2	14	42	0	31	0	66	156	74	144	0	215	4	394	72	311	52	145	23	0	100	19	98	223	102	0									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1399	16	4	0	7	0	15	100	33	5	0	0	111	12	0	0	0	0	184	434	179	32	0	0	0	0	0	9	18	0	24	0	94	26	0	50	15	0	0	0	0	0	23	8	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	10315	433	23	18	144	186	600	1224	200	179	132	105	370	173	74	529	112	30	311	65	217	335	64	108	30	634	176	141	289	11	284	43	134	622	405	326	250	227	270	101	60	131	300	148	101									
9	Число недействительных избирательных бюллетеней	52	2	0	0	0	0	1	4	0	0	1	0	0	0	0	10	2	0	1	0	0	0	0	0	0	0	0	0	9	0	0	0	7	8	0	0	1	0	0	1	2	0	3	0	0									
10	Число действительных избирательных бюллетеней	11662	447	27	18	151	186	614	1320	233	184	131	105	481	185	74	519	110	30	494	499	396	367	64	108	30	634	176	150	298	11	308	43	221	640	405	376	264	227	270	100	58	131	320	156	101									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	108	3	2	2	3	2	3	5	2	3	2	2	3	2	2	3	2	2	3	3	3	2	2	2	2	3	2	2	3	2	3	2	3	3	3	3	2	2	2	2	2	2	3	2	2									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
