Выборы Президента Российской Федерации																																										
																																										
Наименование Избирательной комиссии:    Чамзинская																																										
																																										
Итоги голосования 																																										
																																										
		Сумма	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747					
1	"Число избирателей, внесенных в список"	25607	1952	1467	1472	1208	1358	543	1583	1672	1408	1260	1377	999	1076	1423	821	739	195	736	386	164	249	61	191	548	96	66	364	98	148	362	78	366	69	722	350					
2	Число полученных избирательных бюллетеней	25950	1948	1470	1483	1214	1379	540	1482	1688	1425	1270	1417	1038	1104	1436	847	755	205	764	393	164	260	64	205	566	100	71	366	105	153	390	86	386	77	733	366					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	23405	1835	1402	1392	1148	1299	503	1232	1596	1366	1201	1300	972	1066	1337	692	648	180	571	332	148	209	56	156	489	95	66	305	78	148	269	71	318	60	565	300					
5	"Число избирательных бюллетеней, выданных вне помещения"	1563	33	15	67	30	35	36	250	28	30	13	12	10	3	45	98	91	15	150	50	15	39	5	35	49	0	0	52	20	0	88	6	48	9	142	44					
6	Число погашенных избирательных бюллетеней	982	80	53	24	36	45	1	0	64	29	56	105	56	35	54	57	16	10	43	11	1	12	3	14	28	5	5	9	7	5	33	9	20	8	26	22					
7	Число избирательных бюллетеней в переносных ящиках	1563	33	15	67	30	35	36	250	28	30	13	12	10	3	45	98	91	15	150	50	15	39	5	35	49	0	0	52	20	0	88	6	48	9	142	44					
8	Число бюллетеней в стационарных ящиках для голосования	23405	1835	1402	1392	1148	1299	503	1232	1596	1366	1201	1300	972	1066	1337	692	648	180	571	332	148	209	56	156	489	95	66	305	78	148	269	71	318	60	565	300					
9	Число недействительных избирательных бюллетеней	124	7	3	0	8	1	0	17	2	5	21	4	6	4	3	9	1	3	0	3	1	3	7	4	0	0	1	3	0	0	3	2	0	0	2	1					
10	Число действительных избирательных бюллетеней	24844	1861	1414	1459	1170	1333	539	1465	1622	1391	1193	1308	976	1065	1379	781	738	192	721	379	162	245	54	187	538	95	65	354	98	148	354	75	366	69	705	343					
11	Число полученных открепительных  удостоверений	600	35	30	30	20	30	8	35	30	45	45	45	40	25	25	15	15	5	15	10	5	5	2	3	10	3	3	10	3	3	10	3	10	2	15	10					
12	Число выданных открепительных удостоверений	200	21	11	21	4	16	3	8	7	17	4	10	9	16	13	2	2	1	10	5	0	3	0	0	3	0	0	1	0	3	3	0	4	0	0	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	60	2	0	4	1	1	4	6	2	1	0	2	2	7	1	1	2	0	1	4	0	1	0	1	1	0	2	1	0	1	1	2	2	2	4	1					
14	Число неиспользованных открепительных удостоверений	400	14	19	9	16	14	5	27	23	28	41	35	31	9	12	13	13	4	5	5	5	2	2	3	7	3	3	9	3	0	7	3	6	2	15	7					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																										
18	. Глазьев Сергей Юрьевич	101	5	18	7	2	3	0	10	11	4	9	0	3	0	4	2	2	2	4	2	1	0	0	2	2	1	0	5	0	0	1	0	1	0	0	0					
		0.40%	0.27%	1.27%	0.48%	0.17%	0.22%	0.00%	0.67%	0.68%	0.29%	0.74%	0.00%	0.31%	0.00%	0.29%	0.25%	0.27%	1.03%	0.55%	0.52%	0.61%	0.00%	0.00%	1.05%	0.37%	1.05%	0.00%	1.40%	0.00%	0.00%	0.28%	0.00%	0.27%	0.00%	0.00%	0.00%					
19	. Малышкин Олег Александрович	113	6	4	11	6	2	0	16	4	2	25	0	4	0	3	2	0	1	5	1	3	2	0	1	1	0	0	7	0	1	2	0	2	0	0	2					
		0.45%	0.32%	0.28%	0.75%	0.51%	0.15%	0.00%	1.08%	0.25%	0.14%	2.06%	0.00%	0.41%	0.00%	0.22%	0.25%	0.00%	0.51%	0.69%	0.26%	1.84%	0.81%	0.00%	0.52%	0.19%	0.00%	0.00%	1.96%	0.00%	0.68%	0.56%	0.00%	0.55%	0.00%	0.00%	0.58%					
20	. Миронов Сергей Михайлович	47	4	5	2	0	1	0	7	6	2	5	0	0	0	2	1	0	0	3	1	0	0	0	0	1	0	0	2	0	0	3	0	2	0	0	0					
		0.19%	0.21%	0.35%	0.14%	0.00%	0.07%	0.00%	0.47%	0.37%	0.14%	0.41%	0.00%	0.00%	0.00%	0.14%	0.13%	0.00%	0.00%	0.42%	0.26%	0.00%	0.00%	0.00%	0.00%	0.19%	0.00%	0.00%	0.56%	0.00%	0.00%	0.84%	0.00%	0.55%	0.00%	0.00%	0.00%					
