Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																	
Дата голосования: 18.09.2016																	
																	
Наименование Избирательной комиссии:    Джейрахская																	
																	
Сводная таблица итогов голосования по федеральному избирательному округу																	
																	
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	2879	614	646	256	113	303	947									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	2807	623	656	260	115	308	845									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	373	0	0	0	0	0	373									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2111	574	627	229	105	288	288									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	42	15	4	11	0	2	10									
6	Число погашенных избирательных бюллетеней	281	34	25	20	10	18	174									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	415	15	4	11	0	2	383									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2111	574	627	229	105	288	288									
9	Число недействительных избирательных бюллетеней	2	0	0	0	0	0	2									
10	Число действительных избирательных бюллетеней	2524	589	631	240	105	290	669									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	134	25	24	20	15	20	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	0	0	0	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	0	0	0	0	0	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	134	25	24	20	15	20	30									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1	0	1	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0									
																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	70	5	35	5	0	11	14									
		2.77%	0.85%	5.55%	2.08%	0.00%	3.79%	2.09%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	30	1	0	0	0	16	13									
		1.19%	0.17%	0.00%	0.00%	0.00%	5.52%	1.94%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	2	1	0	0	0	1	0									
		0.08%	0.17%	0.00%	0.00%	0.00%	0.34%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1956	471	423	188	91	203	580									
		77.43%	79.97%	67.04%	78.33%	86.67%	70.00%	86.44%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	11	8	0	0	0	0	3									
		0.44%	1.36%	0.00%	0.00%	0.00%	0.00%	0.45%									
24	"6. Политическая партия ""Гражданская Платформа"""	7	6	1	0	0	0	0									
		0.28%	1.02%	0.16%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	53	12	13	11	3	4	10									
		2.10%	2.04%	2.06%	4.58%	2.86%	1.38%	1.49%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	1	1	0	0	0	0	0									
		0.04%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	31	6	15	2	0	5	3									
		1.23%	1.02%	2.38%	0.83%	0.00%	1.72%	0.45%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	9	4	4	0	0	1	0									
		0.36%	0.68%	0.63%	0.00%	0.00%	0.34%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	18	9	0	0	1	8	0									
		0.71%	1.53%	0.00%	0.00%	0.95%	2.76%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	134	23	46	13	4	13	35									
		5.30%	3.90%	7.29%	5.42%	3.81%	4.48%	5.22%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	35	11	16	3	0	5	0									
		1.39%	1.87%	2.54%	1.25%	0.00%	1.72%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	167	31	78	18	6	23	11									
		6.61%	5.26%	12.36%	7.50%	5.71%	7.93%	1.64%									
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
