Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																					
Дата голосования: 02.12.2007																																																					
																																																					
Наименование Избирательной комиссии:    Ливенская																																																					
																																																					
Сводная таблица результатов выборов																																																					
																																																					
		Сумма	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №436	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №791					
1	"Число избирателей, внесенных в списки избирателей"	25584	253	359	803	285	672	1095	286	897	964	1983	342	685	612	385	208	358	361	554	656	510	445	216	1287	416	350	1632	493	410	245	1330	307	740	379	354	847	416	309	413	375	374	225	420	462	285	336	250					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	25000	260	360	780	255	650	1000	275	900	925	2000	340	660	585	380	215	345	345	565	630	525	440	215	1150	410	345	1665	480	395	250	1305	285	730	370	340	835	390	305	385	365	385	215	430	450	280	330	255					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	16812	115	222	499	190	290	845	237	599	579	1541	200	364	296	237	101	208	214	234	519	307	299	115	882	336	198	1197	350	375	194	1067	147	439	232	252	587	193	124	237	217	255	176	312	224	221	188	198					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	4417	103	86	187	37	233	98	21	47	106	52	130	188	222	72	72	89	85	222	34	138	39	56	243	29	115	79	44	4	8	34	120	117	101	74	130	167	162	116	100	55	13	65	170	28	109	17					
6	Число погашенных избирательных бюллетеней	3771	42	52	94	28	127	57	17	254	240	407	10	108	67	71	42	48	46	109	77	80	102	44	25	45	32	389	86	16	48	204	18	174	37	14	118	30	19	32	48	75	26	53	56	31	33	40					
7	Число избирательных бюллетеней в переносных ящиках для голосования	4417	103	86	187	37	233	98	21	47	106	52	130	188	222	72	72	89	85	222	34	138	39	56	243	29	115	79	44	4	8	34	120	117	101	74	130	167	162	116	100	55	13	65	170	28	109	17					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	16812	115	222	499	190	290	845	237	599	579	1541	200	364	296	237	101	208	214	234	519	307	299	115	882	336	198	1197	350	375	194	1067	147	439	232	252	587	193	124	237	217	255	176	312	224	221	188	198					
9	Число недействительных избирательных бюллетеней	390	1	1	2	1	16	8	0	14	12	47	1	0	21	0	7	27	1	9	5	0	3	1	37	4	0	122	2	1	0	12	1	4	3	0	1	2	0	3	2	3	1	6	3	1	1	4					
10	Число действительных избирательных бюллетеней	20839	217	307	684	226	507	935	258	632	673	1546	329	552	497	309	166	270	298	447	548	445	335	170	1088	361	313	1154	392	378	202	1089	266	552	330	326	716	358	286	350	315	307	188	371	391	248	296	211					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	612	10	14	16	6	14	25	6	19	20	42	17	14	14	9	13	17	13	12	14	11	10	6	28	10	8	34	10	8	6	28	6	16	8	8	18	9	8	15	13	9	5	9	10	5	13	6					
