Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																
Дата голосования: 18.09.2016																																
																																
Наименование Избирательной комиссии:    Арсеньевская городская																																
																																
Сводная таблица итогов голосования по федеральному избирательному округу																																
																																
		Сумма	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	45797	1864	2304	2251	2124	1181	1172	2401	2385	2204	1998	2625	2515	1980	2269	2247	2421	2127	2526	2506	2060	2637									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	46140	1880	2350	2250	2130	1190	1180	2440	2420	2220	2020	2660	2550	1960	2290	2260	2470	2150	2450	2530	2070	2670									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	18154	615	947	834	909	279	360	1052	1062	946	891	1179	1111	793	812	977	931	981	794	936	722	1023									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	240	14	12	6	12	4	4	4	21	14	7	11	22	8	15	9	17	14	17	12	9	8									
6	Число погашенных избирательных бюллетеней	27746	1251	1391	1410	1209	907	816	1384	1337	1260	1122	1470	1417	1159	1463	1274	1522	1155	1639	1582	1339	1639									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	239	14	12	6	12	4	4	4	21	14	7	11	22	8	15	9	17	14	16	12	9	8									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	18097	615	945	817	909	279	360	1050	1062	946	876	1165	1110	792	811	976	931	981	794	935	720	1023									
9	Число недействительных избирательных бюллетеней	556	20	42	17	32	9	8	25	22	21	22	41	53	32	26	34	35	24	15	29	22	27									
10	Число действительных избирательных бюллетеней	17780	609	915	806	889	274	356	1029	1061	939	861	1135	1079	768	800	951	913	971	795	918	707	1004									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1120	50	70	50	50	50	50	50	50	75	55	70	50	50	50	50	50	50	50	50	50	50									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	210	10	14	5	5	1	0	14	12	11	11	12	21	11	9	10	19	8	6	7	7	17									
