Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																								
Дата голосования: 07.12.2003 0:00:00																								
																								
Наименование Избирательной комиссии:    Cтрежевская городская																								
																								
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																								
																								
		Сумма	УИК №43	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331									
1	Число избирателей, внесенных в списки	31712	1336	2739	2814	2599	1285	2853	2762	2847	3142	2713	3032	2097	1493									
2	Число бюллетеней, полученных участковыми комиссиями	28700	1200	2500	2600	2300	1200	2500	2600	2600	2800	2400	2700	2000	1300									
3	Число бюллетеней, выданных избирателям, проголосовавшим досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число бюллетеней, выданных избирателям на избирательном участке	15526	777	1232	1431	1135	676	1363	1413	1569	1643	1075	1375	1068	769									
5	Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования	246	9	21	27	23	6	16	7	13	11	49	26	20	18									
6	Число погашенных бюллетеней	12928	414	1247	1142	1142	518	1121	1180	1018	1146	1276	1299	912	513									
7	Число бюллетеней в переносных ящиках для голосования	246	9	21	27	23	6	16	7	13	11	49	26	20	18									
8	Число бюллетеней в стационарных ящиках для голосования	15521	777	1232	1431	1135	676	1362	1417	1565	1640	1074	1375	1068	769									
9	Число недействительных бюллетеней	111	3	12	8	12	8	9	9	13	15	5	5	9	3									
10	Число действительных бюллетеней	15656	783	1241	1450	1146	674	1369	1415	1565	1636	1118	1396	1079	784									
11	Число открепительных удостоверений, полученных участковыми комиссиями	520	40	40	40	40	40	40	40	40	40	40	40	40	40									
12	Число открепительных удостоверений, выданных участковыми комиссиями	137	13	12	16	6	9	13	8	7	13	13	6	13	8									
13	Число избирателей, проголосовавших по открепительным удостоверениям	50	3	5	6	5	2	6	6	2	3	2	2	5	3									
14	Число погашенных открепительных удостоверений	383	27	28	24	34	31	27	32	33	27	27	34	27	32									
15	Число открепительных удостоверений выданных ТИК	4	0	0	1	0	0	0	2	0	0	0	1	0	0									
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																								
18	"1. ""ЕДИНЕНИЕ"""	137	5	11	10	6	1	12	16	15	22	15	10	8	6									
		0.86%	0.63%	0.87%	0.68%	0.51%	0.14%	0.87%	1.12%	0.95%	1.33%	1.33%	0.71%	0.73%	0.76%									
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	1213	100	69	102	87	49	120	134	142	122	73	100	76	39									
		7.69%	12.72%	5.50%	6.99%	7.51%	7.18%	8.70%	9.41%	8.99%	7.38%	6.50%	7.13%	6.98%	4.95%									
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	620	22	74	81	57	23	45	50	60	58	43	44	25	38									
		3.93%	2.79%	5.90%	5.55%	4.92%	3.37%	3.26%	3.51%	3.80%	3.51%	3.82%	3.14%	2.29%	4.82%									
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	1034	58	84	103	69	38	110	99	122	128	57	71	66	29									
