Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																	
Дата голосования: 18.09.2016																																	
																																	
Наименование Избирательной комиссии:    Александро-Невская																																	
																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																	
																																	
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	8813	713	619	579	649	607	439	384	255	554	231	158	370	562	327	297	340	270	251	512	226	291	179									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	8170	550	500	450	500	500	450	380	260	560	220	150	370	560	320	290	350	270	260	500	240	300	190									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4905	299	320	245	332	305	248	322	182	212	176	78	255	426	151	173	231	163	115	248	121	183	120									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1411	43	36	30	79	32	126	37	23	157	25	52	62	34	115	93	57	54	87	99	62	72	36									
6	Число погашенных избирательных бюллетеней	1854	208	144	175	89	163	76	21	55	191	19	20	53	100	54	24	62	53	58	153	57	45	34									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1411	43	36	30	79	32	126	37	23	157	25	52	62	34	115	93	57	54	87	99	62	72	36									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4905	299	320	245	332	305	248	322	182	212	176	78	255	426	151	173	231	163	115	248	121	183	120									
9	Число недействительных избирательных бюллетеней	142	3	10	11	0	22	0	39	10	29	11	0	2	0	1	0	1	0	0	1	1	0	1									
10	Число действительных избирательных бюллетеней	6174	339	346	264	411	315	374	320	195	340	190	130	315	460	265	266	287	217	202	346	182	255	155									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	205	10	10	10	10	10	10	10	5	5	5	5	5	10	10	5	10	15	15	10	15	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	106	1	7	6	4	3	10	3	0	5	0	0	1	1	1	0	10	8	9	7	10	10	10									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	41	3	0	8	1	3	1	6	1	1	5	2	2	0	1	4	0	1	0	0	2	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	99	9	3	4	6	7	0	7	5	0	5	5	4	9	9	5	0	7	6	3	5	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	34	2	3	0	1	3	4	0	2	2	0	0	0	0	0	0	0	1	0	5	10	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	31	1	0	2	1	3	2	0	4	1	0	0	1	4	2	0	0	0	2	4	0	2	2									
		0.49%	0.29%	0.00%	0.73%	0.24%	0.89%	0.53%	0.00%	1.95%	0.27%	0.00%	0.00%	0.32%	0.87%	0.75%	0.00%	0.00%	0.00%	0.99%	1.15%	0.00%	0.78%	1.28%									
