Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																										
Дата голосования: 04.12.2011																										
																										
Наименование Избирательной комиссии:    Захаровская																										
																										
Сводная таблица результатов выборов																										
																										
		Сумма	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37					
1	"Число избирателей, внесенных в список избирателей"	8587	768	591	285	202	106	178	372	230	216	785	1496	1175	162	606	236	162	155	639	223					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	8370	750	600	300	210	100	170	350	230	210	750	1400	1100	150	600	240	170	150	650	240					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	4183	378	303	121	124	68	65	202	140	128	385	676	530	104	290	125	81	58	252	153					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	906	46	53	96	28	22	46	29	20	19	44	158	61	15	40	22	11	45	131	20					
6	Число погашенных избирательных бюллетеней	3281	326	244	83	58	10	59	119	70	63	321	566	509	31	270	93	78	47	267	67					
7	Число избирательных бюллетеней в переносных ящиках для голосования	906	46	53	96	28	22	46	29	20	19	44	158	61	15	40	22	11	45	131	20					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	4183	378	303	121	124	68	65	202	140	128	385	676	530	104	290	125	81	58	252	153					
9	Число недействительных избирательных бюллетеней	77	6	6	1	0	0	1	4	0	2	8	13	18	5	4	2	1	1	5	0					
10	Число действительных избирательных бюллетеней	5012	418	350	216	152	90	110	227	160	145	421	821	573	114	326	145	91	102	378	173					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	228	16	12	35	11	3	4	16	5	5	16	30	25	3	12	5	5	3	13	9					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	164	6	3	35	11	0	4	16	2	3	12	30	12	0	5	2	4	2	8	9					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	85	2	2	5	2	4	4	6	2	4	5	14	7	4	9	2	3	2	5	3					
14	Число погашенных неиспользованных открепительных удостоверений	64	10	9	0	0	3	0	0	3	2	4	0	13	3	7	3	1	1	5	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																										
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	633	49	30	26	17	5	7	24	20	10	58	114	114	9	52	19	7	3	45	24					
		12.44%	11.56%	8.43%	11.98%	11.18%	5.56%	6.31%	10.39%	12.50%	6.80%	13.52%	13.67%	19.29%	7.56%	15.76%	12.93%	7.61%	2.91%	11.75%	13.87%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	780	60	63	46	18	9	20	36	22	15	56	124	100	18	63	18	16	15	66	15					
		15.33%	14.15%	17.70%	21.20%	11.84%	10.00%	18.02%	15.58%	13.75%	10.20%	13.05%	14.87%	16.92%	15.13%	19.09%	12.24%	17.39%	14.56%	17.23%	8.67%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	35	5	2	0	1	0	0	5	2	0	3	4	5	1	0	1	1	1	4	0					
		0.69%	1.18%	0.56%	0.00%	0.66%	0.00%	0.00%	2.16%	1.25%	0.00%	0.70%	0.48%	0.85%	0.84%	0.00%	0.68%	1.09%	0.97%	1.04%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	813	63	52	33	14	10	11	41	25	15	94	160	116	9	44	20	13	11	73	9					
		15.98%	14.86%	14.61%	15.21%	9.21%	11.11%	9.91%	17.75%	15.63%	10.20%	21.91%	19.18%	19.63%	7.56%	13.33%	13.61%	14.13%	10.68%	19.06%	5.20%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	74	3	2	4	3	1	3	6	2	2	6	9	10	0	4	0	0	2	6	11					
		1.45%	0.71%	0.56%	1.84%	1.97%	1.11%	2.70%	2.60%	1.25%	1.36%	1.40%	1.08%	1.69%	0.00%	1.21%	0.00%	0.00%	1.94%	1.57%	6.36%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2648	234	200	107	99	65	68	114	88	102	203	406	222	73	160	86	54	70	184	113					
		52.03%	55.19%	56.18%	49.31%	65.13%	72.22%	61.26%	49.35%	55.00%	69.39%	47.32%	48.68%	37.56%	61.34%	48.48%	58.50%	58.70%	67.96%	48.04%	65.32%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	29	4	1	0	0	0	1	1	1	1	1	4	6	4	3	1	0	0	0	1					
		0.57%	0.94%	0.28%	0.00%	0.00%	0.00%	0.90%	0.43%	0.63%	0.68%	0.23%	0.48%	1.02%	3.36%	0.91%	0.68%	0.00%	0.00%	0.00%	0.58%					
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
