Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																										
Дата голосования: 02.12.2007																										
																										
Наименование Избирательной комиссии:    Захаровская																										
																										
Сводная таблица результатов выборов																										
																										
		Сумма	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38					
1	"Число избирателей, внесенных в списки избирателей"	8456	756	556	322	210	109	175	377	210	208	792	1466	1153	153	568	219	154	138	634	256					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	8200	730	540	320	190	105	170	370	210	205	770	1400	1100	140	550	220	150	130	640	260					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	4072	397	256	147	95	66	65	192	127	105	360	665	561	96	279	117	76	61	274	133					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	699	30	23	82	40	20	36	24	21	15	31	57	49	11	38	18	6	26	142	30					
6	Число погашенных избирательных бюллетеней	3429	303	261	91	55	19	69	154	62	85	379	678	490	33	233	85	68	43	224	97					
7	Число избирательных бюллетеней в переносных ящиках для голосования	699	30	23	82	40	20	36	24	21	15	31	57	49	11	38	18	6	26	142	30					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	4071	397	256	147	95	66	65	192	127	105	360	665	560	96	279	117	76	61	274	133					
9	Число недействительных избирательных бюллетеней	62	8	8	0	1	0	0	1	0	0	7	9	8	3	10	2	1	0	3	1					
10	Число действительных избирательных бюллетеней	4708	419	271	229	134	86	101	215	148	120	384	713	601	104	307	133	81	87	413	162					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	192	15	13	8	5	5	4	9	5	5	16	30	25	6	12	5	4	4	13	8					
