Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																														
Дата голосования: 02.12.2007																														
																														
Наименование Избирательной комиссии:    Торжокская городская																														
																														
Сводная таблица результатов выборов																														
																														
		Сумма	УИК №1225	УИК №1226	УИК №1227	УИК №1228	УИК №1229	УИК №1230	УИК №1231	УИК №1232	УИК №1233	УИК №1234	УИК №1235	УИК №1236	УИК №1237	УИК №1238	УИК №1239	УИК №1240	УИК №1241	УИК №1242	УИК №1243	УИК №1244	УИК №1245	УИК №1246	УИК №1247					
1	"Число избирателей, внесенных в списки избирателей"	36766	1836	1791	1866	1864	1714	2210	1204	1525	1246	1523	1835	1847	1755	1900	1794	1551	1695	1620	1298	1182	1390	1958	162					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	35960	1800	1800	1800	1800	1700	2100	1200	1500	1200	1500	1800	1900	1700	1900	1800	1500	1600	1600	1300	1100	1400	1800	160					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	18315	873	952	1020	871	871	1081	595	736	530	777	996	1027	908	1034	974	695	844	783	589	574	575	853	157					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	609	26	35	43	27	21	48	21	22	19	39	11	11	22	27	14	25	48	34	38	35	19	24	0					
6	Число погашенных избирательных бюллетеней	17036	901	813	737	902	808	971	584	742	651	684	793	862	770	839	812	780	708	783	673	491	806	923	3					
7	Число избирательных бюллетеней в переносных ящиках для голосования	609	26	35	43	27	21	48	21	22	19	39	11	11	22	27	14	25	48	34	38	35	19	24	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	18312	873	952	1020	871	871	1081	595	736	530	777	996	1025	908	1033	974	695	844	783	589	574	575	853	157					
9	Число недействительных избирательных бюллетеней	133	4	6	9	2	7	13	4	1	4	9	12	14	2	13	4	4	6	5	3	4	0	7	0					
10	Число действительных избирательных бюллетеней	18788	895	981	1054	896	885	1116	612	757	545	807	995	1022	928	1047	984	716	886	812	624	605	594	870	157					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1491	65	55	65	65	65	65	65	55	65	65	86	115	65	65	65	65	65	65	65	65	65	75	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1170	46	49	44	46	52	56	38	45	60	49	79	100	47	52	64	65	44	47	41	40	38	68	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	359	8	13	16	11	8	31	9	15	11	9	12	16	18	12	30	25	11	15	9	9	7	10	54					
14	Число погашенных неиспользованных открепительных удостоверений	321	19	6	21	19	13	9	27	10	5	16	7	15	18	13	1	0	21	18	24	25	27	7	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	9	0	1	0	0	0	1	1	0	0	1	0	0	0	1	0	2	0	0	1	0	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																														
18	1.Политическая партия «Аграрная партия России»	845	51	36	45	34	47	35	23	23	29	50	47	37	50	50	44	24	41	41	28	19	41	45	5					
		4.47%	5.67%	3.65%	4.23%	3.79%	5.27%	3.10%	3.73%	3.03%	5.28%	6.13%	4.67%	3.57%	5.38%	4.72%	4.45%	3.33%	4.60%	5.02%	4.47%	3.12%	6.90%	5.13%	3.18%					
19	2.Всероссийская политическая партия «Гражданская Сила»	174	3	14	8	2	16	13	4	5	7	12	9	10	16	17	5	4	5	7	0	5	3	9	0					
		0.92%	0.33%	1.42%	0.75%	0.22%	1.79%	1.15%	0.65%	0.66%	1.28%	1.47%	0.89%	0.97%	1.72%	1.60%	0.51%	0.56%	0.56%	0.86%	0.00%	0.82%	0.51%	1.03%	0.00%					
20	3.Политическая партия «Демократическая партия России»	19	0	0	0	1	0	2	1	0	0	1	1	2	2	1	0	1	1	0	0	2	1	3	0					
		0.10%	0.00%	0.00%	0.00%	0.11%	0.00%	0.18%	0.16%	0.00%	0.00%	0.12%	0.10%	0.19%	0.22%	0.09%	0.00%	0.14%	0.11%	0.00%	0.00%	0.33%	0.17%	0.34%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	2360	130	135	182	135	121	98	69	110	66	139	111	135	96	140	108	74	117	78	75	66	66	92	17					
		12.47%	14.46%	13.68%	17.12%	15.03%	13.57%	8.68%	11.20%	14.51%	12.02%	17.03%	11.02%	13.03%	10.32%	13.21%	10.93%	10.28%	13.12%	9.55%	11.96%	10.84%	11.11%	10.49%	10.83%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	103	4	1	2	5	5	3	4	9	2	3	6	4	3	3	15	2	8	4	4	4	6	6	0					
		0.54%	0.44%	0.10%	0.19%	0.56%	0.56%	0.27%	0.65%	1.19%	0.36%	0.37%	0.60%	0.39%	0.32%	0.28%	1.52%	0.28%	0.90%	0.49%	0.64%	0.66%	1.01%	0.68%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	49	2	3	3	2	4	3	2	1	1	0	5	2	3	1	6	2	0	2	1	1	0	4	1					
		0.26%	0.22%	0.30%	0.28%	0.22%	0.45%	0.27%	0.32%	0.13%	0.18%	0.00%	0.50%	0.19%	0.32%	0.09%	0.61%	0.28%	0.00%	0.24%	0.16%	0.16%	0.00%	0.46%	0.64%					
24	7.Политическая партия «Либерально-демократическая партия России»	2203	86	118	120	72	92	186	71	75	55	81	103	106	102	123	135	89	113	110	86	75	69	122	14					
