Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																					
Дата голосования: 18.09.2016																																					
																																					
Наименование Избирательной комиссии:    Карагайская																																					
																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																					
																																					
		Сумма	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1326									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	18587	198	146	1236	726	1302	1254	1198	1368	298	556	1475	1447	722	927	289	196	670	386	681	394	908	342	712	764	166	226									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	17960	190	140	1200	720	1200	1200	1100	1300	290	550	1400	1400	690	930	280	200	670	380	670	380	900	330	700	760	160	220									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	20	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5172	94	42	387	210	320	320	320	367	107	87	465	507	228	182	96	69	197	123	148	156	200	131	162	157	39	58									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1366	7	25	27	41	16	15	174	116	22	51	21	19	27	129	28	12	39	60	129	26	131	19	89	98	23	22									
6	Число погашенных избирательных бюллетеней	11402	89	73	786	464	864	865	606	817	161	412	914	874	435	619	156	119	434	197	393	198	554	180	449	505	98	140									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1386	7	25	27	46	16	15	174	116	22	51	21	19	27	129	28	12	39	60	129	26	146	19	89	98	23	22									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5170	94	42	387	210	320	319	320	366	107	87	465	507	228	182	96	69	197	123	148	156	200	131	162	157	39	58									
9	Число недействительных избирательных бюллетеней	213	2	1	12	9	17	12	17	12	5	5	9	17	8	10	1	5	6	13	6	6	8	11	9	8	1	3									
10	Число действительных избирательных бюллетеней	6343	99	66	402	247	319	322	477	470	124	133	477	509	247	301	123	76	230	170	271	176	338	139	242	247	61	77									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	575	15	15	25	20	30	30	30	30	15	20	30	30	20	30	15	15	20	20	20	15	30	20	20	30	15	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	68	1	0	12	3	7	3	2	6	1	1	4	7	5	4	0	1	1	0	1	4	3	0	1	1	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	52	1	5	0	1	4	5	4	2	2	3	0	4	3	0	4	0	0	1	5	4	0	0	2	1	1	0									
14	Число погашенных неиспользованных открепительных удостоверений	507	14	15	13	17	23	27	28	24	14	19	26	23	15	26	15	14	19	20	19	11	27	20	19	29	15	15									
