Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																											
Дата голосования: 18.09.2016																																											
																																											
Наименование Избирательной комиссии:    Ибресинская																																											
																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																											
																																											
		Сумма	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	16803	790	792	1202	964	770	611	721	781	1101	450	240	253	530	268	428	722	435	688	209	211	1131	47	741	300	169	311	666	293	225	339	206	209									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	17575	831	834	1265	1014	823	649	761	795	1125	454	246	303	618	270	443	735	450	720	205	238	1178	50	734	304	165	310	694	307	238	361	225	230									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	11494	517	531	766	667	473	387	456	421	702	347	171	193	448	211	301	498	303	529	173	167	765	33	525	202	124	220	436	187	152	258	167	164									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1163	34	30	61	39	75	43	60	64	74	35	10	38	82	43	44	33	21	66	20	25	36	8	37	19	4	16	34	20	15	35	19	23									
6	Число погашенных избирательных бюллетеней	4918	280	273	438	308	275	219	245	310	349	72	65	72	88	16	98	204	126	125	12	46	377	9	172	83	37	74	224	100	71	68	39	43									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1163	34	30	61	39	75	43	60	64	74	35	10	38	82	43	44	33	21	66	20	25	36	8	37	19	4	16	34	20	15	35	19	23									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	11492	517	531	766	667	473	387	456	421	702	347	171	193	448	211	301	498	303	529	173	167	765	33	525	202	124	220	435	187	152	257	167	164									
9	Число недействительных избирательных бюллетеней	520	20	22	34	19	22	25	15	29	28	26	15	4	23	13	18	26	20	9	11	16	20	0	28	5	1	12	27	10	2	13	3	4									
10	Число действительных избирательных бюллетеней	12135	531	539	793	687	526	405	501	456	748	356	166	227	507	241	327	505	304	586	182	176	781	41	534	216	127	224	442	197	165	279	183	183									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	478	24	27	43	28	27	18	22	17	25	9	7	6	17	5	9	19	9	17	5	10	32	4	15	6	4	8	19	6	5	14	13	8									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	474	24	27	43	28	27	18	22	17	25	9	7	6	17	5	9	19	9	17	5	10	32	4	15	6	0	8	19	6	5	14	13	8									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	62	7	7	5	5	2	2	1	3	2	0	2	1	3	2	2	5	2	3	0	1	2	0	1	0	0	1	2	0	0	1	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	222	24	18	33	23	9	3	12	10	3	3	2	8	1	0	9	5	5	15	1	0	3	0	5	2	1	3	6	1	3	10	1	3									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
