Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																														
Дата голосования: 04.12.2011																																																														
																																																														
Наименование Избирательной комиссии:    Куйбышевская  																																																														
																																																														
Сводная таблица результатов выборов																																																														
																																																														
		Сумма	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629					
1	"Число избирателей, внесенных в список избирателей"	48341	1104	94	295	472	223	401	345	121	609	608	863	347	351	594	169	192	244	294	577	1354	272	227	194	558	325	818	247	1038	513	259	1421	1304	1379	1530	1523	1477	1697	1510	1565	1563	1254	1242	1363	1255	1336	1304	1369	1297	1286	1364	1380	1315	1487	1145	1267					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	44100	1000	90	300	500	210	400	350	110	550	600	850	340	350	600	170	180	220	300	550	1350	250	200	180	550	300	850	220	1000	500	230	1300	1000	1200	1400	1400	1300	1600	1400	1400	1400	1100	1100	1100	1100	1200	1200	1200	1200	1200	1200	1200	1200	1300	1000	1100					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	25000	699	70	248	310	144	303	201	50	330	361	309	142	213	272	94	114	137	152	421	714	113	124	67	221	165	459	135	578	280	150	592	519	814	747	670	669	758	679	730	625	734	745	825	566	784	727	685	652	717	751	704	782	618	644	687					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2462	80	4	7	37	15	13	21	26	40	18	79	53	23	73	0	9	26	40	43	45	35	9	23	59	17	72	74	83	47	37	47	223	65	38	52	54	28	46	18	50	43	37	51	62	44	46	46	38	44	63	41	46	66	47	59					
6	Число погашенных избирательных бюллетеней	16638	221	16	45	153	51	84	128	34	180	221	462	145	114	255	76	57	57	108	86	591	102	67	90	270	118	319	11	339	173	43	661	258	321	615	678	577	814	675	652	725	323	318	224	472	372	427	469	510	439	386	455	372	616	309	354					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2462	80	4	7	37	15	13	21	26	40	18	79	53	23	73	0	9	26	40	43	45	35	9	23	59	17	72	74	83	47	37	47	223	65	38	52	54	28	46	18	50	43	37	51	62	44	46	46	38	44	63	41	46	66	47	59					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	24994	699	70	248	310	144	303	201	50	330	361	309	142	213	272	94	114	137	152	421	713	113	124	67	221	165	459	135	578	280	150	592	519	814	747	670	669	758	679	730	624	734	745	821	566	784	727	685	652	717	751	704	782	618	644	687					
9	Число недействительных избирательных бюллетеней	340	10	2	3	6	1	5	8	6	8	5	13	2	5	2	0	2	3	3	13	4	1	4	3	4	0	7	0	7	2	1	8	16	9	5	11	10	7	4	11	6	6	7	6	10	10	4	9	13	5	4	8	13	9	15	4					
10	Число действительных избирательных бюллетеней	27116	769	72	252	341	158	311	214	70	362	374	375	193	231	343	94	121	160	189	451	754	147	129	87	276	182	524	209	654	325	186	631	726	870	780	711	713	779	721	737	668	771	775	866	618	818	769	722	677	756	810	737	815	675	676	742					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	810	25	5	25	30	10	5	20	3	5	5	10	5	3	25	5	5	5	9	20	15	8	5	5	20	5	40	5	10	10	5	18	18	18	26	19	20	18	18	18	18	18	8	14	18	18	18	25	18	21	18	18	21	18	18	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	675	25	0	25	30	10	5	17	0	2	5	5	5	3	25	5	5	0	9	20	11	8	0	2	20	0	38	0	9	10	0	14	10	15	23	19	19	14	17	13	13	12	5	12	18	16	13	22	14	19	13	15	19	10	17	19					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	435	7	4	2	5	0	1	3	0	3	2	2	4	1	3	9	2	1	0	3	6	4	3	2	1	0	5	0	3	0	2	12	7	20	22	14	8	14	10	16	9	20	10	23	9	21	11	15	14	12	20	18	15	13	12	12					
14	Число погашенных неиспользованных открепительных удостоверений	135	0	5	0	0	0	0	3	3	3	0	5	0	0	0	0	0	5	0	0	4	0	5	3	0	5	2	5	1	0	5	4	8	3	3	0	1	4	1	5	5	6	3	2	0	2	5	3	4	2	5	3	2	8	1	1					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	78	2	0	0	0	0	1	3	0	2	0	0	0	0	4	1	0	0	0	1	1	0	0	0	0	1	0	0	2	1	0	5	2	4	4	2	2	4	4	4	2	3	2	3	1	0	2	1	3	1	2	6	0	0	2	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																														
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3641	71	4	34	39	10	33	14	5	44	33	44	18	25	41	10	12	16	13	55	89	13	21	15	38	23	58	16	87	39	15	80	87	114	119	93	115	113	112	103	81	116	143	127	98	135	117	109	99	117	111	93	112	98	100	114					
		13.26%	9.11%	5.41%	13.33%	11.24%	6.29%	10.44%	6.31%	6.58%	11.89%	8.71%	11.34%	9.23%	10.59%	11.88%	10.64%	9.76%	9.82%	6.77%	11.85%	11.74%	8.78%	15.79%	16.67%	13.57%	12.64%	10.92%	7.66%	13.16%	11.93%	8.02%	12.52%	11.73%	12.97%	15.16%	12.88%	15.91%	14.38%	15.45%	13.77%	12.02%	14.93%	18.29%	14.56%	15.61%	16.30%	15.14%	14.91%	14.35%	15.37%	13.64%	12.48%	13.53%	14.33%	14.47%	15.28%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	4471	102	16	43	51	8	53	51	5	54	27	60	26	50	55	6	25	27	53	77	121	18	28	11	37	41	94	24	130	100	34	151	174	115	142	128	140	161	155	140	111	116	112	131	101	102	113	99	108	124	105	109	103	122	87	95					
		16.28%	13.09%	21.62%	16.86%	14.70%	5.03%	16.77%	22.97%	6.58%	14.59%	7.12%	15.46%	13.33%	21.19%	15.94%	6.38%	20.33%	16.56%	27.60%	16.59%	15.96%	12.16%	21.05%	12.22%	13.21%	22.53%	17.70%	11.48%	19.67%	30.58%	18.18%	23.63%	23.45%	13.08%	18.09%	17.73%	19.36%	20.48%	21.38%	18.72%	16.47%	14.93%	14.32%	15.02%	16.08%	12.32%	14.62%	13.54%	15.65%	16.29%	12.90%	14.63%	12.44%	17.84%	12.59%	12.73%					
