Выборы Президента Российской Федерации																																										
																																										
Наименование Избирательной комиссии:    Опочецкая																																										
																																										
Итоги голосования 																																										
																																										
		Сумма	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423					
1	"Число избирателей, внесенных в список"	18810	1445	1195	1336	1369	1525	1400	611	1566	551	1119	191	293	262	181	351	99	340	155	318	555	77	217	119	226	366	173	179	245	141	330	129	267	301	788	390					
2	Число полученных избирательных бюллетеней	18827	1450	1200	1300	1300	1500	1350	575	1500	540	1000	200	300	285	200	360	110	350	190	350	600	86	260	140	250	380	200	200	230	170	370	136	300	310	760	375					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	8977	774	613	650	646	749	637	325	646	445	586	110	115	86	110	159	19	184	97	147	218	19	117	27	104	155	76	76	72	90	157	31	126	114	319	178					
5	"Число избирательных бюллетеней, выданных вне помещения"	2570	13	21	34	24	29	20	13	59	71	69	59	80	84	0	124	63	136	43	121	235	54	84	73	95	134	83	53	78	44	104	81	106	104	131	48					
6	Число погашенных избирательных бюллетеней	7280	663	566	616	630	722	693	237	795	24	345	31	105	115	90	77	28	30	50	82	147	13	59	40	51	91	41	71	80	36	109	24	68	92	310	149					
7	Число избирательных бюллетеней в переносных ящиках	2570	13	21	34	24	29	20	13	59	71	69	59	80	84	0	124	63	136	43	121	235	54	84	73	95	134	83	53	78	44	104	81	106	104	131	48					
8	Число бюллетеней в стационарных ящиках для голосования	8977	774	613	650	646	749	637	325	646	445	586	110	115	86	110	159	19	184	97	147	218	19	117	27	104	155	76	76	72	90	157	31	126	114	319	178					
9	Число недействительных избирательных бюллетеней	58	0	5	2	5	2	1	6	3	3	8	2	1	0	0	0	0	1	1	2	1	0	1	2	0	2	0	0	3	1	0	2	0	1	3	0					
10	Число действительных избирательных бюллетеней	11489	787	629	682	665	776	656	332	702	513	647	167	194	170	110	283	82	319	139	266	452	73	200	98	199	287	159	129	147	133	261	110	232	217	447	226					
11	Число полученных открепительных  удостоверений	295	15	35	15	15	15	15	15	15	15	15	5	5	5	5	5	3	5	5	5	5	3	5	3	5	5	5	5	5	3	5	3	5	5	10	10					
12	Число выданных открепительных удостоверений	99	13	21	8	2	7	3	2	5	0	1	2	0	0	4	0	0	5	2	2	4	0	2	2	0	1	2	0	0	0	4	2	2	0	3	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	67	4	6	4	1	7	2	1	2	0	2	3	0	2	0	4	3	1	0	1	3	0	2	1	2	3	0	0	2	1	4	4	2	0	0	0					
14	Число неиспользованных открепительных удостоверений	196	2	14	7	13	8	12	13	10	15	14	3	5	5	1	5	3	0	3	3	1	3	3	1	5	4	3	5	5	3	1	1	3	5	7	10					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																										
18	. Глазьев Сергей Юрьевич	261	40	20	11	11	34	10	16	22	5	17	4	2	4	4	6	0	5	2	9	2	4	2	3	0	3	1	1	0	1	3	5	2	4	2	6					
		2.26%	5.08%	3.15%	1.61%	1.64%	4.37%	1.52%	4.73%	3.12%	0.97%	2.60%	2.37%	1.03%	2.35%	3.64%	2.12%	0.00%	1.56%	1.43%	3.36%	0.44%	5.48%	1.00%	3.00%	0.00%	1.04%	0.63%	0.78%	0.00%	0.75%	1.15%	4.46%	0.86%	1.83%	0.44%	2.65%					
19	. Малышкин Олег Александрович	211	11	8	9	13	20	16	3	12	3	8	3	2	6	0	6	0	7	4	1	6	4	5	4	2	6	1	6	7	2	6	2	5	6	11	6					
		1.83%	1.40%	1.26%	1.32%	1.94%	2.57%	2.44%	0.89%	1.70%	0.58%	1.22%	1.78%	1.03%	3.53%	0.00%	2.12%	0.00%	2.19%	2.86%	0.37%	1.32%	5.48%	2.49%	4.00%	1.01%	2.08%	0.63%	4.65%	4.67%	1.49%	2.30%	1.79%	2.16%	2.75%	2.44%	2.65%					
