Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																
Дата голосования: 02.12.2007																																
																																
Наименование Избирательной комиссии:    Ребрихинская																																
																																
Сводная таблица результатов выборов																																
																																
		Сумма	УИК №1285	УИК №1286	УИК №1287	УИК №1288	УИК №1289	УИК №1290	УИК №1291	УИК №1292	УИК №1293	УИК №1294	УИК №1295	УИК №1296	УИК №1297	УИК №1298	УИК №1299	УИК №1300	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309					
1	"Число избирателей, внесенных в списки избирателей"	21716	2564	1850	617	661	2066	1400	869	557	873	910	341	645	374	1034	585	739	1014	133	450	229	1627	870	372	839	97					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	20600	2300	1700	500	600	2000	1400	850	550	850	900	310	650	390	950	580	700	950	140	430	210	1500	900	350	800	90					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	12763	1517	1009	320	408	1095	804	507	435	467	487	211	410	233	634	365	424	601	97	356	161	853	468	262	549	90					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	970	65	49	62	15	84	40	33	26	66	41	16	29	37	30	38	21	56	4	18	10	76	81	17	56	0					
6	Число погашенных избирательных бюллетеней	6867	718	642	118	177	821	556	310	89	317	372	83	211	120	286	177	255	293	39	56	39	571	351	71	195	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	970	65	49	62	15	84	40	33	26	66	41	16	29	37	30	38	21	56	4	18	10	76	81	17	56	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	12762	1516	1009	320	408	1095	804	507	435	467	487	211	410	233	634	365	424	601	97	356	161	853	468	262	549	90					
9	Число недействительных избирательных бюллетеней	127	15	6	2	0	8	11	3	7	6	5	6	6	5	8	5	2	5	0	5	0	9	5	2	6	0					
10	Число действительных избирательных бюллетеней	13605	1566	1052	380	423	1171	833	537	454	527	523	221	433	265	656	398	443	652	101	369	171	920	544	277	599	90					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	193	20	15	7	6	15	10	5	5	7	5	5	5	9	10	5	5	10	5	5	5	14	5	5	5	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	98	20	11	3	4	2	8	0	0	5	1	1	3	8	3	1	2	3	2	2	0	12	3	1	3	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	77	18	6	3	0	3	6	3	0	2	4	2	1	2	2	1	6	5	1	1	4	1	1	1	2	2					
14	Число погашенных неиспользованных открепительных удостоверений	95	0	4	4	2	13	2	5	5	2	4	4	2	1	7	4	3	7	3	3	5	2	2	4	2	5					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																
18	1.Политическая партия «Аграрная партия России»	794	90	37	22	9	47	66	47	46	38	44	4	40	28	31	24	34	30	4	24	3	41	39	20	21	5					
		5.78%	5.69%	3.50%	5.76%	2.13%	3.99%	7.82%	8.70%	9.98%	7.13%	8.33%	1.76%	9.11%	10.37%	4.67%	5.96%	7.64%	4.57%	3.96%	6.42%	1.75%	4.41%	7.10%	7.17%	3.47%	5.56%					
19	2.Всероссийская политическая партия «Гражданская Сила»	52	16	10	2	1	2	3	2	0	1	5	0	3	0	2	0	0	0	1	0	0	0	0	2	2	0					
		0.38%	1.01%	0.95%	0.52%	0.24%	0.17%	0.36%	0.37%	0.00%	0.19%	0.95%	0.00%	0.68%	0.00%	0.30%	0.00%	0.00%	0.00%	0.99%	0.00%	0.00%	0.00%	0.00%	0.72%	0.33%	0.00%					
20	3.Политическая партия «Демократическая партия России»	11	0	0	0	0	0	0	0	1	4	1	0	2	0	0	0	0	0	0	0	0	1	0	1	1	0					
		0.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.22%	0.75%	0.19%	0.00%	0.46%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.11%	0.00%	0.36%	0.17%	0.00%					
