Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва								
Дата голосования: 02.12.2007								
								
Наименование Избирательной комиссии:    Магасская								
								
Сводная таблица результатов выборов								
								
		Сумма	УИК №14					
1	"Число избирателей, внесенных в списки избирателей"	213	213					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	213	213					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	210	210					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	0	0					
6	Число погашенных избирательных бюллетеней	3	3					
7	Число избирательных бюллетеней в переносных ящиках для голосования	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	210	210					
9	Число недействительных избирательных бюллетеней	0	0					
10	Число действительных избирательных бюллетеней	210	210					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	10	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	12	12					
14	Число погашенных неиспользованных открепительных удостоверений	10	10					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0					
16	Число утраченных избирательных бюллетеней	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0					
17а	Число утраченных открепительных удостоверений	0	0					
17б	Число не учтенных открепительных удостоверений	0	0					
								
18	1.Политическая партия «Аграрная партия России»	0	0					
		0.00%	0.00%					
19	2.Всероссийская политическая партия «Гражданская Сила»	0	0					
		0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	0	0					
		0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	0	0					
		0.00%	0.00%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	0	0					
		0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	0	0					
		0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	3	3					
		1.43%	1.43%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	5	5					
		2.38%	2.38%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	0	0					
		0.00%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	197	197					
		93.81%	93.81%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	5	5					
		2.38%	2.38%					
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
