Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																						
Дата голосования: 04.12.2011																						
																						
Наименование Избирательной комиссии:    Алейская городская																						
																						
Сводная таблица результатов выборов																						
																						
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15					
1	"Число избирателей, внесенных в список избирателей"	24420	1553	638	1796	1503	1709	1668	1473	1507	1898	1630	2403	947	121	2320	3254					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	22890	1420	590	1650	1350	1570	1520	1350	1360	1950	1500	2240	840	200	1850	3500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	11697	681	323	575	560	668	768	617	704	964	670	1258	325	71	1137	2376					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	681	41	34	57	32	50	49	62	31	60	42	50	30	8	19	116					
6	Число погашенных избирательных бюллетеней	10512	698	233	1018	758	852	703	671	625	926	788	932	485	121	694	1008					
7	Число избирательных бюллетеней в переносных ящиках для голосования	681	41	34	57	32	50	49	62	31	60	42	50	30	8	19	116					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	11696	681	323	575	560	667	768	617	704	964	670	1258	325	71	1137	2376					
9	Число недействительных избирательных бюллетеней	217	9	5	9	6	20	11	11	20	16	24	20	3	0	23	40					
10	Число действительных избирательных бюллетеней	12160	713	352	623	586	697	806	668	715	1008	688	1288	352	79	1133	2452					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	293	10	9	12	9	17	23	18	13	36	21	39	9	0	43	34					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	264	10	9	9	9	17	21	15	12	36	21	39	2	0	38	26					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	108	5	2	1	2	3	1	5	10	9	16	4	3	7	9	31					
14	Число погашенных неиспользованных открепительных удостоверений	29	0	0	3	0	0	2	3	1	0	0	0	7	0	5	8					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	7	0	0	0	0	0	0	2	0	1	2	1	0	0	1	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																						
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1545	112	58	74	86	96	124	102	100	166	76	236	36	6	111	162					
		12.48%	15.51%	16.25%	11.71%	14.53%	13.39%	15.18%	15.02%	13.61%	16.21%	10.67%	18.04%	10.14%	7.59%	9.60%	6.50%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	2401	117	53	114	107	144	161	107	109	129	148	180	57	6	283	686					
		19.40%	16.20%	14.85%	18.04%	18.07%	20.08%	19.71%	15.76%	14.83%	12.60%	20.79%	13.76%	16.06%	7.59%	24.48%	27.53%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	95	4	1	2	1	0	6	5	7	10	7	13	1	0	8	30					
		0.77%	0.55%	0.28%	0.32%	0.17%	0.00%	0.73%	0.74%	0.95%	0.98%	0.98%	0.99%	0.28%	0.00%	0.69%	1.20%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	3120	190	106	162	171	197	244	206	201	325	194	413	112	27	302	270					
		25.21%	26.32%	29.69%	25.63%	28.89%	27.48%	29.87%	30.34%	27.35%	31.74%	27.25%	31.57%	31.55%	34.18%	26.12%	10.83%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	179	5	4	6	3	7	14	8	23	34	10	23	8	2	7	25					
		1.45%	0.69%	1.12%	0.95%	0.51%	0.98%	1.71%	1.18%	3.13%	3.32%	1.40%	1.76%	2.25%	2.53%	0.61%	1.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4767	284	129	265	214	248	255	236	274	338	250	420	138	38	420	1258					
		38.51%	39.34%	36.13%	41.93%	36.15%	34.59%	31.21%	34.76%	37.28%	33.01%	35.11%	32.11%	38.87%	48.10%	36.33%	50.48%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	53	1	1	0	4	5	2	4	1	6	3	3	0	0	2	21					
		0.43%	0.14%	0.28%	0.00%	0.68%	0.70%	0.24%	0.59%	0.14%	0.59%	0.42%	0.23%	0.00%	0.00%	0.17%	0.84%					
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
