Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																			
Дата голосования: 02.12.2007																			
																			
Наименование Избирательной комиссии:    Карабашская городская																			
																			
Сводная таблица результатов выборов																			
																			
		Сумма	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144					
1	"Число избирателей, внесенных в списки избирателей"	12374	88	841	1085	1097	2517	2019	795	547	556	812	208	1809					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	10930	90	740	1000	970	2300	1800	700	500	500	700	180	1450					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	6881	63	464	477	565	1580	1231	379	273	286	403	59	1101					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	592	14	63	62	53	59	79	36	21	25	54	64	62					
6	Число погашенных избирательных бюллетеней	3457	13	213	461	352	661	490	285	206	189	243	57	287					
7	Число избирательных бюллетеней в переносных ящиках для голосования	592	14	63	62	53	59	79	36	21	25	54	64	62					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	6881	63	464	477	565	1580	1231	379	273	286	403	59	1101					
9	Число недействительных избирательных бюллетеней	100	0	8	6	2	22	22	6	3	8	7	0	16					
10	Число действительных избирательных бюллетеней	7373	77	519	533	616	1617	1288	409	291	303	450	123	1147					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	178	3	3	12	18	41	29	7	10	10	15	5	25					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	161	1	3	11	17	41	28	6	4	6	15	5	24					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	103	16	6	0	6	26	9	1	5	4	7	5	18					
14	Число погашенных неиспользованных открепительных удостоверений	17	2	0	1	1	0	1	1	6	4	0	0	1					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	22	0	0	6	0	4	3	1	0	3	4	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0					
																			
18	1.Политическая партия «Аграрная партия России»	87	1	8	2	4	27	25	4	2	2	5	0	7					
		1.16%	1.30%	1.52%	0.37%	0.65%	1.65%	1.91%	0.96%	0.68%	0.64%	1.09%	0.00%	0.60%					
19	2.Всероссийская политическая партия «Гражданская Сила»	34	2	1	1	4	11	2	0	1	1	2	0	9					
		0.45%	2.60%	0.19%	0.19%	0.65%	0.67%	0.15%	0.00%	0.34%	0.32%	0.44%	0.00%	0.77%					
20	3.Политическая партия «Демократическая партия России»	9	0	1	0	0	3	0	2	2	0	1	0	0					
		0.12%	0.00%	0.19%	0.00%	0.00%	0.18%	0.00%	0.48%	0.68%	0.00%	0.22%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	688	10	43	51	59	187	168	48	27	24	17	8	46					
		9.21%	12.99%	8.16%	9.46%	9.55%	11.41%	12.82%	11.57%	9.18%	7.72%	3.72%	6.50%	3.96%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	55	1	1	3	4	17	9	6	7	1	1	0	5					
		0.74%	1.30%	0.19%	0.56%	0.65%	1.04%	0.69%	1.45%	2.38%	0.32%	0.22%	0.00%	0.43%					
23	6.Политическая партия «Партия социальной справедливости»	14	0	2	4	1	3	0	0	1	1	0	0	2					
		0.19%	0.00%	0.38%	0.74%	0.16%	0.18%	0.00%	0.00%	0.34%	0.32%	0.00%	0.00%	0.17%					
24	7.Политическая партия «Либерально-демократическая партия России»	747	5	57	73	65	175	123	36	36	28	38	3	108					
		9.99%	6.49%	10.82%	13.54%	10.52%	10.68%	9.39%	8.67%	12.24%	9.00%	8.32%	2.44%	9.29%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	507	16	24	12	41	158	118	23	15	9	33	9	49					
		6.78%	20.78%	4.55%	2.23%	6.63%	9.64%	9.01%	5.54%	5.10%	2.89%	7.22%	7.32%	4.21%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	266	4	23	12	27	56	53	10	20	12	23	2	24					
		3.56%	5.19%	4.36%	2.23%	4.37%	3.42%	4.05%	2.41%	6.80%	3.86%	5.03%	1.63%	2.06%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	4897	37	359	372	406	960	780	274	172	223	328	101	885					
		65.53%	48.05%	68.12%	69.02%	65.70%	58.57%	59.54%	66.02%	58.50%	71.70%	71.77%	82.11%	76.10%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	69	1	0	3	5	20	10	6	8	2	2	0	12					
		0.92%	1.30%	0.00%	0.56%	0.81%	1.22%	0.76%	1.45%	2.72%	0.64%	0.44%	0.00%	1.03%					
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
