Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																				
Дата голосования: 04.12.2011																																																																				
																																																																				
Наименование Избирательной комиссии:    Стерлитамакская																																																																				
																																																																				
Сводная таблица результатов выборов																																																																				
																																																																				
		Сумма	УИК №2904	УИК №2905	УИК №2906	УИК №2907	УИК №2908	УИК №2909	УИК №2910	УИК №2911	УИК №2912	УИК №2913	УИК №2914	УИК №2915	УИК №2916	УИК №2917	УИК №2918	УИК №2919	УИК №2920	УИК №2921	УИК №2922	УИК №2923	УИК №2924	УИК №2925	УИК №2926	УИК №2927	УИК №2928	УИК №2929	УИК №2930	УИК №2931	УИК №2932	УИК №2933	УИК №2934	УИК №2935	УИК №2936	УИК №2937	УИК №2938	УИК №2939	УИК №2940	УИК №2941	УИК №2942	УИК №2943	УИК №2944	УИК №2945	УИК №2946	УИК №2947	УИК №2948	УИК №2949	УИК №2950	УИК №2951	УИК №2952	УИК №2953	УИК №2954	УИК №2955	УИК №2956	УИК №2957	УИК №2958	УИК №2959	УИК №2960	УИК №2961	УИК №2962	УИК №2963	УИК №2964					
1	"Число избирателей, внесенных в список избирателей"	29135	527	210	274	253	197	817	444	199	172	115	592	651	312	539	481	497	515	390	153	1998	700	201	325	205	987	1074	295	397	500	192	564	390	784	248	200	238	306	1346	1799	269	1196	357	596	164	169	203	127	204	118	210	439	346	1371	463	300	329	571	610	351	406	249					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	29520	615	212	275	255	200	824	447	201	178	115	606	665	318	521	454	583	520	388	153	2018	696	206	329	206	984	1105	287	390	506	192	624	387	792	248	199	248	307	1351	1795	273	1141	360	605	155	152	196	128	198	119	211	441	348	1360	542	302	326	568	684	347	414	250					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	23539	462	186	240	234	165	741	273	148	144	91	540	583	269	464	335	414	470	349	139	1745	604	153	271	179	784	983	231	290	404	169	515	318	709	233	194	232	253	619	884	251	850	356	538	155	152	187	123	198	87	190	365	270	1170	351	207	269	482	456	300	354	211					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2016	18	14	23	4	21	33	121	0	0	7	50	56	23	57	97	42	35	39	14	113	81	39	40	15	24	25	14	63	62	11	49	39	42	15	0	0	11	36	28	7	8	0	26	0	0	9	0	0	30	12	50	37	26	86	79	36	59	116	35	25	14					
6	Число погашенных избирательных бюллетеней	3965	135	12	12	17	14	50	53	53	34	17	16	26	26	0	22	127	15	0	0	160	11	14	18	12	176	97	42	37	40	12	60	30	41	0	5	16	43	696	883	15	283	4	41	0	0	0	5	0	2	9	26	41	164	105	16	21	27	112	12	35	25					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2016	18	14	23	4	21	33	121	0	0	7	50	56	23	57	97	42	35	39	14	113	81	39	40	15	24	25	14	63	62	11	49	39	42	15	0	0	11	36	28	7	8	0	26	0	0	9	0	0	30	12	50	37	26	86	79	36	59	116	35	25	14					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	23539	462	186	240	234	165	741	273	148	144	91	540	583	269	464	335	414	470	349	139	1745	604	153	271	179	784	983	231	290	404	169	515	318	709	233	194	232	253	619	884	251	850	356	538	155	152	187	123	198	87	190	365	270	1170	351	207	269	482	456	300	354	211					
9	Число недействительных избирательных бюллетеней	179	12	0	3	1	0	0	1	0	1	1	0	0	2	2	5	1	0	0	0	0	4	0	0	2	10	3	0	0	0	0	4	7	7	3	0	0	0	2	17	3	3	0	4	10	4	4	0	0	0	13	4	3	14	13	0	1	7	7	1	0	0					
10	Число действительных избирательных бюллетеней	25376	468	200	260	237	186	774	393	148	143	97	590	639	290	519	427	455	505	388	153	1858	681	192	311	192	798	1005	245	353	466	180	560	350	744	245	194	232	264	653	895	255	855	356	560	145	148	192	123	198	117	189	411	304	1182	424	286	304	534	565	334	379	225					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	192	2	2	0	2	2	9	2	2	2	2	4	4	0	2	2	2	2	2	2	5	2	2	2	2	4	4	2	3	2	2	2	2	22	2	2	2	2	8	6	2	12	2	5	2	2	2	2	2	2	2	3	3	8	4	2	2	4	2	2	2	2					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	142	0	0	0	0	0	9	2	2	2	0	4	4	0	2	2	0	0	2	0	5	1	0	0	0	4	4	2	3	2	2	1	1	22	0	2	2	2	8	6	1	10	0	5	0	0	0	0	0	2	2	3	3	8	4	2	0	4	0	0	2	0					
