Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																			
Дата голосования: 02.12.2007																																																																			
																																																																			
Наименование Избирательной комиссии:    Стерлитамакская																																																																			
																																																																			
Сводная таблица результатов выборов																																																																			
																																																																			
		Сумма	УИК №2919	УИК №2920	УИК №2921	УИК №2922	УИК №2923	УИК №2924	УИК №2925	УИК №2926	УИК №2927	УИК №2928	УИК №2929	УИК №2930	УИК №2931	УИК №2932	УИК №2933	УИК №2934	УИК №2935	УИК №2936	УИК №2937	УИК №2938	УИК №2939	УИК №2940	УИК №2941	УИК №2942	УИК №2943	УИК №2944	УИК №2945	УИК №2946	УИК №2947	УИК №2948	УИК №2949	УИК №2950	УИК №2951	УИК №2952	УИК №2953	УИК №2954	УИК №2955	УИК №2956	УИК №2957	УИК №2958	УИК №2959	УИК №2960	УИК №2961	УИК №2962	УИК №2963	УИК №2964	УИК №2965	УИК №2966	УИК №2967	УИК №2968	УИК №2969	УИК №2970	УИК №2971	УИК №2972	УИК №2973	УИК №2974	УИК №2975	УИК №2976	УИК №2977	УИК №2978					
1	"Число избирателей, внесенных в списки избирателей"	27492	272	265	202	522	208	406	191	162	125	865	590	630	296	405	404	504	513	509	486	357	130	2046	203	312	207	1926	268	314	514	176	622	969	155	1571	369	808	231	189	220	302	552	141	149	196	118	207	166	243	519	600	396	1358	435	301	386	651	593	354	419	264					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	27050	278	264	203	514	207	409	191	162	126	873	595	620	299	411	392	500	504	497	491	353	132	1980	201	312	203	1843	262	299	489	176	612	960	158	1428	368	814	236	190	220	302	543	144	151	187	112	193	166	247	522	644	393	1300	434	293	386	649	591	346	416	259					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	24144	217	243	169	492	176	274	189	162	125	826	546	600	263	374	327	419	419	361	429	286	104	1890	155	273	185	1754	238	256	400	168	559	872	144	1389	279	701	200	184	219	277	494	141	145	180	112	191	130	223	442	528	343	1230	347	210	309	593	468	298	369	247					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1904	32	6	17	21	15	112	0	0	0	14	40	17	21	23	46	62	82	118	40	34	22	75	40	26	16	0	17	43	67	4	40	44	5	21	85	35	24	3	0	10	21	0	0	0	0	0	31	12	47	72	32	20	61	83	41	45	90	40	23	9					
6	Число погашенных избирательных бюллетеней	1002	29	15	17	1	16	23	2	0	1	33	9	3	15	14	19	19	3	18	22	33	6	15	6	13	2	89	7	0	22	4	13	44	9	18	4	78	12	3	1	15	28	3	6	7	0	2	5	12	33	44	18	50	26	0	36	11	33	8	24	3					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1904	32	6	17	21	15	112	0	0	0	14	40	17	21	23	46	62	82	118	40	34	22	75	40	26	16	0	17	43	67	4	40	44	5	21	85	35	24	3	0	10	21	0	0	0	0	0	31	12	47	72	32	20	61	83	41	45	90	40	23	9					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	24144	217	243	169	492	176	274	189	162	125	826	546	600	263	374	327	419	419	361	429	286	104	1890	155	273	185	1754	238	256	400	168	559	872	144	1389	279	701	200	184	219	277	494	141	145	180	112	191	130	223	442	528	343	1230	347	210	309	593	468	298	369	247					
9	Число недействительных избирательных бюллетеней	91	0	0	0	0	0	0	0	0	0	5	0	0	1	0	2	2	7	0	1	0	0	0	0	0	1	11	0	0	4	0	0	0	0	6	0	4	0	1	0	0	10	0	0	1	0	2	0	4	0	3	2	10	0	0	1	4	5	0	4	0					
10	Число действительных избирательных бюллетеней	25957	249	249	186	513	191	386	189	162	125	835	586	617	283	397	371	479	494	479	468	320	126	1965	195	299	200	1743	255	299	463	172	599	916	149	1404	364	732	224	186	219	287	505	141	145	179	112	189	161	231	489	597	373	1240	408	293	349	634	553	338	388	256					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	193	2	2	2	2	2	4	2	2	2	12	6	2	2	4	2	2	2	2	2	2	2	9	2	2	2	5	2	2	3	2	3	8	2	9	2	4	2	2	2	2	8	2	2	2	2	4	4	4	5	2	2	13	2	2	2	3	3	2	2	2					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	122	1	2	0	0	0	4	1	0	0	12	4	1	0	2	0	1	2	0	0	0	0	9	0	1	0	5	1	1	2	2	0	8	2	9	2	4	0	0	0	0	8	0	0	0	0	4	4	4	5	1	0	13	0	2	0	3	1	0	0	1					
