Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																									
Дата голосования: 18.09.2016																									
																									
Наименование Избирательной комиссии:    Михайловская																									
																									
Сводная таблица итогов голосования по федеральному избирательному округу																									
																									
		Сумма	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1174	УИК №1175	УИК №1176	УИК №1177									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	16668	638	2205	1729	1643	1631	1834	1688	1863	431	741	361	837	868	199									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	14530	550	1900	1500	1450	1400	1600	1450	1600	400	650	350	750	750	180									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6357	222	893	750	691	644	750	539	589	171	269	140	290	325	84									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	371	14	52	16	45	45	27	31	36	15	20	18	22	19	11									
6	Число погашенных избирательных бюллетеней	7802	314	955	734	714	711	823	880	975	214	361	192	438	406	85									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	371	14	52	16	45	45	27	31	36	15	20	18	22	19	11									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6354	221	893	749	691	643	750	539	589	171	269	140	290	325	84									
9	Число недействительных избирательных бюллетеней	175	14	25	27	20	8	20	6	23	7	9	3	4	6	3									
10	Число действительных избирательных бюллетеней	6550	221	920	738	716	680	757	564	602	179	280	155	308	338	92									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	136	5	15	15	15	15	21	10	10	5	5	5	5	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	64	2	7	12	2	9	19	2	5	1	1	0	2	2	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	29	2	3	4	2	3	2	1	3	1	1	2	2	2	1									
14	Число погашенных неиспользованных открепительных удостоверений	72	3	8	3	13	6	2	8	5	4	4	5	3	3	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	14	1	1	3	1	1	1	2	0	0	0	3	1	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	44	2	6	5	6	10	4	1	3	1	1	0	3	2	0									
		0.65%	0.85%	0.63%	0.65%	0.82%	1.45%	0.51%	0.18%	0.48%	0.54%	0.35%	0.00%	0.96%	0.58%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	267	11	34	13	27	23	31	13	28	16	24	10	13	18	6									
		3.97%	4.68%	3.60%	1.70%	3.67%	3.34%	3.99%	2.28%	4.48%	8.60%	8.30%	6.33%	4.17%	5.23%	6.32%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	102	1	12	15	15	6	14	13	10	2	4	2	4	4	0									
		1.52%	0.43%	1.27%	1.96%	2.04%	0.87%	1.80%	2.28%	1.60%	1.08%	1.38%	1.27%	1.28%	1.16%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2265	69	329	248	252	256	224	182	232	74	110	57	103	98	31									
		33.68%	29.36%	34.81%	32.42%	34.24%	37.21%	28.83%	31.93%	37.12%	39.78%	38.06%	36.08%	33.01%	28.49%	32.63%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	27	1	5	8	4	2	3	2	1	0	0	1	0	0	0									
		0.40%	0.43%	0.53%	1.05%	0.54%	0.29%	0.39%	0.35%	0.16%	0.00%	0.00%	0.63%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	15	0	5	3	2	0	2	1	0	2	0	0	0	0	0									
		0.22%	0.00%	0.53%	0.39%	0.27%	0.00%	0.26%	0.18%	0.00%	1.08%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1413	35	176	199	171	172	157	145	129	20	34	29	60	74	12									
		21.01%	14.89%	18.62%	26.01%	23.23%	25.00%	20.21%	25.44%	20.64%	10.75%	11.76%	18.35%	19.23%	21.51%	12.63%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	30	1	7	1	12	2	5	1	0	0	0	1	0	0	0									
		0.45%	0.43%	0.74%	0.13%	1.63%	0.29%	0.64%	0.18%	0.00%	0.00%	0.00%	0.63%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	38	0	6	4	1	12	5	4	1	4	0	0	0	1	0									
		0.57%	0.00%	0.63%	0.52%	0.14%	1.74%	0.64%	0.70%	0.16%	2.15%	0.00%	0.00%	0.00%	0.29%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	7	1	1	1	0	1	1	0	1	0	1	0	0	0	0									
		0.10%	0.43%	0.11%	0.13%	0.00%	0.15%	0.13%	0.00%	0.16%	0.00%	0.35%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	54	2	10	6	8	2	14	5	0	0	1	0	0	4	2									
		0.80%	0.85%	1.06%	0.78%	1.09%	0.29%	1.80%	0.88%	0.00%	0.00%	0.35%	0.00%	0.00%	1.16%	2.11%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1449	68	211	148	129	134	185	110	126	42	84	31	84	78	19									
		21.55%	28.94%	22.33%	19.35%	17.53%	19.48%	23.81%	19.30%	20.16%	22.58%	29.07%	19.62%	26.92%	22.67%	20.00%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	15	0	2	1	2	1	0	0	2	1	1	2	0	1	2									
		0.22%	0.00%	0.21%	0.13%	0.27%	0.15%	0.00%	0.00%	0.32%	0.54%	0.35%	1.27%	0.00%	0.29%	2.11%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	824	30	116	86	87	59	112	87	69	17	20	22	41	58	20									
		12.25%	12.77%	12.28%	11.24%	11.82%	8.58%	14.41%	15.26%	11.04%	9.14%	6.92%	13.92%	13.14%	16.86%	21.05%									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
