Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																									
Дата голосования: 18.09.2016																																									
																																									
Наименование Избирательной комиссии:    район Солнцево																																									
																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																									
																																									
		Сумма	УИК №2791	УИК №2792	УИК №2793	УИК №2794	УИК №2795	УИК №2796	УИК №2797	УИК №2798	УИК №2799	УИК №2800	УИК №2801	УИК №2802	УИК №2803	УИК №2804	УИК №2805	УИК №2806	УИК №2807	УИК №2808	УИК №2809	УИК №2810	УИК №2811	УИК №2812	УИК №2813	УИК №2814	УИК №2815	УИК №2816	УИК №2817	УИК №2818	УИК №3423	УИК №3765									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	70435	2352	2824	2718	2358	2641	2661	2315	2371	2762	2916	2486	2662	1495	1711	2561	2649	2494	2773	2744	2494	3001	2324	2471	2709	2050	2502	2382	2406	477	126									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	55100	1800	2200	2100	1800	2000	2000	1800	1800	2200	2300	1900	2100	1100	1300	2000	2100	1900	2200	2200	2000	2300	1800	1800	2100	1600	2000	1900	1900	400	500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	22331	610	967	853	855	807	883	630	723	847	745	759	787	383	533	867	1065	779	859	898	810	1005	714	941	855	711	765	711	717	143	109									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	741	37	41	46	31	42	30	10	15	40	27	49	18	28	23	24	23	14	14	16	8	4	15	16	19	19	22	45	41	9	15									
6	Число погашенных избирательных бюллетеней	32028	1153	1192	1201	914	1151	1087	1160	1062	1313	1528	1092	1295	689	744	1109	1012	1107	1327	1286	1182	1291	1071	843	1226	870	1213	1144	1142	248	376									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	741	37	41	46	31	42	30	10	15	40	27	49	18	28	23	24	23	14	14	16	8	4	15	16	19	19	22	45	41	9	15									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	22277	610	967	853	855	800	883	630	723	847	745	759	787	355	533	865	1065	779	845	898	809	1003	714	941	855	711	765	711	717	143	109									
9	Число недействительных избирательных бюллетеней	394	19	16	11	16	10	22	14	8	16	3	11	0	0	9	20	13	22	18	21	25	14	14	18	24	13	11	0	16	8	2									
10	Число действительных избирательных бюллетеней	22624	628	992	888	870	832	891	626	730	871	769	797	805	383	547	869	1075	771	841	893	792	993	715	939	850	717	776	756	742	144	122									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	870	30	30	30	30	40	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	20	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	523	19	18	16	19	29	19	22	10	21	25	13	17	4	12	21	22	15	24	13	20	23	16	15	23	25	14	19	25	4	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1034	75	65	108	90	60	72	11	22	10	13	16	10	11	3	72	24	24	46	12	14	10	5	121	54	13	10	28	17	4	14									
14	Число погашенных неиспользованных открепительных удостоверений	347	11	12	14	11	11	11	8	20	9	5	17	13	26	18	9	8	15	6	17	10	7	14	15	7	5	16	11	5	16	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	99	0	3	1	8	5	1	0	5	1	5	2	2	8	3	5	5	5	4	7	3	3	7	2	2	1	4	1	6	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	596	22	22	7	26	34	27	12	14	26	23	8	14	16	17	18	21	33	17	15	18	30	16	26	26	29	18	28	24	7	2									
		2.59%	3.40%	2.18%	0.78%	2.93%	4.04%	2.96%	1.88%	1.90%	2.93%	2.98%	0.99%	1.74%	4.18%	3.06%	2.02%	1.93%	4.16%	1.98%	1.64%	2.20%	2.98%	2.19%	2.72%	2.97%	3.97%	2.29%	3.70%	3.17%	4.61%	1.61%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	390	11	15	7	9	27	19	5	16	19	16	9	11	9	13	11	26	16	16	2	20	19	13	15	11	8	11	15	15	5	1									
		1.69%	1.70%	1.49%	0.78%	1.02%	3.21%	2.08%	0.78%	2.17%	2.14%	2.07%	1.11%	1.37%	2.35%	2.34%	1.24%	2.39%	2.02%	1.86%	0.22%	2.45%	1.89%	1.78%	1.57%	1.26%	1.10%	1.40%	1.98%	1.98%	3.29%	0.81%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	515	16	29	4	17	17	24	6	18	28	14	23	9	10	10	27	21	16	15	7	22	20	32	31	34	13	9	7	26	7	3									
		2.24%	2.47%	2.88%	0.44%	1.92%	2.02%	2.63%	0.94%	2.44%	3.16%	1.81%	2.85%	1.12%	2.61%	1.80%	3.04%	1.93%	2.02%	1.75%	0.77%	2.69%	1.99%	4.39%	3.24%	3.89%	1.78%	1.14%	0.93%	3.43%	4.61%	2.42%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	11393	258	570	573	457	334	394	405	429	487	392	394	484	182	281	378	553	307	439	464	304	414	275	495	399	417	496	396	292	45	79									
		49.50%	39.88%	56.55%	63.74%	51.58%	39.67%	43.15%	63.28%	58.13%	54.90%	50.78%	48.76%	60.12%	47.52%	50.54%	42.52%	50.83%	38.71%	51.11%	50.77%	37.21%	41.11%	37.72%	51.72%	45.65%	57.12%	63.02%	52.38%	38.52%	29.61%	63.71%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	305	5	14	1	16	18	26	6	9	15	12	8	1	5	7	12	24	17	14	4	5	21	10	9	16	7	5	3	15	0	0									
		1.33%	0.77%	1.39%	0.11%	1.81%	2.14%	2.85%	0.94%	1.22%	1.69%	1.55%	0.99%	0.12%	1.31%	1.26%	1.35%	2.21%	2.14%	1.63%	0.44%	0.61%	2.09%	1.37%	0.94%	1.83%	0.96%	0.64%	0.40%	1.98%	0.00%	0.00%									
