Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																											
Дата голосования: 04.12.2011																																																											
																																																											
Наименование Избирательной комиссии:    Выксунская																																																											
																																																											
Сводная таблица результатов выборов																																																											
																																																											
		Сумма	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №2490					
1	"Число избирателей, внесенных в список избирателей"	70907	2341	1586	1973	2155	1072	1255	1520	2539	2410	2315	1764	1800	1441	1635	2240	318	2568	2405	1281	808	2385	2372	2220	2432	1134	1277	1524	819	1723	1758	2295	1977	1042	1026	873	616	1558	1545	299	886	1197	663	592	307	327	112	148	788	181	246	722	437					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	71480	2380	1590	1970	2170	1080	1250	1520	2510	2430	2320	1780	1820	1440	1640	2290	320	2570	2390	1290	800	2430	2390	2230	2410	1150	1290	1550	810	1770	1800	2300	2000	1060	1040	880	610	1550	1530	300	900	1220	680	590	320	370	110	160	810	210	250	750	450					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	38376	1413	916	1139	1137	567	679	768	1598	1471	1334	981	987	809	860	1274	162	1338	1321	748	386	1319	1334	1141	1346	571	759	746	362	868	790	1083	940	524	538	544	349	813	791	196	524	561	326	302	120	162	49	56	370	95	152	320	437					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1909	12	1	26	60	44	18	30	18	10	91	34	28	19	16	46	5	14	44	12	38	16	16	25	26	50	6	88	66	40	29	118	84	38	49	14	33	35	55	13	55	92	71	67	34	58	35	25	30	13	24	38	0					
6	Число погашенных избирательных бюллетеней	31195	955	673	805	973	469	553	722	894	949	895	765	805	612	764	970	153	1218	1025	530	376	1095	1040	1064	1038	529	525	716	382	862	981	1099	976	498	453	322	228	702	684	91	321	567	283	221	166	150	26	79	410	102	74	392	13					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1909	12	1	26	60	44	18	30	18	10	91	34	28	19	16	46	5	14	44	12	38	16	16	25	26	50	6	88	66	40	29	118	84	38	49	14	33	35	55	13	55	92	71	67	34	58	35	25	30	13	24	38	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	38374	1413	916	1139	1137	567	679	768	1598	1469	1334	981	987	809	860	1274	162	1338	1321	748	386	1319	1334	1141	1346	571	759	746	362	868	790	1083	940	524	538	544	349	813	791	196	524	561	326	302	120	162	49	56	370	95	152	320	437					
9	Число недействительных избирательных бюллетеней	450	6	8	12	16	9	10	5	12	22	18	13	8	9	6	23	0	16	20	7	3	22	19	16	12	4	8	10	3	15	13	5	12	7	10	4	5	9	8	0	6	4	4	8	2	0	2	1	7	2	0	5	4					
10	Число действительных избирательных бюллетеней	39833	1419	909	1153	1181	602	687	793	1604	1457	1407	1002	1007	819	870	1297	167	1336	1345	753	421	1313	1331	1150	1360	617	757	824	425	893	806	1196	1012	555	577	554	377	839	838	209	573	649	393	361	152	220	82	80	393	106	176	353	433					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1001	21	25	20	25	25	20	20	25	25	25	20	25	20	25	25	25	25	25	25	10	20	25	30	30	20	20	20	15	20	20	20	15	15	15	15	15	15	15	10	5	10	10	10	20	40	10	20	20	25	10	10	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	629	16	8	17	25	10	9	20	21	20	17	13	20	7	13	7	3	17	16	8	6	20	21	19	20	10	17	20	6	18	12	18	4	7	5	1	4	4	10	0	5	5	8	3	13	40	5	20	14	18	4	5	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	531	12	9	17	16	7	14	17	22	20	15	5	12	10	20	20	10	16	13	10	11	10	7	12	8	9	16	11	10	6	4	11	1	12	4	7	4	6	4	0	6	3	7	7	3	6	4	2	7	6	1	2	59					
14	Число погашенных неиспользованных открепительных удостоверений	372	5	17	3	0	15	11	0	4	5	8	7	5	13	12	18	22	8	9	17	4	0	4	11	10	10	3	0	9	2	8	2	11	8	10	14	11	11	5	10	0	5	2	7	7	0	5	0	6	7	6	5	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	18	0	0	1	0	0	0	0	0	1	0	1	0	3	0	0	0	0	0	0	0	2	1	3	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																											
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	4487	152	99	125	107	56	85	93	199	182	169	104	134	110	111	155	25	150	164	85	48	138	146	111	129	89	101	100	61	130	118	182	99	59	62	64	53	96	98	13	34	46	33	17	14	17	3	1	32	8	18	19	43					
		11.14%	10.67%	10.80%	10.73%	8.94%	9.17%	12.20%	11.65%	12.31%	12.31%	11.86%	10.25%	13.20%	13.29%	12.67%	11.74%	14.97%	11.09%	12.01%	11.18%	11.32%	10.34%	10.81%	9.52%	9.40%	14.33%	13.20%	11.99%	14.25%	14.32%	14.41%	15.15%	9.67%	10.50%	10.56%	11.47%	13.87%	11.32%	11.58%	6.22%	5.87%	7.04%	8.31%	4.61%	9.09%	7.73%	3.57%	1.23%	8.00%	7.41%	10.23%	5.31%	9.84%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	4358	164	121	117	128	70	83	77	160	136	134	106	100	79	90	178	27	131	142	78	53	149	127	109	144	70	88	95	51	112	98	155	140	71	66	94	41	96	93	19	54	51	37	27	11	9	7	8	36	15	24	35	52					
