Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																
Дата голосования: 18.09.2016																
																
Наименование Избирательной комиссии:    Уфимская-5																
																
Сводная таблица итогов голосования по федеральному избирательному округу																
																
		Сумма	УИК №3064	УИК №3065	УИК №3075	УИК №3076	УИК №3077									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	5688	1148	1157	1101	1313	969									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	5589	1108	1148	1015	1411	907									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3302	800	857	741	595	309									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	169	2	68	65	0	34									
6	Число погашенных избирательных бюллетеней	2118	306	223	209	816	564									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	169	2	68	65	0	34									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3302	800	857	741	595	309									
9	Число недействительных избирательных бюллетеней	68	15	6	21	19	7									
10	Число действительных избирательных бюллетеней	3403	787	919	785	576	336									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	95	20	20	20	25	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	79	18	12	20	25	4									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	68	29	5	7	20	7									
14	Число погашенных неиспользованных открепительных удостоверений	16	2	8	0	0	6									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1	0	0	0	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0									
																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	33	14	0	7	7	5									
		0.95%	1.75%	0.00%	0.87%	1.18%	1.46%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	85	31	0	21	28	5									
		2.45%	3.87%	0.00%	2.61%	4.71%	1.46%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	62	20	8	15	12	7									
		1.79%	2.49%	0.86%	1.86%	2.02%	2.04%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1712	490	404	395	261	162									
		49.32%	61.10%	43.68%	49.01%	43.87%	47.23%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	48	13	5	9	15	6									
		1.38%	1.62%	0.54%	1.12%	2.52%	1.75%									
24	"6. Политическая партия ""Гражданская Платформа"""	10	5	0	1	2	2									
		0.29%	0.62%	0.00%	0.12%	0.34%	0.58%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	613	79	226	195	52	61									
		17.66%	9.85%	24.43%	24.19%	8.74%	17.78%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	15	6	0	1	5	3									
		0.43%	0.75%	0.00%	0.12%	0.84%	0.87%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	30	1	0	4	19	6									
		0.86%	0.12%	0.00%	0.50%	3.19%	1.75%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	9	1	2	2	3	1									
		0.26%	0.12%	0.22%	0.25%	0.50%	0.29%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	55	16	2	11	14	12									
		1.58%	1.99%	0.22%	1.36%	2.35%	3.50%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	434	61	152	95	84	42									
		12.50%	7.61%	16.43%	11.79%	14.12%	12.24%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	16	4	0	5	7	0									
		0.46%	0.50%	0.00%	0.62%	1.18%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	281	46	120	24	67	24									
		8.10%	5.74%	12.97%	2.98%	11.26%	6.99%									
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
