Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																							
Дата голосования: 04.12.2011																																							
																																							
Наименование Избирательной комиссии:    Большеглушицкая																																							
																																							
Сводная таблица результатов выборов																																							
																																							
		Сумма	УИК №1191	УИК №1192	УИК №1193	УИК №1194	УИК №1195	УИК №1196	УИК №1197	УИК №1198	УИК №1199	УИК №1200	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК №1219	УИК №1220	УИК №1221	УИК №1222					
1	"Число избирателей, внесенных в список избирателей"	15517	934	129	60	508	227	489	440	87	160	134	85	720	157	137	532	521	737	522	657	238	1098	919	546	796	669	702	660	361	805	78	805	604					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	15949	971	132	73	529	235	516	452	96	167	136	88	737	171	137	541	528	754	541	711	248	1106	937	556	821	699	706	672	394	795	80	810	610					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	8422	466	80	45	308	112	264	184	50	74	77	33	343	79	74	281	342	390	290	355	156	571	520	298	460	337	407	347	193	443	44	441	358					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1049	88	6	6	42	16	36	85	4	20	23	23	48	7	16	46	45	56	31	78	24	51	46	24	27	24	20	25	14	66	12	16	24					
6	Число погашенных избирательных бюллетеней	6478	417	46	22	179	107	216	183	42	73	36	32	346	85	47	214	141	308	220	278	68	484	371	234	334	338	279	300	187	286	24	353	228					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1049	88	6	6	42	16	36	85	4	20	23	23	48	7	16	46	45	56	31	78	24	51	46	24	27	24	20	25	14	66	12	16	24					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	8422	466	80	45	308	112	264	184	50	74	77	33	343	79	74	281	342	390	290	355	156	571	520	298	460	337	407	347	193	443	44	441	358					
9	Число недействительных избирательных бюллетеней	190	5	0	0	2	4	5	3	0	3	0	0	10	2	4	5	6	4	7	7	0	11	18	10	9	7	18	11	4	14	1	12	8					
10	Число действительных избирательных бюллетеней	9281	549	86	51	348	124	295	266	54	91	100	56	381	84	86	322	381	442	314	426	180	611	548	312	478	354	409	361	203	495	55	445	374					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	295	35	4	12	23	4	30	11	8	3	0	3	7	6	4	5	5	10	7	43	5	6	14	4	7	7	3	7	7	2	4	5	4					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	288	35	4	12	23	2	30	11	8	3	0	2	7	6	1	5	5	10	7	43	5	5	14	4	7	7	3	7	7	2	4	5	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	70	7	2	2	5	3	5	5	1	1	0	0	5	1	1	1	0	2	1	2	0	2	7	3	1	1	1	1	1	3	3	2	1					
14	Число погашенных неиспользованных открепительных удостоверений	7	0	0	0	0	2	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																							
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1648	80	15	14	78	19	68	41	8	18	13	7	62	17	10	51	55	73	45	54	27	138	137	56	106	54	59	56	33	83	3	84	84					
		17.40%	14.44%	17.44%	27.45%	22.29%	14.84%	22.67%	15.24%	14.81%	19.15%	13.00%	12.50%	15.86%	19.77%	11.11%	15.60%	14.21%	16.37%	14.02%	12.47%	15.00%	22.19%	24.20%	17.39%	21.77%	14.96%	13.82%	15.05%	15.94%	16.31%	5.36%	18.38%	21.99%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1057	0	9	5	60	25	31	29	4	5	11	9	47	7	2	27	42	77	34	5	22	97	76	48	60	60	62	54	22	1	6	66	54					
		11.16%	0.00%	10.47%	9.80%	17.14%	19.53%	10.33%	10.78%	7.41%	5.32%	11.00%	16.07%	12.02%	8.14%	2.22%	8.26%	10.85%	17.26%	10.59%	1.15%	12.22%	15.59%	13.43%	14.91%	12.32%	16.62%	14.52%	14.52%	10.63%	0.20%	10.71%	14.44%	14.14%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	86	4	0	2	1	2	2	3	1	0	1	1	7	5	0	2	2	6	2	2	1	5	5	1	4	4	3	4	0	8	0	7	1					
		0.91%	0.72%	0.00%	3.92%	0.29%	1.56%	0.67%	1.12%	1.85%	0.00%	1.00%	1.79%	1.79%	5.81%	0.00%	0.61%	0.52%	1.35%	0.62%	0.46%	0.56%	0.80%	0.88%	0.31%	0.82%	1.11%	0.70%	1.08%	0.00%	1.57%	0.00%	1.53%	0.26%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1275	0	12	8	42	17	51	33	12	7	27	13	83	3	20	48	53	52	47	5	35	96	95	58	73	71	76	58	15	11	4	67	83					
		13.46%	0.00%	13.95%	15.69%	12.00%	13.28%	17.00%	12.27%	22.22%	7.45%	27.00%	23.21%	21.23%	3.49%	22.22%	14.68%	13.70%	11.66%	14.64%	1.15%	19.44%	15.43%	16.78%	18.01%	14.99%	19.67%	17.80%	15.59%	7.25%	2.16%	7.14%	14.66%	21.73%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	93	6	1	0	2	1	5	5	0	2	1	1	4	1	1	2	9	3	1	1	1	5	6	3	4	3	3	7	2	0	2	6	5					
		0.98%	1.08%	1.16%	0.00%	0.57%	0.78%	1.67%	1.86%	0.00%	2.13%	1.00%	1.79%	1.02%	1.16%	1.11%	0.61%	2.33%	0.67%	0.31%	0.23%	0.56%	0.80%	1.06%	0.93%	0.82%	0.83%	0.70%	1.88%	0.97%	0.00%	3.57%	1.31%	1.31%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5094	458	49	22	165	58	138	155	29	58	47	25	177	51	53	191	218	229	183	358	94	268	227	145	231	162	204	181	128	390	39	215	146					
		53.79%	82.67%	56.98%	43.14%	47.14%	45.31%	46.00%	57.62%	53.70%	61.70%	47.00%	44.64%	45.27%	59.30%	58.89%	58.41%	56.33%	51.35%	57.01%	82.68%	52.22%	43.09%	40.11%	45.03%	47.43%	44.88%	47.78%	48.66%	61.84%	76.62%	69.64%	47.05%	38.22%					
