Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва									
Дата голосования: 04.12.2011									
									
Наименование Избирательной комиссии:    Островнинская									
									
Сводная таблица результатов выборов									
									
		Сумма	УИК №361	УИК №362					
1	"Число избирателей, внесенных в список избирателей"	1646	847	799					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	1535	800	735					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	84	84	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	917	438	479					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	26	16	10					
6	Число погашенных избирательных бюллетеней	508	262	246					
7	Число избирательных бюллетеней в переносных ящиках для голосования	110	100	10					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	917	438	479					
9	Число недействительных избирательных бюллетеней	26	15	11					
10	Число действительных избирательных бюллетеней	1001	523	478					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	80	40	40					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	26	18	8					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	0	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	54	22	32					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	7	2	5					
16	Число утраченных открепительных удостоверений	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0					
									
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	132	62	70					
		12.85%	11.52%	14.31%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	144	86	58					
		14.02%	15.99%	11.86%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	7	3	4					
		0.68%	0.56%	0.82%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	143	71	72					
		13.92%	13.20%	14.72%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	16	11	5					
		1.56%	2.04%	1.02%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	555	288	267					
		54.04%	53.53%	54.60%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	4	2	2					
		0.39%	0.37%	0.41%					
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
