Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва									
Дата голосования: 02.12.2007									
									
Наименование Избирательной комиссии:    Островнинская									
									
Сводная таблица результатов выборов									
									
		Сумма	УИК №361	УИК №362					
1	"Число избирателей, внесенных в списки избирателей"	2168	916	1252					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	1538	688	850					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	79	79	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	1170	472	698					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	6	3	3					
6	Число погашенных избирательных бюллетеней	283	134	149					
7	Число избирательных бюллетеней в переносных ящиках для голосования	85	82	3					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	1170	472	698					
9	Число недействительных избирательных бюллетеней	13	2	11					
10	Число действительных избирательных бюллетеней	1242	552	690					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	90	40	50					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	26	12	14					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	6	3	3					
14	Число погашенных неиспользованных открепительных удостоверений	64	28	36					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	5	1	4					
16	Число утраченных избирательных бюллетеней	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0					
									
18	1.Политическая партия «Аграрная партия России»	22	9	13					
		1.75%	1.62%	1.85%					
19	2.Всероссийская политическая партия «Гражданская Сила»	11	3	8					
		0.88%	0.54%	1.14%					
20	3.Политическая партия «Демократическая партия России»	1	0	1					
		0.08%	0.00%	0.14%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	53	18	35					
		4.22%	3.25%	4.99%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	2	0	2					
		0.16%	0.00%	0.29%					
23	6.Политическая партия «Партия социальной справедливости»	0	0	0					
		0.00%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	147	69	78					
		11.71%	12.45%	11.13%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	121	51	70					
		9.64%	9.21%	9.99%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	3	0	3					
		0.24%	0.00%	0.43%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	866	394	472					
		69.00%	71.12%	67.33%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	16	8	8					
		1.27%	1.44%	1.14%					
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
