Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																										
Дата голосования: 07.12.2003 0:00:00																										
																										
Наименование Избирательной комиссии:    Краснощековская 																										
																										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																										
																										
		Сумма	УИК  955	УИК  956	УИК  957	УИК  958	УИК  959	УИК  960	УИК  961	УИК  962	УИК  963	УИК  964	УИК  965	УИК  966	УИК  967	УИК  968	УИК  969	УИК  970	УИК  971	УИК  972	УИК  973					
1	"Число избирателей, внесенных в списки"	17319	1787	1586	1512	506	558	300	1170	284	1147	1357	763	770	1146	792	1552	757	418	736	178					
2	"Число бюллетеней, полученных участковыми комиссиями"	17140	1620	1500	1460	510	570	310	1200	300	1140	1310	750	770	1170	780	1560	780	440	770	200					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	10105	884	790	761	304	357	213	701	192	652	1006	542	370	635	538	947	431	308	366	108					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1291	122	135	135	87	62	17	75	28	59	42	17	171	29	17	54	116	33	76	16					
6	Число погашенных бюллетеней	5693	614	575	564	119	151	80	424	80	429	262	191	229	506	225	559	233	99	277	76					
7	Число бюллетеней в переносных ящиках для голосования	1342	122	135	135	87	62	17	75	28	59	41	17	171	29	17	54	116	33	128	16					
8	Число бюллетеней в стационарных ящиках для голосования	10093	884	790	751	304	357	213	701	192	652	1005	542	370	635	538	947	431	308	365	108					
9	Число недействительных бюллетеней	96	8	7	9	3	10	2	8	11	5	4	4	4	1	1	5	2	1	9	2					
10	Число действительных бюллетеней	11339	998	918	877	388	409	228	768	209	706	1042	555	537	663	554	996	545	340	484	122					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	188	15	15	15	7	7	5	10	5	15	15	8	8	15	8	15	8	5	7	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	44	14	5	7	1	0	1	4	1	1	1	0	1	2	0	3	1	0	0	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	21	1	1	2	1	0	1	1	0	3	2	0	0	1	2	1	1	2	2	0					
14	Число погашенных открепительных удостоверений	144	1	10	8	6	7	4	6	4	14	14	8	7	13	8	12	7	5	7	3					
15	Число открепительных удостоверений выданных ТИК	4	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																										
18	"1. ""ЕДИНЕНИЕ"""	128	9	3	9	9	7	2	13	2	12	0	6	10	4	5	7	17	5	6	2					
		1.11%	0.89%	0.32%	1.01%	2.30%	1.67%	0.86%	1.67%	0.90%	1.68%	0.0%	1.07%	1.84%	0.60%	0.90%	0.69%	3.10%	1.46%	1.21%	1.61%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	159	17	12	14	5	2	4	2	0	9	11	2	6	7	8	11	14	2	31	2					
		1.39%	1.68%	1.29%	1.58%	1.27%	0.47%	1.73%	0.25%	0.0%	1.26%	1.05%	0.35%	1.10%	1.05%	1.44%	1.09%	2.55%	0.58%	6.28%	1.61%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	216	19	9	20	8	15	5	16	3	10	18	5	11	9	7	16	19	9	15	2					
		1.88%	1.88%	0.97%	2.25%	2.04%	3.57%	2.17%	2.06%	1.36%	1.40%	1.72%	0.89%	2.03%	1.35%	1.26%	1.59%	3.47%	2.63%	3.04%	1.61%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	123	21	16	7	1	6	0	3	3	5	19	7	8	5	1	7	5	3	4	2					
		1.07%	2.08%	1.72%	0.79%	0.25%	1.43%	0.0%	0.38%	1.36%	0.70%	1.81%	1.25%	1.47%	0.75%	0.18%	0.69%	0.91%	0.87%	0.81%	1.61%					
22	"5. ""За Русь Святую"""	34	1	4	3	2	2	2	4	0	1	2	0	0	1	4	0	6	0	2	0					
		0.29%	0.09%	0.43%	0.33%	0.51%	0.47%	0.86%	0.51%	0.0%	0.14%	0.19%	0.0%	0.0%	0.15%	0.72%	0.0%	1.09%	0.0%	0.40%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	27	2	1	2	0	2	0	2	0	2	3	1	1	1	1	1	5	1	2	0					
		0.23%	0.19%	0.10%	0.22%	0.0%	0.47%	0.0%	0.25%	0.0%	0.28%	0.28%	0.17%	0.18%	0.15%	0.18%	0.09%	0.91%	0.29%	0.40%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	51	6	10	7	0	1	0	1	0	7	5	0	3	1	2	3	1	1	0	3					
		0.44%	0.59%	1.08%	0.79%	0.0%	0.23%	0.0%	0.12%	0.0%	0.98%	0.47%	0.0%	0.55%	0.15%	0.36%	0.29%	0.18%	0.29%	0.0%	2.41%					
25	"8. ""Народно-республиканская партия России"""	12	1	8	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0					
		0.10%	0.09%	0.86%	0.0%	0.0%	0.23%	0.43%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.09%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	22	0	4	2	1	1	1	2	0	0	2	0	1	3	3	2	0	0	0	0					
		0.19%	0.0%	0.43%	0.22%	0.25%	0.23%	0.43%	0.25%	0.0%	0.0%	0.19%	0.0%	0.18%	0.45%	0.54%	0.19%	0.0%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	2146	112	101	103	62	91	70	220	67	200	198	127	101	187	129	168	67	47	88	8					
		18.76%	11.13%	10.91%	11.62%	15.85%	21.71%	30.43%	28.35%	30.45%	28.12%	18.92%	22.71%	18.66%	28.16%	23.24%	16.78%	12.24%	13.78%	17.84%	6.45%					
28	"11. ""Истинные патриоты России"""	14	1	1	0	0	0	0	1	0	2	1	0	2	0	0	0	1	0	5	0					
		0.12%	0.09%	0.10%	0.0%	0.0%	0.0%	0.0%	0.12%	0.0%	0.28%	0.09%	0.0%	0.36%	0.0%	0.0%	0.0%	0.18%	0.0%	1.01%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	101	10	7	13	3	8	1	6	3	6	7	5	4	1	4	9	4	2	6	2					
		0.88%	0.99%	0.75%	1.46%	0.76%	1.90%	0.43%	0.77%	1.36%	0.84%	0.66%	0.89%	0.73%	0.15%	0.72%	0.89%	0.73%	0.58%	1.21%	1.61%					
30	"13. ""Демократическая партия России"""	33	4	0	1	0	1	2	3	6	1	3	1	2	2	4	1	0	1	1	0					
		0.28%	0.39%	0.0%	0.11%	0.0%	0.23%	0.86%	0.38%	2.72%	0.14%	0.28%	0.17%	0.36%	0.30%	0.72%	0.09%	0.0%	0.29%	0.20%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	18	1	1	0	0	0	0	0	0	3	2	1	1	2	1	2	0	1	2	1					
		0.15%	0.09%	0.10%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.42%	0.19%	0.17%	0.18%	0.30%	0.18%	0.19%	0.0%	0.29%	0.40%	0.80%					
32	"15. ""Партия СЛОН"""	7	0	0	1	0	0	2	0	1	0	0	0	0	0	0	3	0	0	0	0					
		0.06%	0.0%	0.0%	0.11%	0.0%	0.0%	0.86%	0.0%	0.45%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.29%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	470	66	61	30	15	6	0	44	5	33	46	15	13	35	22	32	14	14	15	4					
		4.11%	6.56%	6.59%	3.38%	3.83%	1.43%	0.0%	5.67%	2.27%	4.64%	4.39%	2.68%	2.40%	5.27%	3.96%	3.19%	2.55%	4.10%	3.04%	3.22%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	24	0	1	3	0	1	0	2	0	2	3	2	0	3	0	3	4	0	0	0					
		0.20%	0.0%	0.10%	0.33%	0.0%	0.23%	0.0%	0.25%	0.0%	0.28%	0.28%	0.35%	0.0%	0.45%	0.0%	0.29%	0.73%	0.0%	0.0%	0.0%					
35	"18. ""ЛДПР"""	1612	144	160	140	52	56	37	95	28	79	130	49	120	113	67	135	91	33	71	12					
