Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																								
Дата голосования: 18.09.2016																																								
																																								
Наименование Избирательной комиссии:    Лодейнопольская																																								
																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																								
																																								
		Сумма	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	24569	1773	1561	2239	2233	1685	1568	574	453	537	861	1948	1634	754	224	238	365	793	276	85	88	105	111	549	405	605	277	686	984	958									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	21430	1480	1345	1935	1925	1450	1355	480	500	465	725	1660	1405	645	185	200	310	675	280	90	90	105	115	500	400	600	230	610	840	830									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8748	611	533	812	935	683	530	184	197	211	297	624	435	373	88	80	86	280	132	66	49	39	38	222	126	314	83	163	317	240									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2257	127	92	69	68	40	50	23	256	43	24	239	115	43	22	58	63	93	46	1	6	20	22	44	79	87	35	194	152	146									
6	Число погашенных избирательных бюллетеней	10425	742	720	1054	922	727	775	273	47	211	404	797	855	229	75	62	161	302	102	23	35	46	55	234	195	199	112	253	371	444									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2257	127	92	69	68	40	50	23	256	43	24	239	115	43	22	58	63	93	46	1	6	20	22	44	79	87	35	194	152	146									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8748	611	533	812	935	683	530	184	197	211	297	624	435	373	88	80	86	280	132	66	49	39	38	222	126	314	83	163	317	240									
9	Число недействительных избирательных бюллетеней	258	16	18	27	32	19	12	5	3	4	10	13	19	11	6	3	5	9	4	0	0	0	2	2	5	4	8	12	2	7									
10	Число действительных избирательных бюллетеней	10747	722	607	854	971	704	568	202	450	250	311	850	531	405	104	135	144	364	174	67	55	59	58	264	200	397	110	345	467	379									
