Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																				
Дата голосования: 07.12.2003 0:00:00																																																																				
																																																																				
Наименование Избирательной комиссии:    Зеленодольская																																																																				
																																																																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																				
																																																																				
		Сумма	УИК №1551	УИК №1552	УИК №1553	УИК №1554	УИК №1555	УИК №1556	УИК №1557	УИК №1558	УИК №1559	УИК №1560	УИК №1561	УИК №1562	УИК №1563	УИК №1564	УИК №1565	УИК №1566	УИК №1567	УИК №1568	УИК №1569	УИК №1570	УИК №1571	УИК №1572	УИК №1573	УИК №1574	УИК №1575	УИК №1576	УИК №1577	УИК №1578	УИК №1579	УИК №1580	УИК №1581	УИК №1582	УИК №1583	УИК №1584	УИК №1585	УИК №1586	УИК №1587	УИК №1588	УИК №1589	УИК №1590	УИК №1591	УИК №1592	УИК №1593	УИК №1594	УИК №1595	УИК №1596	УИК №1597	УИК №1598	УИК №1599	УИК №1600	УИК №1601	УИК №1602	УИК №1603	УИК №1604	УИК №1605	УИК №1606	УИК №1607	УИК №1608	УИК №1609	УИК №1610	УИК №1611					
1	"Число избирателей, внесенных в списки"	44398	2114	1605	951	478	248	1156	288	530	466	588	1973	574	851	1431	562	184	187	435	544	394	2092	1624	1490	1112	775	1483	946	667	1572	920	744	938	626	228	1211	1596	1413	122	383	300	109	365	313	145	803	471	1869	183	832	107	311	172	190	400	470	399	98	609	280	319	152					
2	"Число бюллетеней, полученных участковыми комиссиями"	43960	2115	1653	959	473	251	1171	281	539	468	569	2009	573	847	1410	564	184	185	427	547	394	2105	1576	1441	1106	773	1437	910	701	1487	817	689	924	630	220	1208	1549	1377	120	363	310	118	352	308	147	816	461	1870	186	816	111	320	174	192	402	461	398	100	618	278	317	153					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	30847	1687	1230	683	263	219	679	218	344	332	347	1349	389	659	1100	424	148	177	403	478	330	1644	845	911	591	416	819	486	437	1058	478	426	548	413	177	670	947	811	74	301	227	89	210	283	135	704	412	1238	108	628	106	311	172	190	374	422	359	80	550	278	308	152					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2172	8	14	14	10	5	18	19	118	37	65	31	57	28	63	121	36	8	24	32	52	43	36	80	51	27	29	52	27	59	31	15	42	31	0	80	45	44	32	43	68	20	89	20	10	36	15	151	54	56	0	0	0	0	21	36	19	6	44	0	0	0					
6	Число погашенных бюллетеней	10941	420	409	262	200	27	474	44	77	99	157	629	127	160	247	19	0	0	0	37	12	418	695	450	464	330	589	372	237	370	308	248	334	186	43	458	557	522	14	19	15	9	53	5	2	76	34	481	24	132	5	9	2	2	7	3	20	14	24	0	9	1					
7	Число бюллетеней в переносных ящиках для голосования	2172	8	14	14	10	5	18	19	118	37	65	31	57	28	63	121	36	8	24	32	52	43	36	80	51	27	29	52	27	59	31	15	42	31	0	80	45	44	32	43	68	20	89	20	10	36	15	151	54	56	0	0	0	0	21	36	19	6	44	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	30824	1687	1230	683	263	219	679	218	344	332	346	1349	389	659	1100	424	148	177	403	478	330	1644	845	911	591	416	818	486	437	1058	478	426	548	413	177	670	947	811	74	301	227	89	210	283	135	704	409	1237	108	628	106	310	172	190	374	406	359	80	550	278	308	152					
9	Число недействительных бюллетеней	646	0	29	16	11	0	16	2	0	7	5	56	9	4	17	21	3	0	5	3	2	16	10	7	8	9	19	10	7	15	9	7	10	4	11	17	31	27	0	4	4	2	2	0	3	34	0	31	4	85	4	1	0	0	5	0	14	2	2	4	15	7					
10	Число действительных бюллетеней	32350	1695	1215	681	262	224	681	235	462	362	406	1324	437	683	1146	524	181	185	422	507	380	1671	871	984	634	434	828	528	457	1102	500	434	580	440	166	733	961	828	106	340	291	107	297	303	142	706	424	1357	158	599	102	309	172	190	390	442	364	84	592	274	293	145					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	600	24	15	15	10	1	15	10	10	10	9	16	7	13	15	10	5	5	10	10	10	20	17	18	15	10	15	10	10	15	10	10	10	10	5	15	15	15	5	5	5	5	5	5	5	10	10	15	5	10	5	5	5	5	10	10	5	5	10	5	5	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	284	24	15	12	4	1	12	4	6	0	8	16	7	13	15	3	1	1	2	5	1	20	17	9	6	3	5	6	7	3	5	4	6	1	0	7	5	3	0	2	5	2	2	0	0	3	0	5	1	3	0	0	0	0	0	2	1	0	1	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	352	32	5	6	3	3	3	4	8	5	6	7	6	13	14	2	3	5	5	2	2	12	8	2	2	4	4	5	3	6	7	1	9	37	5	4	14	5	1	3	4	2	7	5	0	4	2	17	2	6	4	5	0	0	0	7	4	2	4	7	3	1					
14	Число погашенных открепительных удостоверений	316	0	0	3	6	0	3	6	4	10	1	0	0	0	0	7	4	4	8	5	9	0	0	9	9	7	10	4	3	12	5	6	4	9	5	8	10	12	5	3	0	3	3	5	5	7	10	10	4	7	5	5	5	5	10	8	4	5	9	5	5	5					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																				
18	"1. ""ЕДИНЕНИЕ"""	594	37	32	20	10	10	22	6	9	4	9	27	5	15	21	11	6	17	12	14	1	30	14	15	5	10	10	12	6	19	9	5	6	7	1	0	14	15	1	9	5	6	3	4	2	24	4	34	0	11	0	1	0	4	0	0	0	4	5	3	3	5					
		1.80%	2.18%	2.57%	2.86%	3.66%	4.46%	3.15%	2.53%	1.94%	1.08%	2.18%	1.95%	1.12%	2.18%	1.80%	2.01%	3.26%	9.18%	2.81%	2.74%	0.26%	1.77%	1.58%	1.51%	0.77%	2.25%	1.18%	2.23%	1.29%	1.70%	1.76%	1.13%	1.01%	1.57%	0.56%	0.0%	1.41%	1.75%	0.94%	2.61%	1.69%	5.50%	1.00%	1.32%	1.37%	3.24%	0.94%	2.44%	0.0%	1.60%	0.0%	0.32%	0.0%	2.10%	0.0%	0.0%	0.0%	4.65%	0.84%	1.07%	0.97%	3.28%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	427	22	24	17	6	2	13	0	7	7	10	20	10	5	10	6	2	4	5	3	0	24	11	36	13	10	12	12	6	13	9	14	10	4	0	0	39	7	0	3	1	0	3	0	0	6	3	6	1	7	0	0	0	2	0	1	0	0	0	0	0	1					
		1.29%	1.29%	1.92%	2.43%	2.19%	0.89%	1.86%	0.0%	1.51%	1.89%	2.43%	1.44%	2.24%	0.72%	0.85%	1.10%	1.08%	2.16%	1.17%	0.58%	0.0%	1.42%	1.24%	3.63%	2.02%	2.25%	1.41%	2.23%	1.29%	1.16%	1.76%	3.17%	1.69%	0.90%	0.0%	0.0%	3.93%	0.81%	0.0%	0.87%	0.33%	0.0%	1.00%	0.0%	0.0%	0.81%	0.70%	0.43%	0.61%	1.02%	0.0%	0.0%	0.0%	1.05%	0.0%	0.22%	0.0%	0.0%	0.0%	0.0%	0.0%	0.65%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	732	39	30	33	14	3	14	8	9	7	12	28	22	11	22	9	1	6	2	1	0	38	33	44	27	17	40	26	14	33	9	25	26	20	4	30	7	14	4	5	2	1	3	3	3	9	6	9	2	3	0	0	0	0	0	0	0	1	3	0	0	0					
		2.21%	2.30%	2.41%	4.73%	5.12%	1.33%	2.00%	3.37%	1.94%	1.89%	2.91%	2.02%	4.93%	1.60%	1.89%	1.65%	0.54%	3.24%	0.46%	0.19%	0.0%	2.25%	3.74%	4.43%	4.20%	3.83%	4.72%	4.83%	3.01%	2.95%	1.76%	5.66%	4.40%	4.50%	2.25%	4.0%	0.70%	1.63%	3.77%	1.45%	0.67%	0.91%	1.00%	0.99%	2.06%	1.21%	1.41%	0.64%	1.23%	0.43%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.16%	0.50%	0.0%	0.0%	0.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	539	20	14	12	1	2	9	3	3	6	4	20	16	24	10	0	0	0	0	6	3	32	27	26	20	20	23	12	25	34	24	22	13	12	1	5	16	15	0	1	3	0	4	1	0	7	3	11	2	8	0	1	0	0	0	7	0	2	2	3	3	1					
		1.63%	1.17%	1.12%	1.72%	0.36%	0.89%	1.29%	1.26%	0.64%	1.62%	0.97%	1.44%	3.58%	3.49%	0.85%	0.0%	0.0%	0.0%	0.0%	1.17%	0.78%	1.89%	3.06%	2.62%	3.11%	4.51%	2.71%	2.23%	5.38%	3.04%	4.71%	4.98%	2.20%	2.70%	0.56%	0.66%	1.61%	1.75%	0.0%	0.29%	1.01%	0.0%	1.33%	0.33%	0.0%	0.94%	0.70%	0.79%	1.23%	1.16%	0.0%	0.32%	0.0%	0.0%	0.0%	1.58%	0.0%	2.32%	0.33%	1.07%	0.97%	0.65%					
22	"5. ""За Русь Святую"""	158	5	8	3	1	0	3	1	2	1	2	11	6	5	3	2	0	1	0	0	0	5	8	4	5	6	12	4	2	13	3	6	9	4	2	8	6	2	1	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
