Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																															
Дата голосования: 02.12.2007																																																															
																																																															
Наименование Избирательной комиссии:    Ступинская																																																															
																																																															
Сводная таблица результатов выборов																																																															
																																																															
		Сумма	УИК №2834	УИК №2835	УИК №2836	УИК №2837	УИК №2838	УИК №2839	УИК №2840	УИК №2841	УИК №2842	УИК №2843	УИК №2844	УИК №2845	УИК №2846	УИК №2847	УИК №2848	УИК №2849	УИК №2850	УИК №2851	УИК №2852	УИК №2853	УИК №2854	УИК №2855	УИК №2856	УИК №2857	УИК №2858	УИК №2859	УИК №2860	УИК №2861	УИК №2862	УИК №2863	УИК №2864	УИК №2865	УИК №2866	УИК №2867	УИК №2868	УИК №2869	УИК №2870	УИК №2871	УИК №2872	УИК №2873	УИК №2874	УИК №2875	УИК №2876	УИК №2877	УИК №2878	УИК №2879	УИК №2880	УИК №2881	УИК №2882	УИК №2883	УИК №2884	УИК №2885	УИК №2886	УИК №2887	УИК №2888	УИК №2889					
1	"Число избирателей, внесенных в списки избирателей"	92909	1120	1344	1200	1051	1334	2201	2569	2294	2050	2163	2725	2804	2081	1573	1539	1573	3053	2570	2261	2085	2041	1742	1793	1922	1108	1846	2374	1228	1510	1023	1120	1207	2375	1773	1362	338	1905	1385	1302	1238	1104	2442	2004	2468	1511	1156	160	861	1470	852	3041	1038	1019	894	1910	797					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	91475	1074	1342	1028	1023	1349	2087	2576	2267	2037	2136	2712	2803	2086	1590	1554	1583	2944	2593	2266	2083	2052	1762	1734	1933	1116	1866	2317	1231	1516	949	1044	1177	2298	1827	1316	296	1899	1381	1221	1263	1091	2387	2013	2451	1551	1163	153	878	1493	831	2900	1015	929	893	1659	737					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	59366	638	742	735	843	810	1533	1668	1381	1303	1459	1827	1782	1523	987	1043	1097	2127	1741	1480	1381	1385	1078	1221	1347	705	1356	1632	801	1038	676	575	729	1472	1142	1072	203	1317	715	701	728	578	1255	1487	1293	886	614	108	329	974	329	2051	633	581	574	1063	618					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	5490	72	87	86	19	34	97	45	52	51	42	45	23	30	70	51	82	58	32	53	65	45	65	44	67	72	64	113	24	69	160	350	309	97	157	63	83	69	177	159	9	58	84	115	108	130	159	30	277	130	305	10	103	158	116	358	59					
6	Число погашенных избирательных бюллетеней	26619	364	513	207	161	505	457	863	834	683	635	840	998	533	533	460	404	759	820	733	637	622	619	469	519	339	446	572	406	409	113	119	139	729	528	181	10	513	489	361	526	455	1048	411	1050	535	390	15	272	389	197	839	279	190	203	238	60					
7	Число избирательных бюллетеней в переносных ящиках для голосования	5490	72	87	86	19	34	97	45	52	51	42	45	23	30	70	51	82	58	32	53	65	45	65	44	67	72	64	113	24	69	160	350	309	97	157	63	83	69	177	159	9	58	84	115	108	130	159	30	277	130	305	10	103	158	116	358	59					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	59348	638	742	735	843	810	1533	1668	1381	1303	1458	1827	1782	1520	987	1043	1097	2124	1741	1480	1381	1384	1078	1221	1347	705	1356	1632	801	1036	676	575	729	1469	1142	1072	203	1317	715	701	728	578	1255	1487	1293	886	614	108	329	974	329	2046	633	581	574	1063	618					
9	Число недействительных избирательных бюллетеней	928	7	10	15	20	13	26	36	25	34	24	23	25	27	19	20	17	32	31	25	19	14	18	34	2	14	10	26	14	15	0	17	0	29	30	0	6	7	6	9	14	6	17	12	24	17	14	1	13	25	1	39	12	9	8	14	3					
10	Число действительных избирательных бюллетеней	63910	703	819	806	842	831	1604	1677	1408	1320	1476	1849	1780	1523	1038	1074	1162	2150	1742	1508	1427	1415	1125	1231	1412	763	1410	1719	811	1090	836	908	1038	1537	1269	1135	280	1379	886	851	723	630	1322	1590	1377	999	759	137	593	1079	633	2017	724	730	682	1407	674					
