Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																	
Дата голосования: 18.09.2016																																	
																																	
"Наименование Избирательной комиссии:    Новосибирск, Железнодорожная"																																	
																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																	
																																	
		Сумма	УИК №1495	УИК №1496	УИК №1497	УИК №1498	УИК №1499	УИК №1500	УИК №1501	УИК №1502	УИК №1503	УИК №1504	УИК №1505	УИК №1506	УИК №1507	УИК №1508	УИК №1509	УИК №1510	УИК №1511	УИК №1512	УИК №1513	УИК №1514	УИК №1515	УИК №2025									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	45400	2525	2492	2147	2348	2511	2737	1779	2025	2266	2126	2172	1959	2076	2029	2024	2316	2516	1543	1863	2173	1648	125									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	42650	2500	2500	2000	2000	2500	2500	1500	2000	2000	2000	2000	1950	2000	2000	2000	2000	2000	1500	1500	2000	1500	700									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	15222	911	888	721	861	804	917	576	773	833	760	722	610	666	722	578	860	913	428	527	556	471	125									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	387	7	3	13	2	9	6	12	9	11	25	17	28	21	15	17	17	11	6	60	83	15	0									
6	Число погашенных избирательных бюллетеней	27041	1582	1609	1266	1137	1687	1577	912	1218	1156	1215	1261	1312	1313	1263	1405	1123	1076	1066	913	1361	1014	575									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	387	7	3	13	2	9	6	12	9	11	25	17	28	21	15	17	17	11	6	60	83	15	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	15213	911	888	721	859	804	917	574	773	832	760	721	610	666	721	578	860	912	428	526	556	471	125									
9	Число недействительных избирательных бюллетеней	332	26	19	16	16	24	20	14	11	16	13	12	16	10	14	15	8	19	11	21	18	10	3									
10	Число действительных избирательных бюллетеней	15268	892	872	718	845	789	903	572	771	827	772	726	622	677	722	580	869	904	423	565	621	476	122									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	890	50	50	50	60	60	60	60	50	30	30	50	30	30	50	30	30	30	30	50	30	30	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	532	34	27	32	38	37	41	34	31	25	19	22	21	16	29	8	11	26	17	32	17	15	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	373	15	19	10	17	8	16	38	13	8	16	12	13	28	17	17	7	17	9	15	16	12	50									
14	Число погашенных неиспользованных открепительных удостоверений	358	16	23	18	22	23	19	26	19	5	11	28	9	14	21	22	19	4	13	18	13	15	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	35	1	2	0	2	3	1	5	1	1	6	1	1	1	3	1	1	1	1	0	2	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	618	45	29	31	45	24	33	17	42	37	36	29	24	22	18	23	46	27	10	23	26	15	16									
		3.96%	4.90%	3.25%	4.22%	5.23%	2.95%	3.58%	2.90%	5.37%	4.39%	4.59%	3.93%	3.76%	3.20%	2.45%	3.87%	5.25%	2.93%	2.30%	3.92%	4.07%	3.09%	12.80%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	430	22	20	17	31	22	39	15	22	25	15	15	22	18	16	19	21	23	14	21	21	11	1									
		2.76%	2.40%	2.24%	2.32%	3.60%	2.71%	4.23%	2.56%	2.81%	2.97%	1.91%	2.03%	3.45%	2.62%	2.17%	3.19%	2.39%	2.49%	3.23%	3.58%	3.29%	2.26%	0.80%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	289	15	16	11	10	18	17	10	11	17	18	11	12	18	13	15	16	16	10	12	9	11	3									
		1.85%	1.63%	1.80%	1.50%	1.16%	2.21%	1.84%	1.71%	1.41%	2.02%	2.29%	1.49%	1.88%	2.62%	1.77%	2.52%	1.82%	1.73%	2.30%	2.05%	1.41%	2.26%	2.40%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4701	243	264	236	226	245	319	152	234	253	253	208	166	184	233	156	269	268	157	207	224	172	32									
		30.13%	26.47%	29.63%	32.15%	26.25%	30.14%	34.56%	25.94%	29.92%	30.01%	32.23%	28.18%	26.02%	26.78%	31.66%	26.22%	30.67%	29.04%	36.18%	35.32%	35.05%	35.39%	25.60%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	234	19	17	12	8	9	10	8	15	9	10	14	11	7	11	12	18	14	9	6	9	3	3									
		1.50%	2.07%	1.91%	1.63%	0.93%	1.11%	1.08%	1.37%	1.92%	1.07%	1.27%	1.90%	1.72%	1.02%	1.49%	2.02%	2.05%	1.52%	2.07%	1.02%	1.41%	0.62%	2.40%									
24	"6. Политическая партия ""Гражданская Платформа"""	42	4	2	2	1	0	3	3	0	5	2	3	2	2	1	3	4	4	0	0	1	0	0									
		0.27%	0.44%	0.22%	0.27%	0.12%	0.00%	0.33%	0.51%	0.00%	0.59%	0.25%	0.41%	0.31%	0.29%	0.14%	0.50%	0.46%	0.43%	0.00%	0.00%	0.16%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1835	94	91	70	84	88	102	90	93	105	82	75	77	76	78	83	75	118	54	93	106	81	20									
		11.76%	10.24%	10.21%	9.54%	9.76%	10.82%	11.05%	15.36%	11.89%	12.46%	10.45%	10.16%	12.07%	11.06%	10.60%	13.95%	8.55%	12.78%	12.44%	15.87%	16.59%	16.67%	16.00%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	330	20	24	13	23	18	16	7	10	22	19	14	5	18	13	11	30	23	6	13	8	9	8									
