Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																										
Дата голосования: 02.12.2007																																										
																																										
Наименование Избирательной комиссии:    Сухобузимская																																										
																																										
Сводная таблица результатов выборов																																										
																																										
		Сумма	УИК №1889	УИК №1890	УИК №1891	УИК №1892	УИК №1893	УИК №1894	УИК №1895	УИК №1896	УИК №1897	УИК №1898	УИК №1899	УИК №1900	УИК №1901	УИК №1902	УИК №1903	УИК №1904	УИК №1905	УИК №1906	УИК №1907	УИК №1908	УИК №1909	УИК №1910	УИК №1911	УИК №1912	УИК №1913	УИК №1914	УИК №1915	УИК №1916	УИК №1917	УИК №1918	УИК №1919	УИК №1920	УИК №1921	УИК №1922	УИК №2267					
1	"Число избирателей, внесенных в списки избирателей"	16809	1714	310	364	203	437	626	387	763	233	204	256	827	115	305	1890	99	398	125	232	267	727	355	118	139	1530	723	929	65	139	182	1377	144	131	128	367					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	16341	1667	312	340	198	452	637	382	742	231	196	255	829	111	306	1878	91	408	127	226	265	763	341	125	147	1280	690	890	60	121	177	1350	140	120	125	359					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	10	0	0	0	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	9841	778	178	237	158	281	396	201	466	158	142	149	466	93	180	1047	74	292	85	178	192	450	210	69	83	883	443	489	46	92	109	669	116	80	103	248					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1112	159	13	10	3	20	38	72	35	19	4	8	50	0	25	121	0	47	9	21	23	90	14	3	16	102	24	42	0	14	24	62	0	12	14	18					
6	Число погашенных избирательных бюллетеней	5378	730	121	93	37	151	203	109	241	54	50	98	308	13	101	710	17	69	33	27	50	223	117	53	48	295	223	359	14	15	44	619	24	28	8	93					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1122	159	13	10	3	20	38	72	35	19	4	8	55	5	25	121	0	47	9	21	23	90	14	3	16	102	24	42	0	14	24	62	0	12	14	18					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	9841	778	178	237	158	281	396	201	466	158	142	149	466	93	180	1047	74	292	85	178	192	450	210	69	83	883	443	489	46	92	109	669	116	80	103	248					
9	Число недействительных избирательных бюллетеней	111	5	4	2	1	7	2	8	4	2	4	0	7	0	2	3	0	4	0	3	1	9	4	0	1	10	8	2	1	0	0	7	0	1	0	9					
10	Число действительных избирательных бюллетеней	10852	932	187	245	160	294	432	265	497	175	142	157	514	98	203	1165	74	335	94	196	214	531	220	72	98	975	459	529	45	106	133	724	116	91	117	257					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	247	14	0	1	5	7	21	5	13	4	4	1	15	0	5	20	0	8	0	4	0	26	4	9	9	23	5	12	1	0	5	10	0	1	5	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	238	14	0	1	3	7	21	5	13	3	4	1	15	0	5	20	0	8	0	4	0	26	4	9	9	23	4	12	1	0	5	10	0	1	0	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	122	7	3	1	2	0	8	5	2	1	3	1	6	1	7	7	1	1	1	3	0	3	2	0	2	6	4	7	2	3	7	15	2	4	3	2					
14	Число погашенных неиспользованных открепительных удостоверений	9	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																										
18	1.Политическая партия «Аграрная партия России»	347	35	8	11	4	6	23	8	16	2	2	5	14	1	6	41	1	11	1	2	3	6	10	6	2	33	18	11	6	7	4	30	2	1	4	7					
		3.17%	3.74%	4.19%	4.45%	2.48%	1.99%	5.30%	2.93%	3.19%	1.13%	1.37%	3.18%	2.69%	1.02%	2.93%	3.51%	1.35%	3.24%	1.06%	1.01%	1.40%	1.11%	4.46%	8.33%	2.02%	3.35%	3.85%	2.07%	13.04%	6.60%	3.01%	4.10%	1.72%	1.09%	3.42%	2.63%					
19	2.Всероссийская политическая партия «Гражданская Сила»	39	4	1	1	2	0	2	0	2	1	2	1	0	0	0	5	0	0	1	0	0	2	3	0	0	3	3	4	0	0	0	1	0	0	0	1					
		0.36%	0.43%	0.52%	0.40%	1.24%	0.00%	0.46%	0.00%	0.40%	0.56%	1.37%	0.64%	0.00%	0.00%	0.00%	0.43%	0.00%	0.00%	1.06%	0.00%	0.00%	0.37%	1.34%	0.00%	0.00%	0.30%	0.64%	0.75%	0.00%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%	0.38%					
20	3.Политическая партия «Демократическая партия России»	9	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0					
		0.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.49%	0.09%	0.00%	0.00%	2.13%	0.00%	0.00%	0.00%	0.00%	0.00%	1.01%	0.10%	0.00%	0.19%	0.00%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	953	79	13	15	17	41	49	26	23	13	7	8	59	1	23	118	18	31	16	7	13	35	13	1	5	115	27	52	3	4	18	54	5	17	9	18					
		8.69%	8.43%	6.81%	6.07%	10.56%	13.62%	11.29%	9.52%	4.59%	7.34%	4.79%	5.10%	11.32%	1.02%	11.22%	10.10%	24.32%	9.14%	17.02%	3.52%	6.05%	6.48%	5.80%	1.39%	5.05%	11.68%	5.78%	9.79%	6.52%	3.77%	13.53%	7.39%	4.31%	18.48%	7.69%	6.77%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	188	14	3	1	3	24	3	11	11	5	7	6	3	1	3	17	0	1	5	1	6	9	5	0	3	9	7	4	0	0	0	6	7	1	7	5					
		1.71%	1.49%	1.57%	0.40%	1.86%	7.97%	0.69%	4.03%	2.20%	2.82%	4.79%	3.82%	0.58%	1.02%	1.46%	1.46%	0.00%	0.29%	5.32%	0.50%	2.79%	1.67%	2.23%	0.00%	3.03%	0.91%	1.50%	0.75%	0.00%	0.00%	0.00%	0.82%	6.03%	1.09%	5.98%	1.88%					
23	6.Политическая партия «Партия социальной справедливости»	20	3	0	0	0	1	1	0	2	1	1	0	1	0	1	0	0	0	0	1	0	1	0	0	0	2	1	1	0	0	0	1	1	0	0	1					
		0.18%	0.32%	0.00%	0.00%	0.00%	0.33%	0.23%	0.00%	0.40%	0.56%	0.68%	0.00%	0.19%	0.00%	0.49%	0.00%	0.00%	0.00%	0.00%	0.50%	0.00%	0.19%	0.00%	0.00%	0.00%	0.20%	0.21%	0.19%	0.00%	0.00%	0.00%	0.14%	0.86%	0.00%	0.00%	0.38%					
24	7.Политическая партия «Либерально-демократическая партия России»	1001	75	18	23	24	42	30	32	32	13	16	10	56	12	19	119	2	41	9	29	17	34	18	8	8	73	44	33	2	7	36	76	2	9	0	32					
		9.13%	8.00%	9.42%	9.31%	14.91%	13.95%	6.91%	11.72%	6.39%	7.34%	10.96%	6.37%	10.75%	12.24%	9.27%	10.19%	2.70%	12.09%	9.57%	14.57%	7.91%	6.30%	8.04%	11.11%	8.08%	7.41%	9.42%	6.21%	4.35%	6.60%	27.07%	10.40%	1.72%	9.78%	0.00%	12.03%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	595	53	2	17	12	12	15	15	13	3	2	4	38	9	10	89	2	8	2	4	13	32	5	3	3	66	30	45	3	2	5	43	11	5	0	19					
		5.43%	5.66%	1.05%	6.88%	7.45%	3.99%	3.46%	5.49%	2.59%	1.69%	1.37%	2.55%	7.29%	9.18%	4.88%	7.62%	2.70%	2.36%	2.13%	2.01%	6.05%	5.93%	2.23%	4.17%	3.03%	6.70%	6.42%	8.47%	6.52%	1.89%	3.76%	5.88%	9.48%	5.43%	0.00%	7.14%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	79	7	1	1	0	8	2	2	4	3	1	0	5	1	0	7	0	1	0	2	0	0	0	0	1	12	4	9	0	0	0	4	0	1	0	3					
		0.72%	0.75%	0.52%	0.40%	0.00%	2.66%	0.46%	0.73%	0.80%	1.69%	0.68%	0.00%	0.96%	1.02%	0.00%	0.60%	0.00%	0.29%	0.00%	1.01%	0.00%	0.00%	0.00%	0.00%	1.01%	1.22%	0.86%	1.69%	0.00%	0.00%	0.00%	0.55%	0.00%	1.09%	0.00%	1.13%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	7581	656	141	176	98	160	306	171	393	132	93	123	338	73	139	765	51	242	58	150	162	409	166	54	75	658	323	369	31	85	67	507	88	57	96	169					
		69.15%	70.01%	73.82%	71.26%	60.87%	53.16%	70.51%	62.64%	78.44%	74.58%	63.70%	78.34%	64.88%	74.49%	67.80%	65.50%	68.92%	71.39%	61.70%	75.38%	75.35%	75.74%	74.11%	75.00%	75.76%	66.80%	69.16%	69.49%	67.39%	80.19%	50.38%	69.36%	75.86%	61.96%	82.05%	63.53%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	40	6	0	0	0	0	0	0	1	2	11	0	0	0	1	3	0	0	0	0	0	3	0	0	0	3	2	0	0	1	3	1	0	0	1	2					
		0.36%	0.64%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%	1.13%	7.53%	0.00%	0.00%	0.00%	0.49%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.56%	0.00%	0.00%	0.00%	0.30%	0.43%	0.00%	0.00%	0.94%	2.26%	0.14%	0.00%	0.00%	0.85%	0.75%					
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
