Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																											
Дата голосования: 02.12.2007																																																											
																																																											
Наименование Избирательной комиссии:    Ботлихская																																																											
																																																											
Сводная таблица результатов выборов																																																											
																																																											
		Сумма	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214					
1	"Число избирателей, внесенных в списки избирателей"	25249	59	705	319	1290	725	65	18	576	897	789	89	15	188	209	1491	1126	238	578	380	205	25	1325	186	1380	21	27	77	411	120	237	151	26	847	1250	351	308	26	770	1350	377	157	297	1100	487	322	397	242	50	146	602	72	2150					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	22929	53	634	288	1110	693	55	15	513	817	650	80	13	164	174	1334	947	212	520	339	172	25	1188	167	1260	18	24	50	371	117	219	135	23	766	1130	320	284	26	705	1240	342	141	270	995	449	293	360	222	45	140	552	69	2200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	21348	53	608	288	1008	542	54	15	510	784	649	80	13	163	174	1210	900	212	520	339	172	25	1140	167	1107	18	24	50	346	100	205	121	23	700	1073	300	260	26	650	1218	275	137	263	851	421	200	300	212	45	140	552	69	2036					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1267	0	7	0	85	132	0	0	0	33	0	0	0	0	0	6	47	0	0	0	0	0	0	0	153	0	0	0	25	16	7	9	0	66	57	20	24	0	55	22	67	0	7	144	28	93	50	0	0	0	0	0	114					
6	Число погашенных избирательных бюллетеней	313	0	19	0	17	19	1	0	3	0	1	0	0	0	0	118	0	0	0	0	0	0	48	0	0	0	0	0	0	1	7	5	0	0	0	0	0	0	0	0	0	4	0	0	0	0	10	10	0	0	0	0	50					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1267	0	7	0	85	132	0	0	0	33	0	0	0	0	0	6	47	0	0	0	0	0	0	0	153	0	0	0	25	16	7	9	0	66	57	20	24	0	55	22	67	0	7	144	28	93	50	0	0	0	0	0	114					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	21348	53	608	288	1008	542	54	15	510	784	649	80	13	163	174	1210	900	212	520	339	172	25	1140	167	1107	18	24	50	346	100	205	121	23	700	1073	300	260	26	650	1218	275	137	263	851	421	200	300	212	45	140	552	69	2036					
9	Число недействительных избирательных бюллетеней	50	0	0	0	6	1	0	0	0	0	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	3	0	0	0	2	2	0	0	2	4	0	0	0	0	0	0	0	18					
10	Число действительных избирательных бюллетеней	22565	53	615	288	1087	673	54	15	510	817	648	80	13	163	174	1216	947	207	520	339	172	25	1140	167	1260	18	24	50	371	116	212	129	23	766	1125	317	284	26	705	1238	340	137	270	993	445	293	350	212	45	140	552	69	2132					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	450	5	10	7	15	10	7	3	10	20	15	5	3	9	6	16	15	8	10	9	8	3	12	7	13	3	3	3	9	6	13	9	5	13	15	7	5	3	3	13	7	6	7	15	7	7	7	7	3	7	13	3	25					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	442	5	10	7	15	10	7	3	10	20	15	5	3	9	6	16	13	8	10	5	8	3	12	7	13	3	3	3	9	6	13	9	5	13	15	5	5	3	3	13	7	6	7	15	7	7	7	7	3	7	13	3	25					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
