Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																		
Дата голосования: 04.12.2011																		
																		
Наименование Избирательной комиссии:    Усвятская																		
																		
Сводная таблица результатов выборов																		
																		
		Сумма	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650					
1	"Число избирателей, внесенных в список избирателей"	4402	2405	140	166	202	183	141	315	252	203	145	250					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	4100	2220	130	150	180	170	130	300	250	200	140	230					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	2072	1251	14	72	81	95	56	136	102	91	83	91					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	880	211	110	52	72	71	36	56	56	62	21	133					
6	Число погашенных избирательных бюллетеней	1148	758	6	26	27	4	38	108	92	47	36	6					
7	Число избирательных бюллетеней в переносных ящиках для голосования	879	210	110	52	72	71	36	56	56	62	21	133					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	2068	1247	14	72	81	95	56	136	102	91	83	91					
9	Число недействительных избирательных бюллетеней	31	22	0	0	0	1	2	4	2	0	0	0					
10	Число действительных избирательных бюллетеней	2916	1435	124	124	153	165	90	188	156	153	104	224					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	90	29	6	6	7	6	6	6	6	6	6	6					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	81	23	6	4	7	6	5	6	6	6	6	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	29	8	1	2	1	1	0	4	1	3	3	5					
14	Число погашенных неиспользованных открепительных удостоверений	9	6	0	2	0	0	1	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0					
																		
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	455	229	21	24	22	28	20	32	23	19	17	20					
		15.44%	15.72%	16.94%	19.35%	14.38%	16.87%	21.74%	16.67%	14.56%	12.42%	16.35%	8.93%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	356	133	5	23	19	27	13	31	34	30	10	31					
		12.08%	9.13%	4.03%	18.55%	12.42%	16.27%	14.13%	16.15%	21.52%	19.61%	9.62%	13.84%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	21	11	0	0	0	0	1	3	1	2	1	2					
		0.71%	0.75%	0.00%	0.00%	0.00%	0.00%	1.09%	1.56%	0.63%	1.31%	0.96%	0.89%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	497	298	21	20	17	16	15	28	30	19	17	16					
		16.86%	20.45%	16.94%	16.13%	11.11%	9.64%	16.30%	14.58%	18.99%	12.42%	16.35%	7.14%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	36	19	0	0	1	1	3	2	2	0	5	3					
		1.22%	1.30%	0.00%	0.00%	0.65%	0.60%	3.26%	1.04%	1.27%	0.00%	4.81%	1.34%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1544	742	77	57	94	93	38	92	66	82	54	149					
		52.39%	50.93%	62.10%	45.97%	61.44%	56.02%	41.30%	47.92%	41.77%	53.59%	51.92%	66.52%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	7	3	0	0	0	0	0	0	0	1	0	3					
		0.24%	0.21%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.65%	0.00%	1.34%					
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
