Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																										
Дата голосования: 18.09.2016																										
																										
Наименование Избирательной комиссии:    Усть-Илимская 																										
																										
Сводная таблица итогов голосования по федеральному избирательному округу																										
																										
		Сумма	УИК №1606	УИК №1607	УИК №1608	УИК №1609	УИК №1610	УИК №1611	УИК №1612	УИК №1613	УИК №1614	УИК №1615	УИК №1616	УИК №1617	УИК №1618	УИК №1619	УИК №1620									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	14051	1024	1101	1559	1096	1100	1252	1197	1211	614	266	741	753	640	379	1118									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	11700	900	900	1300	900	900	1000	1000	1000	500	250	600	600	500	350	1000									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	9	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4297	515	612	440	271	307	315	264	293	184	54	215	215	152	173	287									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	289	31	19	27	8	10	15	26	21	19	7	16	16	8	19	47									
6	Число погашенных избирательных бюллетеней	7105	354	269	824	621	583	670	710	686	297	189	369	369	340	158	666									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	298	31	19	36	8	10	15	26	21	19	7	16	16	8	19	47									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4297	515	612	440	271	307	315	264	293	184	54	215	215	152	173	287									
9	Число недействительных избирательных бюллетеней	102	16	9	7	6	6	6	10	5	5	3	1	13	5	6	4									
10	Число действительных избирательных бюллетеней	4493	530	622	469	273	311	324	280	309	198	58	230	218	155	186	330									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	500	30	30	50	15	15	15	30	30	20	15	50	50	50	30	70									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	63	3	1	9	2	2	3	1	0	1	10	2	14	2	10	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	16	1	1	0	0	1	1	2	0	1	2	1	3	0	1	2									
14	Число погашенных неиспользованных открепительных удостоверений	437	27	29	41	13	13	12	29	30	19	5	48	36	48	20	67									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	3	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
