Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																						
Дата голосования: 02.12.2007																																						
																																						
Наименование Избирательной комиссии:    Территориальная избирательная комиссия Беловского района																																						
																																						
Сводная таблица результатов выборов																																						
																																						
		Сумма	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292					
1	"Число избирателей, внесенных в списки избирателей"	16373	2355	322	1015	123	587	248	75	718	1317	212	679	295	503	405	203	1235	152	413	95	139	313	404	172	741	640	312	209	361	795	909	426					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	15240	2161	291	949	125	534	230	84	660	1236	196	627	274	460	381	189	1144	154	374	97	145	287	374	167	696	593	284	194	334	734	851	415					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	10707	1443	222	561	93	411	154	53	485	918	160	477	199	327	283	149	689	99	270	61	109	229	226	107	519	417	214	151	227	579	558	317					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1594	176	52	150	9	60	28	11	105	32	9	38	39	77	30	16	82	22	64	22	8	28	73	39	34	102	46	18	51	84	39	50					
6	Число погашенных избирательных бюллетеней	2939	542	17	238	23	63	48	20	70	286	27	112	36	56	68	24	373	33	40	14	28	30	75	21	143	74	24	25	56	71	254	48					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1594	176	52	150	9	60	28	11	105	32	9	38	39	77	30	16	82	22	64	22	8	28	73	39	34	102	46	18	51	84	39	50					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	10705	1442	222	560	93	411	154	53	485	918	160	477	199	327	283	149	689	99	270	61	109	229	226	107	519	417	214	151	227	579	558	317					
9	Число недействительных избирательных бюллетеней	109	17	1	5	0	7	3	0	3	7	2	3	8	1	7	5	3	3	0	0	1	0	0	2	6	6	0	4	1	6	6	2					
10	Число действительных избирательных бюллетеней	12190	1601	273	705	102	464	179	64	587	943	167	512	230	403	306	160	768	118	334	83	116	257	299	144	547	513	260	165	277	657	591	365					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	259	69	2	16	0	3	4	0	5	23	2	8	7	4	4	1	16	0	7	0	6	4	4	0	16	8	2	2	4	13	12	17					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	253	63	2	16	0	3	4	0	5	23	2	8	7	4	4	1	16	0	7	0	6	4	4	0	16	8	2	2	4	13	12	17					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	58	6	1	1	1	3	1	0	1	1	1	4	1	1	1	1	4	1	2	2	3	4	1	0	1	2	1	1	1	2	7	2					
14	Число погашенных неиспользованных открепительных удостоверений	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
