Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																								
Дата голосования: 02.12.2007																																																								
																																																								
Наименование Избирательной комиссии:    Миякинская																																																								
																																																								
Сводная таблица результатов выборов																																																								
																																																								
		Сумма	УИК №2756	УИК №2757	УИК №2758	УИК №2759	УИК №2760	УИК №2761	УИК №2762	УИК №2763	УИК №2764	УИК №2765	УИК №2766	УИК №2767	УИК №2768	УИК №2769	УИК №2770	УИК №2771	УИК №2772	УИК №2773	УИК №2774	УИК №2775	УИК №2776	УИК №2777	УИК №2778	УИК №2779	УИК №2780	УИК №2781	УИК №2782	УИК №2783	УИК №2784	УИК №2785	УИК №2786	УИК №2787	УИК №2788	УИК №2789	УИК №2790	УИК №2791	УИК №2792	УИК №2793	УИК №2794	УИК №2795	УИК №2796	УИК №2797	УИК №2798	УИК №2799	УИК №2800	УИК №2801	УИК №2802	УИК №2803	УИК №2804					
1	"Число избирателей, внесенных в списки избирателей"	18870	440	200	229	280	345	412	342	172	432	214	406	370	293	627	190	410	439	224	274	149	127	134	439	321	137	57	470	512	304	732	103	696	58	329	525	116	910	1281	1117	570	654	359	417	250	379	101	402	520	402					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	20695	466	200	270	305	374	445	385	190	430	215	410	370	320	740	210	415	460	240	335	165	140	145	460	330	140	70	510	575	325	790	110	760	65	340	600	145	1100	1600	1100	670	790	370	415	250	435	105	440	540	430					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	16586	421	191	211	234	311	311	338	148	395	206	371	324	273	580	176	386	394	217	246	142	127	107	383	310	137	45	415	458	262	535	92	584	51	285	422	106	857	1148	847	495	590	278	386	214	324	101	385	436	331					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1621	14	9	18	46	25	70	4	21	30	6	31	46	20	47	14	24	43	7	28	7	0	27	38	11	0	12	55	45	42	135	11	106	7	32	15	10	45	21	69	54	47	80	25	36	55	0	17	68	48					
6	Число погашенных избирательных бюллетеней	2488	31	0	41	25	38	64	43	21	5	3	8	0	27	113	20	5	23	16	61	16	13	11	39	9	3	13	40	72	21	120	7	70	7	23	163	29	198	431	184	121	153	12	4	0	56	4	38	36	51					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1621	14	9	18	46	25	70	4	21	30	6	31	46	20	47	14	24	43	7	28	7	0	27	38	11	0	12	55	45	42	135	11	106	7	32	15	10	45	21	69	54	47	80	25	36	55	0	17	68	48					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	16586	421	191	211	234	311	311	338	148	395	206	371	324	273	580	176	386	394	217	246	142	127	107	383	310	137	45	415	458	262	535	92	584	51	285	422	106	857	1148	847	495	590	278	386	214	324	101	385	436	331					
9	Число недействительных избирательных бюллетеней	107	0	0	0	0	0	10	0	0	0	2	0	2	5	0	1	0	0	2	0	0	1	0	0	2	0	3	0	0	19	0	1	7	2	1	10	9	8	7	10	0	0	0	0	1	0	0	0	3	1					
10	Число действительных избирательных бюллетеней	18100	435	200	229	280	336	371	342	169	425	210	402	368	288	627	189	410	437	222	274	149	126	134	421	319	137	54	470	503	285	670	102	683	56	316	427	107	894	1162	906	549	637	358	411	249	379	101	402	501	378					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	282	1	0	1	0	2	3	3	0	1	0	4	8	2	5	0	3	2	2	8	2	1	0	5	2	0	1	6	3	0	18	1	11	0	3	5	3	30	55	27	10	20	2	5	1	9	2	2	7	6					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	215	1	0	1	0	2	2	3	0	1	0	4	8	2	4	0	3	0	1	6	0	0	0	5	2	0	1	2	2	0	18	0	11	0	3	5	3	20	45	10	5	14	1	5	0	9	2	1	7	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	109	4	0	2	0	1	0	1	2	7	1	2	3	1	4	0	2	1	2	2	0	0	1	4	4	2	0	2	4	0	3	1	1	0	6	2	0	5	7	2	3	8	0	4	0	5	0	0	5	5					
14	Число погашенных неиспользованных открепительных удостоверений	67	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	1	2	2	1	0	0	0	0	0	4	1	0	0	1	0	0	0	0	0	10	10	17	5	6	1	0	1	0	0	1	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	18	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	2	3	4	0	1	0	0	0	1	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																								
18	1.Политическая партия «Аграрная партия России»	153	0	6	0	0	2	4	0	0	3	2	3	0	4	1	0	2	0	8	2	0	1	0	0	0	0	1	6	0	10	5	2	6	0	3	7	0	15	19	8	0	7	1	0	2	4	0	5	1	13					
		0.84%	0.00%	3.00%	0.00%	0.00%	0.60%	1.05%	0.00%	0.00%	0.71%	0.94%	0.75%	0.00%	1.37%	0.16%	0.00%	0.49%	0.00%	3.57%	0.73%	0.00%	0.79%	0.00%	0.00%	0.00%	0.00%	1.75%	1.28%	0.00%	3.29%	0.75%	1.94%	0.87%	0.00%	0.95%	1.60%	0.00%	1.66%	1.63%	0.87%	0.00%	1.10%	0.28%	0.00%	0.80%	1.06%	0.00%	1.24%	0.20%	3.43%					
19	2.Всероссийская политическая партия «Гражданская Сила»	11	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	2	0	0	0	0	0	0	0	0	0	2					
		0.06%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.72%	0.44%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.53%					
20	3.Политическая партия «Демократическая партия России»	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1					
		0.02%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	1576	45	12	27	15	45	24	56	22	6	4	19	29	10	58	7	28	36	7	30	3	3	3	42	27	4	3	18	63	21	59	12	14	2	31	48	16	143	171	50	48	81	31	34	4	35	3	61	25	41					
		8.66%	10.34%	6.00%	11.79%	5.36%	13.39%	6.30%	16.37%	13.02%	1.41%	1.89%	4.73%	7.84%	3.41%	9.25%	3.68%	6.83%	8.24%	3.13%	10.95%	2.01%	2.36%	2.24%	9.98%	8.41%	2.92%	5.26%	3.83%	12.52%	6.91%	8.81%	11.65%	2.03%	3.45%	9.78%	10.98%	13.79%	15.85%	14.63%	5.46%	8.74%	12.72%	8.66%	8.27%	1.60%	9.23%	2.97%	15.17%	4.96%	10.82%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0					
		0.03%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.44%	0.00%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	10	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	2	0	3	0	0	0	0	0	0	0	0	0	1					
		0.05%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.21%	0.00%	0.00%	0.00%	0.97%	0.00%	0.00%	0.00%	0.23%	0.00%	0.22%	0.00%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%					
24	7.Политическая партия «Либерально-демократическая партия России»	132	0	0	0	0	0	3	0	1	6	0	0	0	0	1	1	0	0	1	0	0	0	3	0	4	0	2	3	0	4	3	4	0	0	16	16	2	25	19	5	0	0	2	0	0	5	1	0	2	3					
