Выборы Президента Российской Федерации																																																																				
																																																																				
Наименование Избирательной комиссии:    Славянская																																																																				
																																																																				
Итоги голосования 																																																																				
																																																																				
		Сумма	УИК №4201	УИК №4202	УИК №4203	УИК №4204	УИК №4205	УИК №4206	УИК №4207	УИК №4208	УИК №4209	УИК №4210	УИК №4211	УИК №4212	УИК №4213	УИК №4214	УИК №4215	УИК №4216	УИК №4217	УИК №4218	УИК №4219	УИК №4220	УИК №4221	УИК №4222	УИК №4223	УИК №4224	УИК №4225	УИК №4226	УИК №4227	УИК №4228	УИК №4229	УИК №4230	УИК №4231	УИК №4232	УИК №4233	УИК №4234	УИК №4235	УИК №4236	УИК №4237	УИК №4238	УИК №4239	УИК №4240	УИК №4241	УИК №4242	УИК №4243	УИК №4244	УИК №4245	УИК №4246	УИК №4247	УИК №4248	УИК №4249	УИК №4250	УИК №4251	УИК №4252	УИК №4253	УИК №4254	УИК №4255	УИК №4256	УИК №4257	УИК №4258	УИК №4259	УИК №4260	УИК  4299					
1	"Число избирателей, внесенных в список"	96432	2429	2194	1886	1285	2288	1703	2617	2635	1582	2528	2832	2163	1951	2357	1724	2538	2126	2245	1911	1805	2350	1862	1234	2684	1435	1279	2520	223	1134	1949	232	1750	735	358	2838	627	718	1406	2263	1781	1775	1929	1694	739	310	2571	1248	1314	2052	950	1131	1266	1303	1124	1431	1093	683	337	505	454	346					
2	Число полученных избирательных бюллетеней	92690	2300	2000	1800	1200	2000	1700	2600	2700	1500	2500	2800	2000	1900	2200	1600	2300	2000	2300	1900	1700	2200	1800	1200	2700	1400	1200	2500	210	1000	1900	230	1700	700	360	2800	600	700	1400	2000	1700	1700	1900	1600	700	300	2600	1200	1300	2000	900	1100	1200	1300	1100	1400	1000	600	330	470	440	250					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	61235	1328	1207	990	732	1111	867	1465	1669	946	1353	1660	1160	1231	1443	1009	1512	1257	1206	1144	1052	1178	1086	668	1918	1007	985	1688	199	873	1264	201	1142	648	308	1867	377	398	735	1701	1380	1266	1292	1420	632	265	1575	912	945	1578	712	812	1136	989	810	892	655	301	258	338	350	132					
5	"Число избирательных бюллетеней, выданных вне помещения"	5735	46	93	121	86	133	194	295	221	68	62	44	58	107	101	46	67	128	153	40	69	95	72	70	140	168	105	231	11	82	192	10	64	0	27	136	91	126	271	45	53	20	19	37	4	16	164	63	129	122	63	139	64	111	41	47	115	143	56	84	60	117					
6	Число погашенных избирательных бюллетеней	25720	926	700	689	382	756	639	840	810	486	1085	1096	782	562	656	545	721	615	941	716	579	927	642	462	642	225	110	581	0	45	444	19	494	52	25	797	132	176	394	254	267	414	589	143	64	19	861	225	226	300	125	149	0	200	249	461	230	156	16	48	30	1					
7	Число избирательных бюллетеней в переносных ящиках	5735	46	93	121	86	133	194	295	221	68	62	44	58	107	101	46	67	128	153	40	69	95	72	70	140	168	105	231	11	82	192	10	64	0	27	136	91	126	271	45	53	20	19	37	4	16	164	63	129	122	63	139	64	111	41	47	115	143	56	84	60	117					
8	Число бюллетеней в стационарных ящиках для голосования	60985	1328	1207	977	732	1111	867	1465	1448	940	1348	1660	1160	1231	1443	1009	1512	1257	1206	1144	1052	1177	1086	668	1918	1007	985	1688	199	873	1264	201	1140	648	308	1867	377	398	735	1701	1380	1266	1292	1420	632	265	1575	911	945	1578	712	812	1136	989	809	892	655	301	258	338	350	132					
9	Число недействительных избирательных бюллетеней	568	16	13	10	3	12	12	5	20	6	7	11	12	14	10	6	12	9	12	7	5	10	7	6	14	13	10	10	2	15	4	1	11	5	3	23	5	1	9	16	54	10	12	17	2	0	9	8	1	3	0	3	13	15	15	12	12	3	1	2	6	3					
10	Число действительных избирательных бюллетеней	66152	1358	1287	1088	815	1232	1049	1755	1649	1002	1403	1693	1206	1324	1534	1049	1567	1376	1347	1177	1116	1262	1151	732	2044	1162	1080	1909	208	940	1452	210	1193	643	332	1980	463	523	997	1730	1379	1276	1299	1440	634	281	1730	966	1073	1697	775	948	1187	1085	835	927	758	441	313	420	404	246					
11	Число полученных открепительных  удостоверений	983	15	5	15	5	15	15	15	15	15	10	25	15	15	20	15	40	15	15	18	15	15	15	7	30	15	15	45	5	15	25	5	15	15	15	25	15	15	15	15	15	15	15	15	15	15	30	15	15	15	15	15	15	28	15	15	15	15	15	15	15	0					
12	Число выданных открепительных удостоверений	652	11	3	3	2	5	11	15	15	8	7	24	12	5	19	13	38	13	15	18	8	10	13	3	30	15	15	45	0	12	25	1	15	0	0	25	15	10	4	5	4	2	3	6	0	0	28	4	7	12	8	8	9	28	15	7	3	2	3	0	15	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	360	14	7	3	6	3	6	9	4	6	10	22	8	5	41	12	6	4	5	8	6	5	5	5	7	6	4	6	2	16	2	2	4	2	0	8	1	4	1	2	1	0	4	7	2	1	8	6	4	14	4	3	3	7	10	5	3	2	1	1	2	5					
14	Число неиспользованных открепительных удостоверений	331	4	2	12	3	10	4	0	0	7	3	1	3	10	1	2	2	2	0	0	7	5	2	4	0	0	0	0	5	3	0	4	0	15	15	0	0	5	11	10	11	13	12	9	15	15	2	11	8	3	7	7	6	0	0	8	12	13	12	15	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	17	0	1	0	1	0	1	0	0	0	2	0	0	0	0	0	1	1	0	2	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																				
18	. Глазьев Сергей Юрьевич	2467	65	46	57	39	66	46	83	59	33	69	106	57	48	70	36	85	52	55	57	44	57	57	24	74	53	33	73	4	37	39	0	33	15	14	74	18	13	27	36	41	29	30	40	9	5	90	49	54	52	10	21	39	24	23	29	26	4	3	14	9	12					
		3.70%	4.73%	3.54%	5.19%	4.77%	5.31%	4.34%	4.72%	3.54%	3.27%	4.89%	6.22%	4.68%	3.59%	4.53%	3.41%	5.38%	3.75%	4.05%	4.81%	3.93%	4.48%	4.92%	3.25%	3.60%	4.51%	3.03%	3.80%	1.90%	3.87%	2.68%	0.00%	2.74%	2.31%	4.18%	3.69%	3.85%	2.48%	2.68%	2.06%	2.86%	2.26%	2.29%	2.75%	1.42%	1.78%	5.18%	5.03%	5.03%	3.06%	1.29%	2.21%	3.25%	2.18%	2.71%	3.09%	3.38%	0.90%	0.96%	3.32%	2.20%	4.82%					
19	. Малышкин Олег Александрович	1455	38	23	28	12	24	27	34	35	26	21	32	15	34	29	17	45	21	21	17	20	27	24	23	66	44	30	53	13	16	19	8	16	17	16	51	19	13	42	27	20	37	16	22	15	4	26	30	36	40	21	21	25	15	25	17	13	10	4	3	4	8					
