Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																										
Дата голосования: 02.12.2007																																																										
																																																										
Наименование Избирательной комиссии:    Рыбно-Слободская																																																										
																																																										
Сводная таблица результатов выборов																																																										
																																																										
		Сумма	УИК №2436	УИК №2437	УИК №2438	УИК №2439	УИК №2440	УИК №2441	УИК №2442	УИК №2443	УИК №2444	УИК №2445	УИК №2446	УИК №2447	УИК №2448	УИК №2449	УИК №2450	УИК №2451	УИК №2452	УИК №2453	УИК №2454	УИК №2455	УИК №2456	УИК №2457	УИК №2458	УИК №2459	УИК №2460	УИК №2461	УИК №2462	УИК №2463	УИК №2464	УИК №2465	УИК №2466	УИК №2467	УИК №2468	УИК №2469	УИК №2470	УИК №2471	УИК №2472	УИК №2473	УИК №2474	УИК №2475	УИК №2476	УИК №2477	УИК №2478	УИК №2479	УИК №2480	УИК №2481	УИК №2482	УИК №2483	УИК №2484	УИК №2485	УИК №2486					
1	"Число избирателей, внесенных в списки избирателей"	22077	564	318	303	206	109	147	666	302	901	325	156	363	153	303	268	273	395	176	372	100	942	98	946	420	238	562	616	406	563	334	1175	1218	951	701	1188	634	479	290	207	145	194	149	177	157	316	153	405	435	436	542	600					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	21626	560	324	303	207	108	147	657	303	919	317	154	365	153	308	266	277	399	171	370	101	931	98	924	405	238	553	617	401	560	329	1106	1146	885	648	1120	600	476	293	213	145	189	149	178	157	314	153	395	432	434	540	588					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	20622	541	318	302	204	107	147	650	302	777	292	146	363	152	249	249	273	392	171	354	98	884	98	833	383	238	475	568	377	556	289	1071	1127	859	632	1063	571	439	279	198	132	189	149	177	157	312	152	391	421	399	528	588					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	719	18	0	0	0	0	0	2	0	83	23	8	0	0	53	17	0	3	0	13	0	31	0	59	22	0	56	39	24	4	39	35	19	26	16	26	16	10	8	9	11	0	0	0	0	0	0	4	5	28	12	0					
6	Число погашенных избирательных бюллетеней	285	1	6	1	3	1	0	5	1	59	2	0	2	1	6	0	4	4	0	3	3	16	0	32	0	0	22	10	0	0	1	0	0	0	0	31	13	27	6	6	2	0	0	1	0	2	1	0	6	7	0	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	719	18	0	0	0	0	0	2	0	83	23	8	0	0	53	17	0	3	0	13	0	31	0	59	22	0	56	39	24	4	39	35	19	26	16	26	16	10	8	9	11	0	0	0	0	0	0	4	5	28	12	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	20622	541	318	302	204	107	147	650	302	777	292	146	363	152	249	249	273	392	171	354	98	884	98	833	383	238	475	568	377	556	289	1071	1127	859	632	1063	571	439	279	198	132	189	149	177	157	312	152	391	421	399	528	588					
9	Число недействительных избирательных бюллетеней	131	2	0	0	0	6	0	4	0	7	1	3	0	7	0	2	0	0	0	6	0	7	0	0	9	0	5	0	3	0	0	6	6	3	6	2	1	0	0	0	5	2	1	0	0	1	5	4	3	2	9	13					
10	Число действительных избирательных бюллетеней	21210	557	318	302	204	101	147	648	302	853	314	151	363	145	302	264	273	395	171	361	98	908	98	892	396	238	526	607	398	560	328	1100	1140	882	642	1087	586	449	287	207	138	187	148	177	157	311	147	391	423	425	531	575					
