Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																			
Дата голосования: 02.12.2007																																																																			
																																																																			
"Наименование Избирательной комиссии:    Новосибирск, Кировская"																																																																			
																																																																			
Сводная таблица результатов выборов																																																																			
																																																																			
		Сумма	УИК №1673	УИК №1674	УИК №1675	УИК №1676	УИК №1677	УИК №1678	УИК №1679	УИК №1680	УИК №1681	УИК №1682	УИК №1683	УИК №1684	УИК №1685	УИК №1686	УИК №1687	УИК №1688	УИК №1689	УИК №1690	УИК №1691	УИК №1692	УИК №1693	УИК №1694	УИК №1695	УИК №1696	УИК №1697	УИК №1698	УИК №1699	УИК №1700	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732					
1	"Число избирателей, внесенных в списки избирателей"	134893	1390	2260	2179	2875	2253	929	2677	2823	2500	2360	2288	2832	1620	972	2750	2210	1777	2378	2309	2252	2098	2638	2415	2501	2733	2205	2096	2377	2658	2564	2484	2389	1381	2080	2540	2447	2162	2164	2157	2299	2394	2333	2086	2382	2132	2740	2441	2896	2877	2685	2977	2467	2523	2229	2064	2426	1915	2125	527	652					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	106500	1000	1600	2000	2200	1800	700	2100	2100	2000	2000	2000	2200	1200	700	2000	1700	1400	1800	1800	1700	1600	2100	2000	2000	2200	1700	1700	2000	2100	2100	2000	2000	1000	1500	2000	2000	1700	1700	1700	1800	1900	1900	1700	1900	1700	2200	2000	2100	2100	2000	2300	1900	2000	1800	1700	2000	1500	1700	500	700					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	71880	802	1147	1280	1645	1174	467	1556	1595	1343	1254	1203	1458	680	540	1498	1012	936	1130	1068	1229	1175	1409	1314	1334	1480	1132	1157	1308	1474	1304	1388	1302	637	1056	1447	1312	1148	1220	1197	1329	1288	1252	1124	1237	1224	1451	1350	1421	1329	1389	1598	1198	1458	1161	1131	1376	1008	905	379	461					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2525	21	23	36	64	54	34	45	56	46	55	37	17	158	44	51	32	70	34	42	37	56	55	36	70	21	30	24	24	21	38	36	38	48	94	37	40	32	25	32	35	60	47	32	46	33	41	31	18	35	35	28	11	36	46	51	33	10	17	14	153					
6	Число погашенных избирательных бюллетеней	32095	177	430	684	491	572	199	499	449	611	691	760	725	362	116	451	656	394	636	690	434	369	636	650	596	699	538	519	668	605	758	576	660	315	350	516	648	520	455	471	436	552	601	544	617	443	708	619	661	736	576	674	691	506	593	518	591	482	778	107	86					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2525	21	23	36	64	54	34	45	56	46	55	37	17	158	44	51	32	70	34	42	37	56	55	36	70	21	30	24	24	21	38	36	38	48	94	37	40	32	25	32	35	60	47	32	46	33	41	31	18	35	35	28	11	36	46	51	33	10	17	14	153					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	71797	801	1143	1280	1645	1172	467	1554	1591	1341	1252	1201	1457	678	540	1496	1012	934	1127	1068	1229	1174	1409	1314	1333	1475	1132	1153	1308	1473	1304	1388	1302	637	1056	1445	1310	1148	1220	1197	1329	1286	1252	1121	1237	1220	1451	1338	1417	1329	1386	1597	1198	1452	1158	1131	1376	1008	905	379	461					
9	Число недействительных избирательных бюллетеней	761	5	12	13	12	9	7	10	23	11	7	16	19	11	8	12	10	13	18	15	10	18	9	12	9	15	5	13	15	19	18	17	18	7	6	14	19	18	18	14	4	6	14	14	25	14	11	23	15	15	16	18	13	10	11	9	8	18	4	3	5					
10	Число действительных избирательных бюллетеней	73561	817	1154	1303	1697	1217	494	1589	1624	1376	1300	1222	1455	825	576	1535	1034	991	1143	1095	1256	1212	1455	1338	1394	1481	1157	1164	1317	1475	1324	1407	1322	678	1144	1468	1331	1162	1227	1215	1360	1340	1285	1139	1258	1239	1481	1346	1420	1349	1405	1607	1196	1478	1193	1173	1401	1000	918	390	609					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1955	20	35	35	40	35	10	40	40	35	30	35	40	20	15	40	30	25	35	35	35	30	40	35	35	40	30	30	35	40	40	40	35	20	30	35	30	30	30	30	30	30	35	30	35	30	40	40	50	40	40	40	35	40	35	30	35	30	30	15	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1215	14	25	20	26	16	7	23	29	17	20	19	29	12	4	32	24	14	26	28	24	23	23	20	17	30	17	19	29	17	17	13	25	6	17	15	21	15	20	20	18	21	27	17	22	20	24	31	44	20	26	24	15	28	14	18	22	16	25	10	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	959	22	9	12	68	14	7	20	19	18	16	5	11	14	7	12	31	17	6	13	26	32	37	10	9	40	4	25	9	29	11	9	13	7	22	13	7	6	8	9	13	23	9	7	11	16	16	17	9	19	12	11	8	17	12	14	15	10	9	4	60					
14	Число погашенных неиспользованных открепительных удостоверений	740	6	10	15	14	19	3	17	11	18	10	16	11	8	11	8	6	11	9	7	11	7	17	15	18	10	13	11	6	23	23	27	10	14	13	20	9	15	10	10	12	9	8	13	13	10	16	9	6	20	14	16	20	12	21	12	13	14	5	5	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	31	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	1	0	0	0	0	2	1	0	0	0	0	2	2	0	1	1	0	0	0	0	0	1	1	1	1	0	1	0	1	0	2	1	1	1	0	3	0	0	0	1	0	2	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
