Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																											
Дата голосования: 02.12.2007																																																											
																																																											
Наименование Избирательной комиссии:    Татарская																																																											
																																																											
Сводная таблица результатов выборов																																																											
																																																											
		Сумма	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007					
1	"Число избирателей, внесенных в списки избирателей"	13317	569	95	248	54	91	513	56	95	136	563	433	245	336	377	153	256	69	465	137	424	403	77	50	124	670	205	208	76	53	670	118	116	44	922	180	154	367	309	101	107	339	56	615	62	82	591	348	125	377	89	247	117					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	13400	577	100	250	55	94	520	64	99	140	568	430	250	339	380	155	259	71	450	139	446	408	84	60	126	670	207	207	80	61	660	120	116	46	890	180	156	360	310	103	109	340	59	600	64	85	600	355	129	370	93	250	116					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	9138	375	70	169	47	75	333	55	78	110	335	267	152	211	241	104	229	57	316	103	263	243	66	50	85	372	147	124	65	45	426	72	105	44	546	97	98	308	244	84	97	239	41	446	52	67	365	323	112	231	65	196	93					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	706	54	7	11	0	8	42	0	0	7	32	22	15	17	54	19	0	1	15	0	33	38	0	0	0	32	8	8	4	4	67	14	3	0	47	13	16	6	11	0	0	0	0	26	0	3	37	0	0	14	3	10	5					
6	Число погашенных избирательных бюллетеней	3556	148	23	70	8	11	145	9	21	23	201	141	83	111	85	32	30	13	119	36	150	127	18	10	41	266	52	75	11	12	167	34	8	2	297	70	42	46	55	19	12	101	18	128	12	15	198	32	17	125	25	44	18					
7	Число избирательных бюллетеней в переносных ящиках для голосования	706	54	7	11	0	8	42	0	0	7	32	22	15	17	54	19	0	1	15	0	33	38	0	0	0	32	8	8	4	4	67	14	3	0	47	13	16	6	11	0	0	0	0	26	0	3	37	0	0	14	3	10	5					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	9138	375	70	169	47	75	333	55	78	110	335	267	152	211	241	104	229	57	316	103	263	243	66	50	85	372	147	124	65	45	426	72	105	44	546	97	98	308	244	84	97	239	41	446	52	67	365	323	112	231	65	196	93					
9	Число недействительных избирательных бюллетеней	117	3	3	0	0	0	2	0	0	0	11	3	6	2	1	1	0	0	4	0	5	6	0	0	4	9	3	5	0	0	3	0	0	0	11	1	2	0	6	0	0	0	0	4	1	0	6	4	0	5	0	6	0					
10	Число действительных избирательных бюллетеней	9727	426	74	180	47	83	373	55	78	117	356	286	161	226	294	122	229	58	327	103	291	275	66	50	81	395	152	127	69	49	490	86	108	44	582	109	112	314	249	84	97	239	41	468	51	70	396	319	112	240	68	200	98					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	529	15	8	15	5	8	15	5	8	8	15	15	15	15	15	8	15	5	15	8	15	15	8	5	5	15	8	8	5	5	15	5	5	5	15	8	8	15	15	5	8	15	5	15	5	8	15	15	5	15	5	15	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	80	7	4	4	0	0	4	4	0	1	3	0	0	0	4	0	1	0	0	0	9	0	2	1	0	4	1	0	1	0	9	2	0	0	8	0	0	0	0	0	0	2	0	1	0	0	2	0	0	3	1	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	65	1	1	1	0	1	0	0	0	0	1	3	1	2	0	0	1	0	3	0	3	4	1	0	1	2	2	3	0	1	4	0	0	0	5	3	0	1	4	0	0	3	0	2	0	0	4	1	0	4	1	0	1					
14	Число погашенных неиспользованных открепительных удостоверений	449	8	4	11	5	8	11	1	8	7	12	15	15	15	11	8	14	5	15	8	6	15	6	4	5	11	7	8	4	5	6	3	5	5	7	8	8	15	15	5	8	13	5	14	5	8	13	15	5	12	4	13	5					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
