Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																													
Дата голосования: 18.09.2016																																																																																													
																																																																																													
Наименование Избирательной комиссии:    Златоустовская городская																																																																																													
																																																																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																													
																																																																																													
		Сумма	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №2287	УИК №2288									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	129188	2259	2438	1052	2127	1456	1977	1169	1617	1383	1331	2236	1391	1074	2282	1599	1320	1515	2174	1847	1987	1196	1224	1082	1870	1989	2103	1908	1645	1639	1863	1480	1471	1974	2021	1849	1892	1029	2300	2349	2441	2408	1180	1717	1902	2034	1659	1603	1675	1377	1975	2321	1503	730	578	1310	896	1986	1031	1414	1729	1952	1668	1672	1460	1887	1547	1214	1770	1587	1164	1104	1175	1870	1605	1543	1543	646	847	294	670	566	817									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	91455	1510	1740	740	1520	1030	1380	820	1150	980	940	1590	960	770	1610	1150	940	1070	1500	1320	1400	840	870	770	1330	1410	1490	1350	1170	1180	1320	1110	1030	1400	1440	1310	1350	730	1630	1660	1710	1700	830	1220	1350	1440	1180	1120	1180	930	1410	1640	1060	510	400	910	630	1420	700	1010	1210	1330	1180	1190	1040	1320	1110	860	1250	1120	820	760	840	1330	1130	1090	1090	450	610	210	670	400	585									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	47246	740	854	375	809	583	750	469	422	356	357	583	352	260	808	447	451	555	784	763	761	480	437	393	756	758	900	759	664	702	750	666	585	855	867	829	796	385	1052	1022	1129	862	426	737	721	733	596	592	669	600	723	866	577	171	177	398	220	518	280	533	619	664	647	688	589	675	587	513	488	574	303	365	347	623	463	316	398	125	387	95	670	198	249									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2761	120	54	23	58	47	27	37	34	11	27	73	22	20	22	11	13	50	70	38	25	33	22	21	25	37	45	53	25	25	36	28	30	29	37	38	29	9	23	14	16	29	15	16	22	55	35	41	32	73	37	37	11	7	16	18	15	15	61	19	30	80	26	43	39	20	28	21	30	27	32	57	24	23	29	103	64	106	33	15	0	9	11									
6	Число погашенных избирательных бюллетеней	41448	650	832	342	653	400	603	314	694	613	556	934	586	490	780	692	476	465	646	519	614	327	411	356	549	615	545	538	481	453	534	416	415	516	536	443	525	336	555	624	565	809	389	467	607	652	549	487	479	257	650	737	472	332	207	494	395	887	359	458	561	586	507	459	412	625	495	326	732	519	485	338	469	684	638	671	628	219	190	100	0	193	325									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2761	120	54	23	58	47	27	37	34	11	27	73	22	20	22	11	13	50	70	38	25	33	22	21	25	37	45	53	25	25	36	28	30	29	37	38	29	9	23	14	16	29	15	16	22	55	35	41	32	73	37	37	11	7	16	18	15	15	61	19	30	80	26	43	39	20	28	21	30	27	32	57	24	23	29	103	64	106	33	15	0	9	11									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	47224	740	854	375	808	583	750	469	422	356	357	583	352	260	808	447	451	555	784	763	761	480	437	392	756	758	900	757	664	702	750	666	585	855	866	829	796	385	1050	1021	1129	862	426	737	721	731	592	591	669	600	720	866	576	171	177	397	220	518	280	533	619	664	647	688	589	675	587	513	488	574	303	365	347	621	463	316	398	125	387	95	670	198	249									
9	Число недействительных избирательных бюллетеней	1864	31	23	14	33	18	29	12	17	12	19	31	11	8	30	20	21	36	33	25	28	19	26	18	19	38	31	44	22	12	23	22	19	28	35	38	34	15	32	27	40	28	18	24	34	33	14	28	29	27	27	32	25	7	6	12	11	27	22	20	20	37	33	23	27	20	20	18	22	28	19	22	10	36	17	10	19	5	15	7	16	7	16									
10	Число действительных избирательных бюллетеней	48121	829	885	384	833	612	748	494	439	355	365	625	363	272	800	438	443	569	821	776	758	494	433	395	762	757	914	766	667	715	763	672	596	856	868	829	791	379	1041	1008	1105	863	423	729	709	753	613	604	672	646	730	871	562	171	187	403	224	506	319	532	629	707	640	708	601	675	595	516	496	573	316	400	361	608	475	409	443	226	405	103	654	200	244									
