Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																				
Дата голосования: 18.09.2016																																																																				
																																																																				
Наименование Избирательной комиссии:    Ленинская																																																																				
																																																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																																																				
																																																																				
		Сумма	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	86326	1158	1453	1312	1148	1577	764	1232	701	902	696	2825	2142	1196	919	569	953	1505	2257	2724	1875	1658	1558	1301	1978	1566	1343	1371	1836	2209	2346	2029	1601	1467	1644	1700	495	1739	2212	716	1493	1804	1932	959	2571	1797	2291	1800	1986	2103	1465	2232	2156	496	2318	168	29	49									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	68525	956	1100	700	996	1200	600	986	499	700	499	1998	1900	1000	699	400	697	1204	1792	1996	1500	1316	1294	992	1498	1296	1003	994	1498	1806	1982	1600	1300	1204	1296	1293	403	1206	1797	600	1220	1500	1500	800	2000	1412	1786	1500	1600	1700	1200	1707	1703	392	1810	498	200	197									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	38575	431	545	674	483	519	388	624	377	436	353	1585	1398	506	358	258	494	660	960	947	399	459	718	605	857	678	619	636	928	1083	1125	918	834	700	779	833	238	697	957	304	611	795	923	464	948	783	984	758	666	1085	720	1113	1039	190	1108	0	15	10									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1222	23	11	12	17	20	15	19	16	16	19	40	7	11	7	4	12	22	17	22	2	10	47	42	21	14	24	22	33	60	35	48	19	17	24	12	3	14	22	8	19	9	23	15	19	19	16	29	22	17	10	6	8	5	9	161	12	36									
6	Число погашенных избирательных бюллетеней	28727	502	544	14	496	661	197	343	106	248	127	373	495	483	334	138	191	522	815	1027	1099	847	529	345	620	604	360	336	537	663	822	634	447	487	493	447	162	495	818	288	590	696	554	321	1033	610	786	713	912	598	470	588	656	197	693	337	173	151									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1221	22	11	12	17	20	15	19	16	16	19	40	7	11	7	4	12	22	17	22	2	10	47	42	21	14	24	22	33	60	35	48	19	17	24	12	3	14	22	8	19	9	23	15	19	19	16	29	22	17	10	6	8	5	9	161	12	36									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	38572	431	545	674	483	519	388	624	377	435	353	1585	1398	506	358	258	494	660	960	947	399	458	718	605	857	678	619	636	928	1083	1125	918	834	699	779	833	238	697	957	304	611	795	923	464	948	783	984	758	666	1085	720	1113	1039	190	1108	0	15	10									
9	Число недействительных избирательных бюллетеней	918	12	12	18	13	8	8	19	12	11	11	31	31	12	17	4	12	14	23	27	10	9	19	18	19	21	22	8	13	22	27	18	19	10	21	21	3	25	20	9	15	17	23	9	19	19	23	13	17	19	9	19	17	5	60	4	0	1									
10	Число действительных избирательных бюллетеней	38875	441	544	668	487	531	395	624	381	440	361	1594	1374	505	348	258	494	668	954	942	391	459	746	629	859	671	621	650	948	1121	1133	948	834	706	782	824	238	686	959	303	615	787	923	470	948	783	977	774	671	1083	721	1100	1030	190	1057	157	27	45									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	540	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	162	1	0	3	0	3	4	2	0	5	2	10	7	7	0	2	2	2	4	4	1	2	4	3	1	0	3	4	2	5	1	7	6	1	7	8	1	2	1	1	6	1	1	5	2	3	2	2	2	7	1	4	3	1	4	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	429	6	17	7	0	4	39	9	6	11	10	32	75	7	7	8	4	8	6	7	3	0	5	2	3	0	3	9	14	4	3	5	7	5	0	4	1	3	6	1	5	1	6	12	6	5	4	4	3	4	7	6	5	6	14	0	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	378	9	10	7	10	7	6	8	10	5	8	0	3	3	10	8	8	8	6	6	9	8	6	7	9	10	7	6	8	5	9	3	4	9	3	2	9	8	9	9	4	9	9	5	8	7	8	8	8	3	9	6	7	9	6	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	24	0	2	1	0	1	0	0	1	1	0	1	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	2	2	1	0	1	0	1	2	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																				
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	1010	11	15	14	12	9	20	16	15	13	14	34	28	11	5	7	20	15	18	24	6	14	16	15	20	20	19	16	18	22	23	25	24	28	27	35	4	22	37	5	16	16	32	13	16	22	19	34	22	33	17	42	21	4	3	1	0	2									
		2.54%	2.43%	2.70%	2.04%	2.40%	1.67%	4.96%	2.49%	3.82%	2.88%	3.76%	2.09%	1.99%	2.13%	1.37%	2.67%	3.95%	2.20%	1.84%	2.48%	1.50%	2.99%	2.09%	2.32%	2.28%	2.89%	2.95%	2.43%	1.87%	1.92%	1.98%	2.59%	2.81%	3.91%	3.36%	4.14%	1.66%	3.09%	3.78%	1.60%	2.54%	1.99%	3.38%	2.71%	1.65%	2.74%	1.90%	4.32%	3.20%	2.99%	2.33%	3.75%	2.01%	2.05%	0.27%	0.62%	0.00%	4.35%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	721	4	14	4	8	9	7	10	14	8	7	27	17	17	8	5	10	14	23	15	4	13	14	10	13	14	18	13	21	27	15	12	18	16	18	11	2	12	20	10	6	17	18	6	11	8	15	16	15	22	19	14	15	5	26	6	0	0									
