Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																												
Дата голосования: 18.09.2016																																																																																												
																																																																																												
Наименование Избирательной комиссии:    Искитимская																																																																																												
																																																																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																												
																																																																																												
		Сумма	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	50931	462	219	178	295	549	1379	1437	1312	1379	1378	1544	1362	1308	1566	1339	1326	1317	1390	517	212	318	357	654	2381	417	1598	1074	1460	687	686	619	101	1022	564	409	400	142	152	289	722	174	117	153	483	294	162	1456	232	256	171	563	193	75	190	590	124	146	152	1108	2223	428	541	213	186	874	116	689	176	352	1281	287	175	646	228	92	179	126	503	91	232	133									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	49340	450	200	150	300	550	1400	1400	1300	1350	1350	1300	1350	1300	1550	1300	1250	1300	1350	500	200	300	350	650	2400	400	1550	1050	1450	650	650	600	100	1000	550	400	350	100	150	250	700	150	100	150	450	300	100	1450	200	250	150	550	150	70	150	600	100	140	150	1100	2200	400	500	200	190	900	100	650	150	350	1300	250	150	650	200	90	150	100	500	100	250	150									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	18857	216	102	64	129	202	553	523	465	518	427	501	501	456	534	485	385	514	486	200	90	101	131	267	645	130	571	247	599	185	261	194	55	425	198	159	170	44	59	121	248	58	32	63	227	115	85	515	102	109	82	225	100	35	82	242	41	47	79	445	947	183	204	83	91	363	62	312	78	97	451	97	68	232	98	41	71	64	238	49	95	88									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1268	15	12	8	12	10	28	9	4	8	15	233	8	4	3	7	22	7	8	8	2	7	0	14	68	15	15	13	19	26	21	14	1	13	26	5	12	7	1	11	56	1	6	2	34	13	5	38	6	7	5	14	4	6	4	18	7	4	11	21	24	21	21	7	8	37	5	21	11	9	34	2	8	19	20	1	3	1	16	4	7	16									
6	Число погашенных избирательных бюллетеней	29215	219	86	78	159	338	819	868	831	824	908	566	841	840	1013	808	843	779	856	292	108	192	219	369	1687	255	964	790	832	439	368	392	44	562	326	236	168	49	90	118	396	91	62	85	189	172	10	897	92	134	63	311	46	29	64	340	52	89	60	634	1229	196	275	110	91	500	33	317	61	244	815	151	74	399	82	48	76	35	246	47	148	46									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1268	15	12	8	12	10	28	9	4	8	15	233	8	4	3	7	22	7	8	8	2	7	0	14	68	15	15	13	19	26	21	14	1	13	26	5	12	7	1	11	56	1	6	2	34	13	5	38	6	7	5	14	4	6	4	18	7	4	11	21	24	21	21	7	8	37	5	21	11	9	34	2	8	19	20	1	3	1	16	4	7	16									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	18845	216	102	64	129	202	553	523	461	518	427	501	501	456	533	482	385	514	486	200	90	101	131	267	645	130	571	247	598	185	261	194	55	422	198	159	170	44	59	121	248	58	32	63	227	115	85	515	102	109	82	225	100	35	82	242	41	47	79	445	947	183	204	83	91	363	62	312	78	97	451	97	68	232	98	41	71	64	238	49	95	88									
9	Число недействительных избирательных бюллетеней	715	8	4	1	8	7	13	8	12	28	15	35	12	11	18	8	9	14	21	6	5	9	4	21	22	1	29	6	27	4	19	4	8	17	10	3	3	3	1	3	12	0	1	1	4	5	2	15	5	3	6	6	7	0	5	7	8	1	0	14	34	4	7	5	10	11	5	29	1	1	20	1	3	19	1	0	1	1	10	7	3	3									
10	Число действительных избирательных бюллетеней	19398	223	110	71	133	205	568	524	453	498	427	699	497	449	518	481	398	507	473	202	87	99	127	260	691	144	557	254	590	207	263	204	48	418	214	161	179	48	59	129	292	59	37	64	257	123	88	538	103	113	81	233	97	41	81	253	40	50	90	452	937	200	218	85	89	389	62	304	88	105	465	98	73	232	117	42	73	64	244	46	99	101									
