Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																							
Дата голосования: 04.12.2011																																																																																							
																																																																																							
Наименование Избирательной комиссии:    Неклиновская 																																																																																							
																																																																																							
Сводная таблица результатов выборов																																																																																							
																																																																																							
		Сумма	УИК №1888	УИК №1889	УИК №1890	УИК №1891	УИК №1892	УИК №1893	УИК №1894	УИК №1895	УИК №1896	УИК №1897	УИК №1898	УИК №1899	УИК №1900	УИК №1901	УИК №1902	УИК №1903	УИК №1904	УИК №1905	УИК №1906	УИК №1907	УИК №1908	УИК №1909	УИК №1910	УИК №1911	УИК №1912	УИК №1913	УИК №1914	УИК №1915	УИК №1916	УИК №1917	УИК №1918	УИК №1919	УИК №1920	УИК №1921	УИК №1922	УИК №1923	УИК №1924	УИК №1925	УИК №1926	УИК №1927	УИК №1928	УИК №1929	УИК №1930	УИК №1931	УИК №1932	УИК №1933	УИК №1934	УИК №1935	УИК №1936	УИК №1937	УИК №1938	УИК №1939	УИК №1940	УИК №1941	УИК №1942	УИК №1943	УИК №1944	УИК №1945	УИК №1946	УИК №1947	УИК №1948	УИК №1949	УИК №1950	УИК №1951	УИК №1952	УИК №1953	УИК №1954	УИК №1955	УИК №1956	УИК №1957	УИК №1958	УИК №1959	УИК №1960	УИК №1961	УИК №1962	УИК №2449	УИК №2518	УИК №2586	УИК №2638	УИК №2642					
1	"Число избирателей, внесенных в список избирателей"	66849	2567	2666	2504	2563	798	633	80	752	197	431	819	849	1237	1173	1155	1639	1143	506	1887	2488	1499	1678	1373	687	652	683	1277	1625	197	104	676	161	165	112	175	378	2351	2877	338	486	407	1492	741	701	1080	843	705	298	292	1170	242	760	460	1771	83	60	149	907	79	735	250	307	1318	150	170	311	1560	260	704	547	653	145	354	69	117	375	667	847	832	657					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	67129	2625	2735	2570	2600	820	640	77	773	197	433	830	860	1234	1180	1150	1640	1145	505	1850	2500	1490	1700	1370	700	618	680	1280	1630	185	102	695	160	165	110	170	375	2400	2880	335	497	407	1460	750	700	1090	853	725	300	295	1155	230	765	463	1800	80	56	150	920	75	735	240	305	1315	150	172	305	1575	262	715	560	660	150	358	69	115	370	675	781	837	600					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	36112	1369	1919	1431	1307	473	372	52	368	140	278	425	508	567	580	577	884	551	246	981	1146	772	801	606	576	365	304	442	612	108	55	527	142	126	101	156	216	1191	1226	177	235	192	676	357	370	686	435	493	206	200	828	146	467	446	944	30	27	68	778	50	494	134	217	597	80	96	178	703	127	395	268	314	137	204	43	86	195	339	419	456	319					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	3407	93	93	68	123	41	64	18	93	14	22	116	104	34	31	46	57	112	34	59	87	46	51	44	21	23	38	38	38	32	12	51	11	28	6	14	48	77	172	7	33	26	62	27	28	62	77	10	27	32	78	22	55	14	64	24	12	21	37	5	32	29	8	132	5	8	22	69	19	33	30	64	0	28	12	4	7	34	30	29	30					
6	Число погашенных избирательных бюллетеней	27610	1163	723	1071	1170	306	204	7	312	43	133	289	248	633	569	527	699	482	225	810	1267	672	848	720	103	230	338	800	980	45	35	117	7	11	3	0	111	1132	1482	151	229	189	722	366	302	342	341	222	67	63	249	62	243	3	792	26	17	61	105	20	209	77	80	586	65	68	105	803	116	287	262	282	13	126	14	25	168	302	332	352	251					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3407	93	93	68	123	41	64	18	93	14	22	116	104	34	31	46	57	112	34	59	87	46	51	44	21	23	38	38	38	32	12	51	11	28	6	14	48	77	172	7	33	26	62	27	28	62	77	10	27	32	78	22	55	14	64	24	12	21	37	5	32	29	8	132	5	8	22	69	19	33	30	64	0	28	12	4	7	34	30	29	30					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	36106	1369	1919	1431	1302	473	372	52	368	140	278	425	508	567	580	577	884	551	246	981	1146	772	801	606	576	365	304	442	612	108	55	527	142	126	101	156	216	1191	1225	177	235	192	676	357	370	686	435	493	206	200	828	146	467	446	944	30	27	68	778	50	494	134	217	597	80	96	178	703	127	395	268	314	137	204	43	86	195	339	419	456	319					
9	Число недействительных избирательных бюллетеней	572	13	23	27	21	5	3	0	7	1	3	7	5	22	8	6	17	9	5	28	21	9	15	8	9	7	6	13	7	0	1	4	0	0	0	0	1	19	25	3	2	1	6	1	6	2	8	16	0	0	17	3	8	5	12	1	0	0	6	0	11	0	5	12	3	2	3	15	1	4	3	9	0	4	0	0	4	6	11	21	6					
10	Число действительных избирательных бюллетеней	38941	1449	1989	1472	1404	509	433	70	454	153	297	534	607	579	603	617	924	654	275	1012	1212	809	837	642	588	381	336	467	643	140	66	574	153	154	107	170	263	1249	1372	181	266	217	732	383	392	746	504	487	233	232	889	165	514	455	996	53	39	89	809	55	515	163	220	717	82	102	197	757	145	424	295	369	137	228	55	90	198	367	438	464	343					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1189	64	83	57	43	20	10	2	13	5	10	20	15	25	25	30	19	15	3	25	25	25	26	14	14	15	8	18	32	1	2	17	2	2	2	2	5	50	45	10	10	4	30	20	10	15	10	10	5	5	25	5	10	5	20	1	1	5	10	1	10	5	5	15	2	3	4	20	5	8	10	10	7	8	3	3	5	10	20	20	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1013	62	80	57	43	20	10	0	12	1	5	16	11	19	24	30	16	14	3	20	25	25	25	13	12	9	7	15	31	0	1	15	0	1	1	0	3	44	45	9	10	2	27	16	10	14	7	9	3	5	24	1	6	3	20	0	0	0	5	0	4	0	1	9	0	2	1	18	1	6	8	8	4	6	1	2	5	10	17	17	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	506	22	52	11	16	10	7	5	4	1	5	6	4	14	5	6	21	21	1	11	10	9	7	7	4	9	4	9	17	1	1	3	1	1	0	2	3	5	13	4	12	2	9	5	8	9	3	3	2	2	3	3	8	2	5	3	4	1	7	1	3	1	1	7	1	1	2	4	3	6	1	2	1	2	4	1	12	3	12	11	4					
14	Число погашенных неиспользованных открепительных удостоверений	176	2	3	0	0	0	0	2	1	4	5	4	4	6	1	0	3	1	0	5	0	0	1	1	2	6	1	3	1	1	1	2	2	1	1	2	2	6	0	1	0	2	3	4	0	1	3	1	2	0	1	4	4	2	0	1	1	5	5	1	6	5	4	6	2	1	3	2	4	2	2	2	3	2	2	1	0	0	3	3	8					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	11	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																							
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	4926	261	309	270	176	70	42	8	109	31	35	52	50	91	77	96	94	64	24	96	179	132	128	113	36	43	35	51	84	7	4	50	5	11	1	12	31	202	165	29	42	18	127	63	70	56	76	46	17	36	57	24	35	20	136	6	5	7	31	1	21	9	18	113	2	12	15	62	6	54	65	88	7	31	10	7	24	61	58	62	55					
		12.47%	17.85%	15.36%	18.01%	12.35%	13.62%	9.63%	11.43%	23.64%	20.13%	11.67%	9.61%	8.17%	15.14%	12.60%	15.41%	9.99%	9.65%	8.57%	9.23%	14.52%	16.14%	15.02%	17.38%	6.03%	11.08%	10.23%	10.63%	12.92%	5.00%	5.97%	8.65%	3.27%	7.14%	0.93%	7.06%	11.74%	15.93%	11.81%	15.76%	15.67%	8.26%	17.21%	16.41%	17.59%	7.49%	14.84%	9.15%	7.30%	15.52%	6.29%	14.29%	6.70%	4.35%	13.49%	11.11%	12.82%	7.87%	3.80%	1.82%	3.99%	5.52%	8.00%	15.50%	2.35%	11.54%	7.50%	8.03%	4.11%	12.62%	21.81%	23.28%	5.11%	13.36%	18.18%	7.78%	11.88%	16.35%	12.92%	12.78%	15.76%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	4435	200	190	176	198	63	44	8	53	19	33	52	45	86	67	91	120	67	40	125	126	69	107	77	63	46	34	50	77	6	14	77	2	3	3	8	13	167	198	27	37	36	69	62	44	65	36	59	33	24	72	15	44	27	130	3	1	5	39	13	80	11	21	79	11	3	23	94	16	53	38	48	25	34	6	14	34	38	57	61	31					
		11.22%	13.68%	9.44%	11.74%	13.89%	12.26%	10.09%	11.43%	11.50%	12.34%	11.00%	9.61%	7.35%	14.31%	10.97%	14.61%	12.75%	10.11%	14.29%	12.02%	10.22%	8.44%	12.56%	11.85%	10.55%	11.86%	9.94%	10.42%	11.85%	4.29%	20.90%	13.32%	1.31%	1.95%	2.80%	4.71%	4.92%	13.17%	14.17%	14.67%	13.81%	16.51%	9.35%	16.15%	11.06%	8.69%	7.03%	11.73%	14.16%	10.34%	7.95%	8.93%	8.43%	5.87%	12.90%	5.56%	2.56%	5.62%	4.79%	23.64%	15.21%	6.75%	9.33%	10.84%	12.94%	2.88%	11.50%	12.18%	10.96%	12.38%	12.75%	12.70%	18.25%	14.66%	10.91%	15.56%	16.83%	10.19%	12.69%	12.58%	8.88%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	394	17	17	13	13	5	1	0	3	0	1	5	5	6	4	3	7	5	7	6	13	9	16	2	1	4	0	3	8	5	1	8	0	0	0	2	2	12	10	3	3	0	19	27	10	11	11	8	2	4	8	6	4	1	8	0	0	1	3	0	2	0	0	8	0	1	0	6	3	6	3	2	0	2	0	1	6	0	4	5	2					
