Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																								
Дата голосования: 04.12.2011																																																																								
																																																																								
Наименование Избирательной комиссии:    Красносулинская																																																																								
																																																																								
Сводная таблица результатов выборов																																																																								
																																																																								
		Сумма	УИК №2225	УИК №2236	УИК №2273	УИК №2274	УИК №2275	УИК №2276	УИК №2278	УИК №2279	УИК №2280	УИК №2281	УИК №2282	УИК №2283	УИК №2284	УИК №2285	УИК №2286	УИК №2287	УИК №2288	УИК №2289	УИК №2290	УИК №2291	УИК №2292	УИК №2293	УИК №2294	УИК №2295	УИК №2296	УИК №2297	УИК №2298	УИК №2299	УИК №2300	УИК №2301	УИК №2302	УИК №2303	УИК №2304	УИК №2305	УИК №2306	УИК №2307	УИК №2308	УИК №2309	УИК №2310	УИК №2311	УИК №2312	УИК №2313	УИК №2314	УИК №2315	УИК №2316	УИК №2317	УИК №2318	УИК №2319	УИК №2320	УИК №2321	УИК №2322	УИК №2323	УИК №2324	УИК №2325	УИК №2326	УИК №2327	УИК №2328	УИК №2329	УИК №2330	УИК №2331	УИК №2332	УИК №2333	УИК №2334	УИК №2434	УИК №2537					
1	"Число избирателей, внесенных в список избирателей"	64466	635	1120	1019	789	463	95	2201	1653	1974	1632	996	1102	1074	1074	1473	1886	449	1980	2212	1659	1204	1569	1880	1734	1953	1376	1277	972	1277	1620	399	177	937	1609	669	822	364	1776	715	2486	289	491	631	503	618	182	1615	414	314	1014	409	342	344	323	602	253	1434	421	471	1699	195	919	246	292	143					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	59278	769	1129	1053	802	465	110	1823	1379	1612	1390	816	922	898	899	1292	1926	380	1684	1850	1369	1006	1369	1600	1395	1641	1179	1034	814	1069	1335	395	173	928	1612	683	849	371	1771	713	2480	309	536	632	508	638	179	1573	417	315	1027	403	343	347	331	645	266	1435	436	476	1719	193	921	245	263	136					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	30593	311	467	409	310	158	57	1080	675	735	700	409	413	422	422	544	1352	191	896	971	654	502	768	810	770	886	569	528	428	613	674	217	96	425	627	334	780	203	617	264	2012	141	304	309	249	251	86	667	199	131	667	297	145	153	103	318	124	840	271	244	776	105	548	151	153	62					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	3603	62	139	63	76	37	9	134	47	47	77	53	20	69	34	100	169	32	44	73	42	68	42	117	118	38	39	81	22	67	54	24	0	33	36	69	39	27	96	21	82	53	62	36	44	99	42	76	31	51	120	15	10	36	50	18	22	72	21	26	185	40	70	12	3	9					
6	Число погашенных избирательных бюллетеней	25079	396	523	581	416	270	44	609	657	830	613	354	489	407	443	648	405	157	744	806	673	436	559	670	507	717	571	425	364	389	607	154	77	470	949	280	30	141	1058	428	386	115	170	287	215	288	51	830	187	133	240	91	188	158	178	309	120	523	144	206	758	48	303	82	107	65					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3603	62	139	63	76	37	9	134	47	47	77	53	20	69	34	100	169	32	44	73	42	68	42	117	118	38	39	81	22	67	54	24	0	33	36	69	39	27	96	21	82	53	62	36	44	99	42	76	31	51	120	15	10	36	50	18	22	72	21	26	185	40	70	12	3	9					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	30583	311	467	409	310	158	57	1080	675	735	700	409	413	422	422	544	1352	191	896	968	654	502	768	810	770	886	569	528	428	613	674	217	96	425	627	334	780	203	617	264	2012	140	304	309	249	251	86	664	199	131	667	297	145	153	103	318	124	840	271	244	773	105	548	151	153	62					
9	Число недействительных избирательных бюллетеней	386	0	3	6	3	1	0	28	13	18	9	5	5	8	10	10	7	7	13	16	5	4	11	7	9	20	14	9	2	10	6	21	0	2	9	5	2	0	4	14	4	1	2	3	7	5	0	15	0	1	4	0	1	0	0	4	0	5	5	0	6	2	5	0	0	0					
10	Число действительных избирательных бюллетеней	33800	373	603	466	383	194	66	1186	709	764	768	457	428	483	446	634	1514	216	927	1025	691	566	799	920	879	904	594	600	448	670	722	220	96	456	654	398	817	230	709	271	2090	192	364	342	286	345	128	725	230	181	783	312	154	189	153	332	146	907	287	270	952	143	613	163	156	71					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1447	70	20	20	20	10	10	45	20	35	23	20	20	20	20	35	30	20	45	50	20	20	35	50	30	35	20	20	10	24	35	10	5	20	20	20	25	10	20	20	40	20	30	20	10	20	10	20	20	20	20	5	10	20	20	20	10	20	20	20	25	5	20	20	10	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1031	70	17	16	14	5	1	38	16	35	21	8	17	12	12	35	27	8	41	42	13	14	34	44	23	29	14	13	6	22	31	3	1	9	11	1	25	10	14	1	33	20	27	11	8	6	1	18	5	3	20	2	4	4	3	20	6	20	17	8	21	1	9	1	10	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	515	24	7	3	1	3	3	33	9	9	12	13	9	11	10	9	6	5	10	14	11	11	9	19	16	12	10	8	11	7	23	3	2	5	2	2	2	3	2	7	3	20	6	13	6	11	1	7	1	2	8	1	4	2	1	2	2	6	3	3	8	4	3	1	36	5					
14	Число погашенных неиспользованных открепительных удостоверений	416	0	3	4	6	5	9	7	4	0	2	12	3	8	8	0	3	12	4	8	7	6	1	6	7	6	6	7	4	2	4	7	4	11	9	19	0	0	6	19	7	0	3	9	2	14	9	2	15	17	0	3	6	16	17	0	4	0	3	12	4	4	11	19	0	10					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	26	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	1	0	1	2	0	0	3	3	2	4	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																								
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	4890	57	84	97	76	23	10	198	86	114	147	71	83	90	65	101	194	20	177	151	122	102	144	147	195	180	114	98	86	150	143	33	10	73	104	45	52	34	96	32	184	21	49	61	45	38	0	108	18	16	59	21	21	36	18	66	5	72	14	17	89	11	53	30	26	8					
		14.30%	15.28%	13.86%	20.55%	19.69%	11.79%	15.15%	16.31%	11.91%	14.58%	18.92%	15.37%	19.17%	18.33%	14.25%	15.68%	12.75%	8.97%	18.83%	14.51%	17.53%	17.89%	17.78%	15.86%	21.96%	19.48%	18.75%	16.09%	19.11%	22.06%	19.64%	13.69%	10.42%	15.94%	15.69%	11.17%	6.35%	14.78%	13.46%	11.23%	8.79%	10.88%	13.39%	17.68%	15.36%	10.86%	0.00%	14.59%	7.83%	8.79%	7.50%	6.73%	13.55%	19.05%	11.76%	19.64%	3.42%	7.89%	4.79%	6.30%	9.29%	7.59%	8.58%	18.40%	16.67%	11.27%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	3820	16	60	54	44	33	6	145	95	104	136	62	75	74	63	75	64	39	141	141	121	87	131	109	128	123	102	80	42	81	106	41	22	1	7	48	81	0	82	45	80	3	4	54	44	42	0	93	16	29	68	31	19	24	22	64	16	119	37	33	25	14	76	18	19	6					
		11.17%	4.29%	9.90%	11.44%	11.40%	16.92%	9.09%	11.94%	13.16%	13.30%	17.50%	13.42%	17.32%	15.07%	13.82%	11.65%	4.21%	17.49%	15.00%	13.54%	17.39%	15.26%	16.17%	11.76%	14.41%	13.31%	16.78%	13.14%	9.33%	11.91%	14.56%	17.01%	22.92%	0.22%	1.06%	11.91%	9.89%	0.00%	11.50%	15.79%	3.82%	1.55%	1.09%	15.65%	15.02%	12.00%	0.00%	12.57%	6.96%	15.93%	8.64%	9.94%	12.26%	12.70%	14.38%	19.05%	10.96%	13.05%	12.67%	12.22%	2.61%	9.66%	12.30%	11.04%	12.18%	8.45%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	288	1	3	5	5	4	0	12	8	9	4	5	4	6	0	7	8	3	10	11	6	6	15	9	12	15	5	4	5	7	9	5	3	5	4	0	1	0	2	5	9	0	0	1	6	2	0	7	5	2	1	1	1	0	0	1	2	1	6	1	13	0	2	3	0	1					
		0.84%	0.27%	0.50%	1.06%	1.30%	2.05%	0.00%	0.99%	1.11%	1.15%	0.51%	1.08%	0.92%	1.22%	0.00%	1.09%	0.53%	1.35%	1.06%	1.06%	0.86%	1.05%	1.85%	0.97%	1.35%	1.62%	0.82%	0.66%	1.11%	1.03%	1.24%	2.07%	3.13%	1.09%	0.60%	0.00%	0.12%	0.00%	0.28%	1.75%	0.43%	0.00%	0.00%	0.29%	2.05%	0.57%	0.00%	0.95%	2.17%	1.10%	0.13%	0.32%	0.65%	0.00%	0.00%	0.30%	1.37%	0.11%	2.05%	0.37%	1.36%	0.00%	0.32%	1.84%	0.00%	1.41%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	8107	62	105	114	104	43	12	327	191	209	197	91	116	103	175	170	318	52	224	281	159	147	250	329	213	239	141	162	127	219	185	43	7	74	146	48	100	66	295	72	264	28	81	89	71	94	0	163	80	40	181	70	40	66	23	71	33	206	83	93	253	19	96	22	11	14					
