Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																				
Дата голосования: 18.09.2016																																				
																																				
Наименование Избирательной комиссии:    Чердынская																																				
																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																				
																																				
		Сумма	УИК №4201	УИК №4202	УИК №4203	УИК №4204	УИК №4205	УИК №4206	УИК №4207	УИК №4208	УИК №4209	УИК №4210	УИК №4211	УИК №4212	УИК №4213	УИК №4214	УИК №4215	УИК №4216	УИК №4217	УИК №4218	УИК №4219	УИК №4220	УИК №4221	УИК №4222	УИК №4223	УИК №4224	УИК №4225									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	16460	1196	1204	1183	449	1868	968	883	1171	227	1068	374	210	1253	226	119	111	333	588	1007	467	262	153	779	183	178									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	15300	1100	1120	1100	420	1760	890	840	1090	210	1000	350	200	1160	210	110	100	310	540	930	440	240	140	700	170	170									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	152	0	0	0	0	50	10	6	0	0	8	24	0	0	0	0	0	0	22	21	0	10	0	0	0	1									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4254	348	427	382	139	474	194	222	209	75	136	66	44	483	89	26	22	76	163	160	114	46	40	201	43	75									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	487	15	9	17	2	12	17	10	21	12	54	4	19	15	7	24	3	2	36	28	1	62	12	98	5	2									
6	Число погашенных избирательных бюллетеней	10407	737	684	701	279	1224	669	602	860	123	802	256	137	662	114	60	75	232	319	721	325	122	88	401	122	92									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	639	15	9	17	2	62	27	16	21	12	62	28	19	15	7	24	3	2	58	49	1	72	12	98	5	3									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4254	348	427	382	139	474	194	222	209	75	136	66	44	483	89	26	22	76	163	160	114	46	40	201	43	75									
9	Число недействительных избирательных бюллетеней	233	10	17	16	6	31	10	16	10	7	10	1	4	32	1	0	0	8	22	14	3	3	2	5	0	5									
10	Число действительных избирательных бюллетеней	4660	353	419	383	135	505	211	222	220	80	188	93	59	466	95	50	25	70	199	195	112	115	50	294	48	73									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	560	40	40	40	10	60	30	30	40	10	40	10	10	40	10	5	5	10	20	30	20	10	10	20	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	45	3	5	5	0	5	5	4	5	0	1	2	2	4	1	0	0	0	0	1	0	1	0	1	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	27	1	2	3	0	3	1	1	1	2	0	3	0	2	1	0	0	0	0	1	1	1	0	3	0	1									
