Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																										
Дата голосования: 18.09.2016																																										
																																										
Наименование Избирательной комиссии:    Осинская																																										
																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																										
																																										
		Сумма	УИК №2401	УИК №2402	УИК №2403	УИК №2404	УИК №2405	УИК №2406	УИК №2407	УИК №2408	УИК №2409	УИК №2410	УИК №2411	УИК №2412	УИК №2413	УИК №2414	УИК №2415	УИК №2416	УИК №2417	УИК №2418	УИК №2419	УИК №2420	УИК №2421	УИК №2422	УИК №2423	УИК №2424	УИК №2425	УИК №2426	УИК №2427	УИК №2428	УИК №2429	УИК №2430	УИК №2431									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	23746	1162	1203	1180	1059	1141	1131	1223	1218	1244	1299	1032	428	1086	976	541	517	716	712	193	486	298	497	242	340	333	296	278	508	900	914	593									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	21100	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	400	1000	900	500	500	700	700	150	400	300	400	200	300	300	300	250	500	900	900	500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	10688	633	674	593	466	608	505	626	566	468	723	440	199	481	434	237	199	252	282	67	163	107	196	100	120	147	140	84	177	330	396	275									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	562	4	20	12	8	13	9	24	24	15	6	8	0	8	2	5	5	33	38	9	25	12	32	14	18	13	11	38	36	62	42	16									
6	Число погашенных избирательных бюллетеней	9850	363	306	395	526	379	486	350	410	517	271	552	201	511	464	258	296	415	380	74	212	181	172	86	162	140	149	128	287	508	462	209									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	562	4	20	12	8	13	9	24	24	15	6	8	0	8	2	5	5	33	38	9	25	12	32	14	18	13	11	38	36	62	42	16									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	10675	633	665	593	465	607	505	626	566	468	723	439	199	481	433	237	199	252	282	67	163	107	196	100	120	147	140	84	177	330	396	275									
9	Число недействительных избирательных бюллетеней	379	27	35	24	19	27	10	14	17	15	8	18	4	20	7	10	3	6	9	3	12	8	15	4	2	3	5	0	14	15	17	8									
10	Число действительных избирательных бюллетеней	10858	610	650	581	454	593	504	636	573	468	721	429	195	469	428	232	201	279	311	73	176	111	213	110	136	157	146	122	199	377	421	283									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	490	20	20	20	20	20	20	20	20	20	20	20	10	20	20	15	15	15	15	10	10	10	10	10	10	10	10	10	15	20	20	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	101	8	4	11	5	9	1	5	1	3	3	3	3	3	5	3	2	7	3	0	0	0	1	0	2	0	0	0	5	6	7	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	65	5	4	5	1	2	4	1	0	0	3	1	5	1	2	0	1	4	2	0	2	0	4	4	3	3	0	0	2	1	4	1									
14	Число погашенных неиспользованных открепительных удостоверений	389	12	16	9	15	11	19	15	19	17	17	17	7	17	15	12	13	8	12	10	10	10	9	10	8	10	10	10	10	14	13	14									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	27	2	4	4	3	2	0	0	0	1	2	0	1	2	1	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																										
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	98	6	10	5	3	7	2	5	3	3	8	0	3	3	1	1	1	5	1	0	2	2	0	4	2	3	0	4	2	4	3	5									
		0.87%	0.94%	1.46%	0.83%	0.63%	1.13%	0.39%	0.77%	0.51%	0.62%	1.10%	0.00%	1.51%	0.61%	0.23%	0.41%	0.49%	1.75%	0.31%	0.00%	1.06%	1.68%	0.00%	3.51%	1.45%	1.88%	0.00%	3.28%	0.94%	1.02%	0.68%	1.72%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	335	13	19	14	20	16	14	21	21	16	16	20	4	15	16	11	10	7	18	1	7	2	3	2	4	3	3	2	6	10	12	9									
		2.98%	2.04%	2.77%	2.31%	4.23%	2.58%	2.72%	3.23%	3.56%	3.31%	2.19%	4.47%	2.01%	3.07%	3.68%	4.55%	4.90%	2.46%	5.63%	1.32%	3.72%	1.68%	1.32%	1.75%	2.90%	1.88%	1.99%	1.64%	2.82%	2.55%	2.74%	3.09%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	212	19	12	9	11	6	8	19	12	5	13	8	4	4	8	6	2	3	4	2	3	3	1	2	2	3	6	3	5	9	10	10									
