Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																												
Дата голосования: 04.12.2011																																																												
																																																												
Наименование Избирательной комиссии:    Соль-Илецкая																																																												
																																																												
Сводная таблица результатов выборов																																																												
																																																												
		Сумма	УИК №1535	УИК №1536	УИК №1537	УИК №1538	УИК №1539	УИК №1540	УИК №1541	УИК №1542	УИК №1543	УИК №1544	УИК №1545	УИК №1546	УИК №1547	УИК №1548	УИК №1549	УИК №1550	УИК №1551	УИК №1552	УИК №1553	УИК №1554	УИК №1555	УИК №1556	УИК №1557	УИК №1558	УИК №1559	УИК №1560	УИК №1561	УИК №1562	УИК №1563	УИК №1564	УИК №1565	УИК №1566	УИК №1567	УИК №1568	УИК №1569	УИК №1570	УИК №1571	УИК №1572	УИК №1573	УИК №1574	УИК №1575	УИК №1576	УИК №1577	УИК №1578	УИК №1579	УИК №1580	УИК №1581	УИК №1582	УИК №1583	УИК №1584	УИК №1749	УИК №1853	УИК №1854					
1	"Число избирателей, внесенных в список избирателей"	42737	575	349	1265	830	1265	195	285	501	601	1064	217	735	782	490	330	374	1213	467	832	346	312	942	330	665	825	893	548	681	722	265	705	725	122	317	1645	1549	1471	1007	1761	1821	1807	1387	1378	2020	415	1046	1091	1237	1366	679	105	120	64					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	42800	580	340	1290	850	1300	200	285	500	620	1100	230	770	780	480	330	360	1250	480	850	355	320	950	340	680	830	920	570	690	720	270	710	740	130	320	1580	1525	1450	990	1750	1800	1800	1350	1360	2000	430	1040	1060	1210	1340	630	150	125	70					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	20338	343	185	549	556	616	112	159	297	350	667	148	361	388	212	170	242	581	302	433	219	190	446	130	338	529	466	215	301	455	151	383	337	64	209	597	489	612	347	785	778	734	600	641	970	222	398	415	503	633	351	26	75	58					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1499	17	31	100	21	49	10	15	8	10	66	18	22	102	10	5	14	68	22	84	14	17	95	8	34	25	27	37	44	6	28	42	55	6	8	17	18	30	25	28	21	53	12	20	12	9	8	14	30	11	1	68	4	0					
6	Число погашенных избирательных бюллетеней	20963	220	124	641	273	635	78	111	195	260	367	64	387	290	258	155	104	601	156	333	122	113	409	202	308	276	427	318	345	259	91	285	348	60	103	966	1018	808	618	937	1001	1013	738	699	1018	199	634	631	677	696	278	56	46	12					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1499	17	31	100	21	49	10	15	8	10	66	18	22	102	10	5	14	68	22	84	14	17	95	8	34	25	27	37	44	6	28	42	55	6	8	17	18	30	25	28	21	53	12	20	12	9	8	14	30	11	1	68	4	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	20338	343	185	549	556	616	112	159	297	350	667	148	361	388	212	170	242	581	302	433	219	190	446	130	338	529	466	215	301	455	151	383	337	64	209	597	489	612	347	785	778	734	600	641	970	222	398	415	503	633	351	26	75	58					
9	Число недействительных избирательных бюллетеней	264	4	8	10	0	4	1	2	2	5	5	1	2	8	5	4	5	4	6	6	2	4	5	0	3	5	7	1	5	8	5	5	4	2	4	5	10	8	5	7	11	10	10	11	9	9	9	2	6	5	4	0	1	0					
10	Число действительных избирательных бюллетеней	21573	356	208	639	577	661	121	172	303	355	728	165	381	482	217	171	251	645	318	511	231	203	536	138	369	549	486	251	340	453	174	420	388	68	213	609	497	634	367	806	788	777	602	650	973	222	397	427	527	639	348	94	78	58					
