Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																									
Дата голосования: 02.12.2007																																									
																																									
Наименование Избирательной комиссии:    Киренская																																									
																																									
Сводная таблица результатов выборов																																									
																																									
		Сумма	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817					
1	"Число избирателей, внесенных в списки избирателей"	17309	67	28	752	325	551	1145	1638	1474	1166	950	403	157	1554	1763	119	537	112	469	77	1276	943	136	48	252	88	63	92	433	240	55	30	66	135	165					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	17000	59	34	745	357	556	1141	1643	1454	1180	903	405	156	1560	1633	100	520	94	450	79	1187	900	160	60	202	110	70	92	400	300	59	32	69	130	160					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	8812	59	26	432	220	239	509	758	613	468	425	204	80	814	680	74	262	74	330	65	722	530	88	39	168	85	53	67	183	214	53	19	59	106	94					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	616	0	0	81	18	12	24	34	33	31	44	16	11	25	26	7	35	6	35	0	55	37	4	0	6	3	2	1	23	22	0	0	0	6	19					
6	Число погашенных избирательных бюллетеней	7572	0	8	232	119	305	608	851	808	681	434	185	65	721	927	19	223	14	85	14	410	333	68	21	28	22	15	24	194	64	6	13	10	18	47					
7	Число избирательных бюллетеней в переносных ящиках для голосования	616	0	0	81	18	12	24	34	33	31	44	16	11	25	26	7	35	6	35	0	55	37	4	0	6	3	2	1	23	22	0	0	0	6	19					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	8807	59	26	432	220	239	509	758	613	468	424	204	80	814	676	74	262	74	330	65	722	530	88	39	168	85	53	67	183	214	53	19	59	106	94					
9	Число недействительных избирательных бюллетеней	91	0	0	2	3	6	5	7	4	8	4	0	1	17	2	0	1	0	5	0	8	6	0	2	3	1	0	0	3	2	0	0	0	1	0					
10	Число действительных избирательных бюллетеней	9332	59	26	511	235	245	528	785	642	491	464	220	90	822	700	81	296	80	360	65	769	561	92	37	171	87	55	68	203	234	53	19	59	111	113					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	470	10	2	15	15	15	45	23	10	11	10	13	5	30	15	2	10	5	15	4	30	30	10	5	20	10	5	5	20	20	10	10	5	15	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	105	0	0	4	9	3	8	15	5	6	6	0	3	10	5	0	0	1	5	3	4	3	2	1	0	1	0	0	8	0	1	0	2	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	73	2	1	3	2	0	7	4	5	1	7	0	0	7	10	2	0	3	2	1	0	1	0	1	3	1	1	0	2	1	3	2	1	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	365	10	2	11	6	12	37	8	5	5	4	13	2	20	10	2	10	4	10	1	26	27	8	4	20	9	5	5	12	20	9	10	3	15	20					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	5	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																									
18	1.Политическая партия «Аграрная партия России»	302	0	1	24	9	12	12	31	15	17	9	3	6	30	20	2	9	3	11	0	22	13	1	0	11	2	6	0	8	13	2	0	7	0	3					
		3.20%	0.00%	3.85%	4.68%	3.78%	4.78%	2.25%	3.91%	2.32%	3.41%	1.92%	1.36%	6.59%	3.58%	2.85%	2.47%	3.03%	3.75%	3.01%	0.00%	2.83%	2.29%	1.09%	0.00%	6.32%	2.27%	10.91%	0.00%	3.88%	5.51%	3.77%	0.00%	11.86%	0.00%	2.65%					
19	2.Всероссийская политическая партия «Гражданская Сила»	33	0	0	1	1	0	0	7	4	2	1	0	0	4	0	1	1	0	0	0	3	3	1	0	2	0	0	0	0	0	0	0	1	0	1					
		0.35%	0.00%	0.00%	0.19%	0.42%	0.00%	0.00%	0.88%	0.62%	0.40%	0.21%	0.00%	0.00%	0.48%	0.00%	1.23%	0.34%	0.00%	0.00%	0.00%	0.39%	0.53%	1.09%	0.00%	1.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.69%	0.00%	0.88%					
20	3.Политическая партия «Демократическая партия России»	11	0	0	0	0	0	1	1	0	0	1	0	1	3	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	0.13%	0.00%	0.00%	0.21%	0.00%	1.10%	0.36%	0.14%	1.23%	0.00%	0.00%	0.27%	0.00%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	715	0	0	49	10	16	41	71	64	40	32	18	5	106	52	8	15	4	19	1	54	45	8	2	6	3	1	3	12	18	3	3	2	0	4					
		7.59%	0.00%	0.00%	9.55%	4.20%	6.37%	7.69%	8.96%	9.91%	8.02%	6.84%	8.18%	5.49%	12.63%	7.41%	9.88%	5.05%	5.00%	5.21%	1.54%	6.95%	7.94%	8.70%	5.13%	3.45%	3.41%	1.82%	4.41%	5.83%	7.63%	5.66%	15.79%	3.39%	0.00%	3.54%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	72	2	0	4	2	3	8	3	5	3	4	0	0	5	9	0	3	1	2	0	8	2	1	0	0	0	0	0	2	2	0	0	1	2	0					
		0.76%	3.39%	0.00%	0.78%	0.84%	1.20%	1.50%	0.38%	0.77%	0.60%	0.85%	0.00%	0.00%	0.60%	1.28%	0.00%	1.01%	1.25%	0.55%	0.00%	1.03%	0.35%	1.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.97%	0.85%	0.00%	0.00%	1.69%	1.79%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	26	0	0	1	0	1	2	4	3	0	0	0	1	1	1	0	0	0	1	0	3	3	1	0	0	1	0	0	1	1	1	0	0	0	0					
		0.28%	0.00%	0.00%	0.19%	0.00%	0.40%	0.38%	0.51%	0.46%	0.00%	0.00%	0.00%	1.10%	0.12%	0.14%	0.00%	0.00%	0.00%	0.27%	0.00%	0.39%	0.53%	1.09%	0.00%	0.00%	1.14%	0.00%	0.00%	0.49%	0.42%	1.89%	0.00%	0.00%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	953	6	0	34	13	13	47	80	46	41	61	23	11	71	84	11	24	13	36	5	113	77	15	2	14	10	5	4	24	24	8	0	5	19	14					
		10.11%	10.17%	0.00%	6.63%	5.46%	5.18%	8.82%	10.10%	7.12%	8.22%	13.03%	10.45%	12.09%	8.46%	11.97%	13.58%	8.08%	16.25%	9.86%	7.69%	14.54%	13.58%	16.30%	5.13%	8.05%	11.36%	9.09%	5.88%	11.65%	10.17%	15.09%	0.00%	8.47%	16.96%	12.39%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	797	2	3	27	6	13	57	73	59	45	46	15	3	112	50	0	16	4	30	0	77	57	11	1	13	2	0	5	22	28	2	2	0	12	4					
		8.46%	3.39%	11.54%	5.26%	2.52%	5.18%	10.69%	9.22%	9.13%	9.02%	9.83%	6.82%	3.30%	13.35%	7.12%	0.00%	5.39%	5.00%	8.22%	0.00%	9.91%	10.05%	11.96%	2.56%	7.47%	2.27%	0.00%	7.35%	10.68%	11.86%	3.77%	10.53%	0.00%	10.71%	3.54%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	58	0	0	3	1	1	3	5	8	3	9	1	0	4	1	0	0	0	1	0	8	4	0	1	1	0	0	0	2	0	1	1	0	0	0					
		0.62%	0.00%	0.00%	0.58%	0.42%	0.40%	0.56%	0.63%	1.24%	0.60%	1.92%	0.45%	0.00%	0.48%	0.14%	0.00%	0.00%	0.00%	0.27%	0.00%	1.03%	0.71%	0.00%	2.56%	0.57%	0.00%	0.00%	0.00%	0.97%	0.00%	1.89%	5.26%	0.00%	0.00%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	6282	48	22	366	193	186	351	493	432	336	295	158	62	477	475	57	227	55	257	59	473	350	52	31	122	69	43	56	132	148	36	13	43	78	87					
		66.67%	81.36%	84.62%	71.35%	81.09%	74.10%	65.85%	62.25%	66.87%	67.33%	63.03%	71.82%	68.13%	56.85%	67.66%	70.37%	76.43%	68.75%	70.41%	90.77%	60.88%	61.73%	56.52%	79.49%	70.11%	78.41%	78.18%	82.35%	64.08%	62.71%	67.92%	68.42%	72.88%	69.64%	76.99%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	83	1	0	2	0	0	6	17	6	4	6	2	1	9	7	1	1	0	2	0	7	7	2	0	2	0	0	0	0	0	0	0	0	0	0					
		0.88%	1.69%	0.00%	0.39%	0.00%	0.00%	1.13%	2.15%	0.93%	0.80%	1.28%	0.91%	1.10%	1.07%	0.99%	1.23%	0.34%	0.00%	0.55%	0.00%	0.90%	1.23%	2.17%	0.00%	1.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
