Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																					
Дата голосования: 18.09.2016																																																																					
																																																																					
Наименование Избирательной комиссии:    Мелеузовская																																																																					
																																																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																																																					
																																																																					
		Сумма	УИК №2547	УИК №2548	УИК №2549	УИК №2550	УИК №2551	УИК №2552	УИК №2553	УИК №2554	УИК №2555	УИК №2556	УИК №2557	УИК №2558	УИК №2559	УИК №2560	УИК №2561	УИК №2562	УИК №2563	УИК №2564	УИК №2565	УИК №2566	УИК №2567	УИК №2568	УИК №2569	УИК №2570	УИК №2571	УИК №2572	УИК №2573	УИК №2574	УИК №2575	УИК №2576	УИК №2577	УИК №2578	УИК №2579	УИК №2580	УИК №2581	УИК №2582	УИК №2583	УИК №2584	УИК №2585	УИК №2586	УИК №2587	УИК №2588	УИК №2589	УИК №2590	УИК №2591	УИК №2592	УИК №2593	УИК №2594	УИК №2595	УИК №2596	УИК №2597	УИК №2598	УИК №2599	УИК №2600	УИК №2601	УИК №2602	УИК №3472	УИК №3473									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	63718	2089	2232	1085	2098	2041	630	1765	2185	1083	2351	1955	2219	2041	1939	2108	1145	1915	1111	1212	2249	2301	1093	2425	1224	577	409	463	428	150	710	497	420	716	374	957	311	290	284	129	1627	1438	163	969	1306	667	1047	555	648	811	592	271	325	464	255	248	1045	1054	1022									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	65000	2050	2250	1100	2050	2050	750	1800	2150	1050	2360	2000	2100	2050	1950	2250	1100	2000	1100	1250	2250	2350	1100	2200	1250	600	450	500	480	150	700	500	460	750	370	1000	310	310	300	140	1750	1520	160	1050	1400	750	1100	670	670	850	680	300	350	450	250	270	1150	1000	1050									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	46874	1548	1826	857	1437	1656	471	1338	1759	920	1820	1001	1535	1688	1618	1758	894	1409	866	1012	1827	1859	401	754	1007	447	164	361	376	84	559	325	279	272	134	803	262	237	113	72	1094	1308	95	718	935	497	796	437	485	646	461	240	253	378	196	167	748	854	817									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2836	53	49	33	32	18	43	53	12	10	31	18	18	13	50	34	55	67	26	12	13	46	11	30	61	48	96	64	13	10	51	112	91	26	26	55	15	10	20	11	13	0	21	157	226	143	182	31	107	99	51	7	33	40	28	50	182	19	11									
6	Число погашенных избирательных бюллетеней	15290	449	375	210	581	376	236	409	379	120	509	981	547	349	282	458	151	524	208	226	410	445	688	1416	182	105	190	75	91	56	90	63	90	452	210	142	33	63	167	57	643	212	44	175	239	110	122	202	78	105	168	53	64	32	26	53	220	127	222									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2836	53	49	33	32	18	43	53	12	10	31	18	18	13	50	34	55	67	26	12	13	46	11	30	61	48	96	64	13	10	51	112	91	26	26	55	15	10	20	11	13	0	21	157	226	143	182	31	107	99	51	7	33	40	28	50	182	19	11									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	46874	1548	1826	857	1437	1656	471	1338	1759	920	1820	1001	1535	1688	1618	1758	894	1409	866	1012	1827	1859	401	754	1007	447	164	361	376	84	559	325	279	272	134	803	262	237	113	72	1094	1308	95	718	935	497	796	437	485	646	461	240	253	378	196	167	748	854	817									
9	Число недействительных избирательных бюллетеней	341	9	5	0	2	10	0	0	23	8	5	9	3	0	30	83	6	0	5	4	0	5	1	22	0	0	7	4	0	2	0	5	0	7	13	4	0	2	2	7	3	17	4	8	0	5	0	12	0	0	5	0	0	1	0	0	0	3	0									
10	Число действительных избирательных бюллетеней	49369	1592	1870	890	1467	1664	514	1391	1748	922	1846	1010	1550	1701	1638	1709	943	1476	887	1020	1840	1900	411	762	1068	495	253	421	389	92	610	432	370	291	147	854	277	245	131	76	1104	1291	112	867	1161	635	978	456	592	745	507	247	286	417	224	217	930	870	828									
