Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																				
Дата голосования: 04.12.2011																																																																				
																																																																				
Наименование Избирательной комиссии:    Киреевская																																																																				
																																																																				
Сводная таблица результатов выборов																																																																				
																																																																				
		Сумма	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467					
1	"Число избирателей, внесенных в список избирателей"	60370	1677	372	185	645	1425	1549	1318	1363	1433	1247	1342	1398	1256	1220	1440	1059	280	1547	1170	1874	1882	1623	1643	492	1197	1231	1142	1436	1545	1091	2474	2185	308	1439	1343	986	1275	382	388	360	225	220	537	241	207	306	672	713	703	472	575	389	283	484	271	339	618	641	1350	1330	1572					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	59330	1750	450	260	710	1380	1560	1340	1390	1460	1140	1270	1230	1100	1120	1470	1080	250	1440	1230	1880	1710	1730	1660	550	1120	1160	1090	1310	1440	1140	2010	1800	320	1480	1420	1040	1330	410	390	370	240	220	580	270	240	350	700	710	720	500	620	440	310	500	270	370	650	660	1240	1210	1540					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	34856	634	235	122	281	745	871	845	892	802	788	682	741	676	741	574	567	237	934	711	932	1058	1126	1143	402	525	495	551	611	858	680	1077	1375	155	1140	824	638	869	176	292	235	96	130	224	165	127	196	299	472	512	295	476	304	190	245	101	189	383	397	769	766	1280					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	5895	48	26	24	88	117	59	47	84	91	37	100	119	71	30	196	47	0	174	128	174	130	46	102	23	63	55	139	151	163	129	138	120	16	56	85	66	221	191	65	57	110	14	275	35	50	65	228	152	139	75	59	57	30	145	165	87	148	103	112	70	100					
6	Число погашенных избирательных бюллетеней	18579	1068	189	114	341	518	630	448	414	567	315	488	370	353	349	700	466	13	332	391	774	522	558	415	125	532	610	400	548	419	331	795	305	149	284	511	336	240	43	33	78	34	76	81	70	63	89	173	86	69	130	85	79	90	110	4	94	119	160	359	374	160					
7	Число избирательных бюллетеней в переносных ящиках для голосования	5895	48	26	24	88	117	59	47	84	91	37	100	119	71	30	196	47	0	174	128	174	130	46	102	23	63	55	139	151	163	129	138	120	16	56	85	66	221	191	65	57	110	14	275	35	50	65	228	152	139	75	59	57	30	145	165	87	148	103	112	70	100					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	34844	634	235	122	281	745	871	844	892	802	788	682	735	676	741	574	567	237	934	711	932	1058	1126	1143	402	525	495	551	611	858	679	1077	1375	155	1140	820	638	869	176	292	235	96	130	224	165	127	196	299	472	512	295	476	304	190	245	101	189	383	397	769	766	1280					
9	Число недействительных избирательных бюллетеней	760	5	5	4	3	22	16	13	10	9	14	8	20	6	6	110	6	3	5	9	38	7	28	5	4	2	8	11	10	50	21	29	20	1	79	6	5	12	1	28	14	0	2	2	5	1	2	6	4	3	6	35	1	9	0	0	1	0	5	6	8	11					
10	Число действительных избирательных бюллетеней	39979	677	256	142	366	840	914	878	966	884	811	774	834	741	765	660	608	234	1103	830	1068	1181	1144	1240	421	586	542	679	752	971	787	1186	1475	170	1117	899	699	1078	366	329	278	206	142	497	195	176	259	521	620	648	364	500	360	211	390	266	275	531	495	875	828	1369					
