Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																							
Дата голосования: 07.12.2003 0:00:00																																																																							
																																																																							
"Наименование Избирательной комиссии:    Тюмень, Центральная"																																																																							
																																																																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																							
																																																																							
		Сумма	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966					
1	"Число избирателей, внесенных в списки"	110782	2674	1519	2185	2453	2586	2452	2070	1498	877	877	817	1847	2299	1560	1018	1250	816	1332	2215	2131	2076	2251	1933	2307	1174	991	994	1052	1607	1990	2197	1820	1823	2194	2030	1330	1640	2260	1399	1944	2041	2286	2329	2015	1765	1520	2078	1925	1531	1694	1958	1856	1696	2091	1009	1845	2193	1631	2018	1521	1263	1645	1238	146					
2	"Число бюллетеней, полученных участковыми комиссиями"	109703	2664	1509	2176	2445	2576	2433	2021	1486	868	866	801	1838	2254	1581	946	1226	810	1320	2235	2089	2064	2247	1918	2273	1174	975	987	1038	1602	1954	2196	1819	1810	2181	2028	1329	1623	2288	1386	1928	2032	2241	2313	2004	1751	1527	2070	1908	1489	1660	1916	1815	1624	2060	987	1810	2183	1616	2006	1492	1253	1603	1179	200					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	51829	1180	580	1040	1214	960	1332	693	541	464	402	377	753	893	456	379	376	316	499	1172	1019	992	1069	995	1107	341	345	355	298	346	967	1118	843	871	1061	890	463	872	1193	597	939	807	1020	1254	1063	908	769	1111	1000	836	941	915	920	823	1017	593	1112	1173	975	1015	863	774	981	649	2					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1085	20	13	8	9	14	7	13	11	23	14	17	11	20	8	14	24	21	11	10	9	16	9	12	14	14	11	8	18	12	7	19	13	14	20	14	7	15	12	14	9	11	10	14	33	11	11	27	16	6	18	13	17	10	19	21	20	30	13	31	11	32	19	13	144					
6	Число погашенных бюллетеней	56791	1464	916	1128	1222	1602	1094	1315	934	381	450	407	1074	1341	1117	553	826	473	810	1053	1061	1056	1169	911	1152	819	619	624	722	1244	980	1059	963	925	1100	1124	859	736	1083	775	980	1214	1211	1045	908	832	747	932	892	647	700	988	878	791	1024	373	678	980	628	960	618	448	605	517	54					
7	Число бюллетеней в переносных ящиках для голосования	1084	20	13	7	9	14	7	13	11	23	14	17	11	20	8	14	24	21	11	10	9	16	9	12	14	14	11	8	18	12	7	19	13	14	20	14	7	15	12	14	9	11	10	14	33	11	11	27	16	6	18	13	17	10	19	21	20	30	13	31	11	32	19	13	144					
8	Число бюллетеней в стационарных ящиках для голосования	51733	1179	580	1038	1214	960	1332	693	540	464	402	377	753	893	456	379	376	316	499	1169	1019	990	1069	995	1106	341	345	355	298	346	967	1118	843	871	1061	888	463	870	1193	544	939	807	1020	1254	1063	907	769	1109	998	835	941	915	905	822	1017	593	1111	1173	972	1015	863	773	980	648	2					
9	Число недействительных бюллетеней	704	16	14	15	10	20	16	21	5	16	31	20	12	17	19	8	18	12	12	14	14	11	10	13	14	17	14	18	7	8	5	7	13	13	14	6	14	4	17	4	22	0	6	9	6	14	11	7	18	1	13	7	0	15	2	2	10	9	3	3	9	6	5	7	0					
10	Число действительных бюллетеней	52113	1183	579	1030	1213	954	1323	685	546	471	385	374	752	896	445	385	382	325	498	1165	1014	995	1068	994	1106	338	342	345	309	350	969	1130	843	872	1067	896	456	881	1188	554	926	818	1024	1259	1090	904	769	1129	996	840	946	921	922	817	1034	612	1121	1194	982	1043	865	799	994	654	146					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1600	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	50	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	368	13	1	9	6	10	1	2	0	3	0	0	3	3	1	2	2	3	0	12	3	7	6	10	6	0	2	0	0	2	4	13	5	14	3	13	6	5	7	2	8	1	4	8	8	4	10	6	4	7	1	9	8	4	10	10	6	12	8	11	7	6	3	34	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	284	3	2	7	0	3	2	2	2	3	1	6	1	4	0	1	0	1	4	0	6	0	0	12	4	2	1	3	4	3	5	5	7	12	2	5	2	1	4	2	6	1	4	5	10	13	5	4	3	5	1	9	6	6	3	21	1	4	9	8	8	7	7	15	1					
14	Число погашенных открепительных удостоверений	1232	12	24	16	19	15	24	23	25	22	25	25	22	22	24	23	23	22	25	13	22	18	19	15	19	25	23	25	25	23	21	12	20	11	22	12	19	20	18	23	17	24	21	17	17	21	15	19	21	18	24	16	17	21	15	15	19	13	17	14	18	19	22	16	0					
15	Число открепительных удостоверений выданных ТИК	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0					
																																																																							
18	"1. ""ЕДИНЕНИЕ"""	620	22	8	23	11	13	24	5	7	4	10	5	15	14	6	5	7	8	9	13	15	6	9	10	11	4	6	4	11	4	8	8	7	15	9	6	11	12	11	11	8	11	5	8	9	7	10	8	10	12	10	15	10	11	4	5	9	11	9	15	8	10	13	12	3					
		1.17%	1.83%	1.34%	2.20%	0.89%	1.33%	1.79%	0.70%	1.27%	0.82%	2.40%	1.26%	1.96%	1.53%	1.29%	1.27%	1.75%	2.37%	1.76%	1.10%	1.45%	0.59%	0.83%	0.99%	0.98%	1.12%	1.68%	1.10%	3.48%	1.11%	0.82%	0.70%	0.81%	1.69%	0.83%	0.66%	2.34%	1.35%	0.91%	1.97%	0.84%	1.34%	0.48%	0.63%	0.82%	0.76%	1.28%	0.70%	0.98%	1.42%	1.04%	1.61%	1.08%	1.32%	0.38%	0.81%	0.79%	0.91%	0.91%	1.43%	0.91%	1.24%	1.30%	1.81%	2.05%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	2376	57	17	19	51	32	48	23	14	17	9	3	12	22	5	19	9	4	10	34	41	24	39	33	45	6	10	4	4	8	29	35	31	56	43	47	17	44	45	19	45	33	37	51	65	40	33	73	44	49	61	68	58	53	88	40	86	82	82	48	59	67	62	56	11					
		4.49%	4.75%	2.86%	1.81%	4.17%	3.28%	3.58%	3.25%	2.54%	3.49%	2.16%	0.76%	1.57%	2.40%	1.07%	4.83%	2.25%	1.18%	1.96%	2.88%	3.98%	2.38%	3.61%	3.27%	4.01%	1.69%	2.80%	1.10%	1.26%	2.23%	2.97%	3.07%	3.62%	6.32%	3.97%	5.21%	3.61%	4.97%	3.73%	3.40%	4.74%	4.03%	3.59%	4.02%	5.93%	4.35%	4.23%	6.42%	4.33%	5.82%	6.36%	7.32%	6.29%	6.37%	8.49%	6.51%	7.60%	6.81%	8.32%	4.58%	6.75%	8.32%	6.20%	8.47%	7.53%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1068	20	10	29	22	12	27	9	13	12	10	4	24	26	6	16	9	11	10	25	37	20	17	23	11	5	7	6	3	5	27	29	24	10	29	20	6	23	23	16	11	21	18	33	26	19	19	28	19	10	18	14	18	13	8	15	14	29	20	21	6	18	12	18	4					
		2.02%	1.66%	1.68%	2.77%	1.79%	1.23%	2.01%	1.27%	2.35%	2.46%	2.40%	1.01%	3.14%	2.84%	1.29%	4.07%	2.25%	3.26%	1.96%	2.12%	3.59%	1.98%	1.57%	2.28%	0.98%	1.40%	1.96%	1.65%	0.94%	1.39%	2.77%	2.55%	2.80%	1.12%	2.68%	2.21%	1.27%	2.59%	1.90%	2.86%	1.16%	2.56%	1.74%	2.60%	2.37%	2.06%	2.43%	2.46%	1.87%	1.18%	1.87%	1.50%	1.95%	1.56%	0.77%	2.44%	1.23%	2.41%	2.03%	2.00%	0.68%	2.23%	1.20%	2.72%	2.73%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	2690	39	24	23	35	39	54	24	13	14	7	6	31	24	18	15	9	6	17	52	57	47	47	72	65	11	10	10	10	12	44	46	32	68	47	58	16	43	64	29	43	23	68	82	75	65	53	77	62	64	66	49	49	49	79	41	59	66	69	56	44	72	92	45	4					
		5.09%	3.25%	4.04%	2.20%	2.86%	4.00%	4.03%	3.39%	2.35%	2.87%	1.68%	1.52%	4.05%	2.62%	3.87%	3.81%	2.25%	1.78%	3.33%	4.41%	5.54%	4.67%	4.35%	7.14%	5.80%	3.09%	2.80%	2.75%	3.16%	3.35%	4.51%	4.04%	3.73%	7.68%	4.34%	6.43%	3.40%	4.85%	5.31%	5.19%	4.53%	2.81%	6.60%	6.46%	6.84%	7.08%	6.79%	6.77%	6.11%	7.60%	6.88%	5.28%	5.31%	5.88%	7.62%	6.67%	5.21%	5.48%	7.00%	5.35%	5.03%	8.94%	9.20%	6.80%	2.73%					
22	"5. ""За Русь Святую"""	170	5	0	3	5	5	8	1	2	2	1	0	2	0	1	2	1	2	3	2	1	2	2	3	7	4	1	3	1	2	3	12	4	1	3	8	1	0	4	4	3	1	1	3	1	3	5	2	2	3	5	2	2	0	1	0	5	2	8	3	2	4	0	1	0					
		0.32%	0.41%	0.0%	0.28%	0.40%	0.51%	0.59%	0.14%	0.36%	0.41%	0.24%	0.0%	0.26%	0.0%	0.21%	0.50%	0.25%	0.59%	0.58%	0.16%	0.09%	0.19%	0.18%	0.29%	0.62%	1.12%	0.28%	0.82%	0.31%	0.55%	0.30%	1.05%	0.46%	0.11%	0.27%	0.88%	0.21%	0.0%	0.33%	0.71%	0.31%	0.12%	0.09%	0.23%	0.09%	0.32%	0.64%	0.17%	0.19%	0.35%	0.52%	0.21%	0.21%	0.0%	0.09%	0.0%	0.44%	0.16%	0.81%	0.28%	0.22%	0.49%	0.0%	0.15%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	134	5	2	3	2	0	3	4	1	2	1	0	1	4	1	1	0	0	0	4	1	0	4	4	1	0	0	1	1	2	1	3	2	3	4	2	4	1	1	2	5	2	4	1	4	4	3	2	4	3	5	5	3	1	4	1	2	2	0	1	3	1	2	1	0					
		0.25%	0.41%	0.33%	0.28%	0.16%	0.0%	0.22%	0.56%	0.18%	0.41%	0.24%	0.0%	0.13%	0.43%	0.21%	0.25%	0.0%	0.0%	0.0%	0.33%	0.09%	0.0%	0.37%	0.39%	0.08%	0.0%	0.0%	0.27%	0.31%	0.55%	0.10%	0.26%	0.23%	0.33%	0.37%	0.22%	0.85%	0.11%	0.08%	0.35%	0.52%	0.24%	0.38%	0.07%	0.36%	0.43%	0.38%	0.17%	0.39%	0.35%	0.52%	0.53%	0.32%	0.12%	0.38%	0.16%	0.17%	0.16%	0.0%	0.09%	0.34%	0.12%	0.20%	0.15%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	359	10	6	9	7	4	7	7	7	2	3	2	5	6	7	3	0	4	2	4	6	8	6	7	8	0	0	2	2	7	4	10	7	5	4	7	0	8	14	4	7	7	7	6	8	5	4	4	5	4	13	4	8	6	11	5	3	14	4	6	5	6	4	7	2					
		0.67%	0.83%	1.01%	0.86%	0.57%	0.41%	0.52%	0.99%	1.27%	0.41%	0.72%	0.50%	0.65%	0.65%	1.50%	0.76%	0.0%	1.18%	0.39%	0.33%	0.58%	0.79%	0.55%	0.69%	0.71%	0.0%	0.0%	0.55%	0.63%	1.95%	0.41%	0.87%	0.81%	0.56%	0.37%	0.77%	0.0%	0.90%	1.16%	0.71%	0.73%	0.85%	0.67%	0.47%	0.72%	0.54%	0.51%	0.35%	0.49%	0.47%	1.35%	0.43%	0.86%	0.72%	1.06%	0.81%	0.26%	1.16%	0.40%	0.57%	0.57%	0.74%	0.40%	1.05%	1.36%					
25	"8. ""Народно-республиканская партия России"""	51	0	0	0	1	1	0	4	1	1	1	1	0	0	0	0	0	0	2	2	1	0	0	0	1	1	2	0	2	0	1	0	2	1	2	2	0	3	0	0	1	0	1	2	0	1	0	0	3	1	0	0	2	1	0	0	0	1	4	1	0	0	0	0	1					
		0.09%	0.0%	0.0%	0.0%	0.08%	0.10%	0.0%	0.56%	0.18%	0.20%	0.24%	0.25%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.39%	0.16%	0.09%	0.0%	0.0%	0.0%	0.08%	0.28%	0.56%	0.0%	0.63%	0.0%	0.10%	0.0%	0.23%	0.11%	0.18%	0.22%	0.0%	0.33%	0.0%	0.0%	0.10%	0.0%	0.09%	0.15%	0.0%	0.10%	0.0%	0.0%	0.29%	0.11%	0.0%	0.0%	0.21%	0.12%	0.0%	0.0%	0.0%	0.08%	0.40%	0.09%	0.0%	0.0%	0.0%	0.0%	0.68%					
26	"9. ""Российская экологическая партия ""Зеленые"""	246	4	5	3	7	1	7	0	0	3	1	2	4	4	0	9	1	1	1	0	2	5	4	7	5	1	0	2	0	2	3	6	3	6	5	8	0	3	5	1	3	5	10	7	4	7	8	8	4	3	3	9	4	5	11	5	3	2	3	8	1	5	4	3	0					
