Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																				
Дата голосования: 02.12.2007																																																																				
																																																																				
Наименование Избирательной комиссии:    Мишкинская																																																																				
																																																																				
Сводная таблица результатов выборов																																																																				
																																																																				
		Сумма	УИК №2695	УИК №2696	УИК №2697	УИК №2698	УИК №2699	УИК №2700	УИК №2701	УИК №2702	УИК №2703	УИК №2704	УИК №2705	УИК №2706	УИК №2707	УИК №2708	УИК №2709	УИК №2710	УИК №2711	УИК №2712	УИК №2713	УИК №2714	УИК №2715	УИК №2716	УИК №2717	УИК №2718	УИК №2719	УИК №2720	УИК №2721	УИК №2722	УИК №2723	УИК №2724	УИК №2725	УИК №2726	УИК №2727	УИК №2728	УИК №2729	УИК №2730	УИК №2731	УИК №2732	УИК №2733	УИК №2734	УИК №2735	УИК №2736	УИК №2737	УИК №2738	УИК №2739	УИК №2740	УИК №2741	УИК №2742	УИК №2743	УИК №2744	УИК №2745	УИК №2746	УИК №2747	УИК №2748	УИК №2749	УИК №2750	УИК №2751	УИК №2752	УИК №2753	УИК №2754	УИК №2755					
1	"Число избирателей, внесенных в списки избирателей"	17811	232	151	288	196	265	238	179	297	369	121	128	347	927	467	809	478	488	505	499	297	396	112	43	351	404	182	370	124	88	126	232	471	301	153	339	377	129	104	221	163	343	184	359	362	442	736	304	337	119	363	247	96	341	314	151	126	124	169	169	429	129					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	19119	234	168	305	196	289	252	183	317	388	129	129	360	908	478	864	520	521	507	520	329	430	113	50	378	435	202	396	128	92	130	297	519	328	172	364	397	139	124	240	163	394	218	386	396	460	772	308	368	126	385	283	112	397	364	158	128	146	208	199	477	140					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	16612	208	140	270	180	237	228	164	290	343	113	115	300	844	455	764	464	481	481	465	283	376	108	41	334	379	147	349	111	80	123	220	427	284	144	287	368	128	100	200	152	314	175	344	319	416	708	302	321	113	346	221	87	307	289	132	120	111	151	141	400	112					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	905	23	8	15	16	28	8	11	5	22	6	12	31	64	10	21	8	5	3	24	13	4	4	2	5	18	31	17	13	7	3	12	31	13	7	44	9	0	4	16	8	25	7	7	39	20	24	0	14	4	10	13	8	29	17	15	3	13	15	25	24	12					
6	Число погашенных избирательных бюллетеней	1602	3	20	20	0	24	16	8	22	23	10	2	29	0	13	79	48	35	23	31	33	50	1	7	39	38	24	30	4	5	4	65	61	31	21	33	20	11	20	24	3	55	36	35	38	24	40	6	33	9	29	49	17	61	58	11	5	22	42	33	53	16					
7	Число избирательных бюллетеней в переносных ящиках для голосования	905	23	8	15	16	28	8	11	5	22	6	12	31	64	10	21	8	5	3	24	13	4	4	2	5	18	31	17	13	7	3	12	31	13	7	44	9	0	4	16	8	25	7	7	39	20	24	0	14	4	10	13	8	29	17	15	3	13	15	25	24	12					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	16612	208	140	270	180	237	228	164	290	343	113	115	300	844	455	764	464	481	481	465	283	376	108	41	334	379	147	349	111	80	123	220	427	284	144	287	368	128	100	200	152	314	175	344	319	416	708	302	321	113	346	221	87	307	289	132	120	111	151	141	400	112					
9	Число недействительных избирательных бюллетеней	63	0	0	5	0	0	0	0	0	0	0	0	1	0	1	1	2	0	1	5	0	0	2	0	0	2	0	0	2	0	2	0	0	1	0	15	0	0	0	2	0	1	0	0	0	0	2	0	3	2	1	0	0	0	3	2	1	0	4	1	1	0					
10	Число действительных избирательных бюллетеней	17454	231	148	280	196	265	236	175	295	365	119	127	330	908	464	784	470	486	483	484	296	380	110	43	339	395	178	366	122	87	124	232	458	296	151	316	377	128	104	214	160	338	182	351	358	436	730	302	332	115	355	234	95	336	303	145	122	124	162	165	423	124					
