Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																			
Дата голосования: 04.12.2011																																																																			
																																																																			
Наименование Избирательной комиссии:    Мишкинская																																																																			
																																																																			
Сводная таблица результатов выборов																																																																			
																																																																			
		Сумма	УИК №2686	УИК №2687	УИК №2688	УИК №2689	УИК №2690	УИК №2691	УИК №2692	УИК №2693	УИК №2694	УИК №2695	УИК №2696	УИК №2697	УИК №2698	УИК №2699	УИК №2700	УИК №2701	УИК №2702	УИК №2703	УИК №2704	УИК №2705	УИК №2706	УИК №2707	УИК №2708	УИК №2709	УИК №2710	УИК №2711	УИК №2712	УИК №2713	УИК №2714	УИК №2715	УИК №2716	УИК №2717	УИК №2718	УИК №2719	УИК №2720	УИК №2721	УИК №2722	УИК №2723	УИК №2724	УИК №2725	УИК №2726	УИК №2727	УИК №2728	УИК №2729	УИК №2730	УИК №2731	УИК №2732	УИК №2733	УИК №2734	УИК №2735	УИК №2736	УИК №2737	УИК №2738	УИК №2739	УИК №2740	УИК №2741	УИК №2742	УИК №2743	УИК №2744	УИК №2745					
1	"Число избирателей, внесенных в список избирателей"	17115	170	273	264	181	198	143	269	266	313	104	322	123	697	772	632	599	599	543	530	159	217	127	279	147	480	218	159	370	346	386	238	99	327	106	67	100	311	348	127	285	190	336	356	417	688	261	287	334	101	130	309	327	94	235	187	180	114	112	431	132					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	18526	170	280	280	190	220	140	300	270	350	100	330	130	730	780	800	620	630	580	550	160	250	130	300	150	560	300	170	400	360	500	300	120	330	106	70	100	300	350	130	360	200	400	420	450	720	280	300	360	110	130	320	350	100	250	200	200	120	120	450	150					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	15137	143	248	234	165	165	131	228	253	288	94	277	111	657	717	569	581	578	523	486	149	191	122	263	135	409	204	133	343	269	308	206	91	301	92	51	90	250	335	123	252	177	308	317	304	435	251	261	297	92	97	278	252	78	186	155	164	108	101	398	113					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1236	23	21	26	13	30	9	39	9	19	6	34	10	27	39	44	8	10	9	32	10	18	3	10	10	40	8	23	20	55	48	29	7	22	13	14	10	45	13	0	19	9	20	36	40	74	6	19	23	9	19	13	20	14	19	31	11	5	11	21	11					
6	Число погашенных избирательных бюллетеней	2153	4	11	20	12	25	0	33	8	43	0	19	9	46	24	187	31	42	48	32	1	41	5	27	5	111	88	14	37	36	144	65	22	7	1	5	0	5	2	7	89	14	72	67	106	211	23	20	40	9	14	29	78	8	45	14	25	7	8	31	26					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1236	23	21	26	13	30	9	39	9	19	6	34	10	27	39	44	8	10	9	32	10	18	3	10	10	40	8	23	20	55	48	29	7	22	13	14	10	45	13	0	19	9	20	36	40	74	6	19	23	9	19	13	20	14	19	31	11	5	11	21	11					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	15136	143	248	234	165	165	131	228	253	288	94	277	111	657	716	569	581	578	523	486	149	191	122	263	135	409	204	133	343	269	308	206	91	301	92	51	90	250	335	123	252	177	308	317	304	435	251	261	297	92	97	278	252	78	186	155	164	108	101	398	113					
9	Число недействительных избирательных бюллетеней	138	0	2	0	0	0	0	2	0	0	0	0	0	0	2	11	6	1	1	5	7	5	2	0	1	1	17	9	2	0	3	0	0	0	0	0	0	0	7	0	3	9	0	0	4	2	0	9	0	0	3	10	2	0	7	1	0	1	0	3	0					
10	Число действительных избирательных бюллетеней	16234	166	267	260	178	195	140	265	262	307	100	311	121	684	753	602	583	587	531	513	152	204	123	273	144	448	195	147	361	324	353	235	98	323	105	65	100	295	341	123	268	177	328	353	340	507	257	271	320	101	113	281	270	92	198	185	175	112	112	416	124					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1898	26	45	30	20	23	15	30	35	55	30	35	7	36	60	144	45	15	20	35	5	34	5	17	15	40	10	32	30	55	20	6	5	50	20	20	20	15	45	10	15	25	22	65	30	95	25	35	28	12	30	70	60	15	55	25	21	25	30	40	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1897	26	45	30	20	23	15	30	35	55	30	35	7	36	60	144	45	15	20	35	5	34	5	17	15	40	10	32	30	55	20	6	5	50	20	20	20	15	45	10	15	25	22	65	30	95	25	35	28	12	30	70	60	14	55	25	21	25	30	40	15					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	255	3	6	2	3	1	0	2	0	1	2	1	2	3	11	21	8	4	5	3	0	0	8	4	0	9	2	8	1	8	13	16	13	1	4	3	10	0	3	1	7	4	5	0	2	6	3	2	7	3	2	10	1	4	4	2	0	0	1	9	1					
14	Число погашенных неиспользованных открепительных удостоверений	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1102	3	7	2	13	14	1	20	3	16	0	4	0	0	13	25	8	9	3	21	8	11	12	23	0	50	79	15	24	27	124	95	38	5	0	0	3	0	0	0	84	5	71	20	35	25	23	17	31	10	1	16	8	11	10	10	2	6	11	26	4					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																			
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	503	2	7	2	3	2	1	2	7	12	5	15	0	13	29	48	12	8	5	20	2	9	4	11	1	21	2	1	2	23	5	0	1	2	1	0	2	8	7	4	29	4	3	3	19	50	4	6	5	1	4	19	15	2	7	0	7	7	2	17	0					
		3.07%	1.20%	2.60%	0.77%	1.69%	1.03%	0.71%	0.75%	2.67%	3.91%	5.00%	4.82%	0.00%	1.90%	3.84%	7.83%	2.04%	1.36%	0.94%	3.86%	1.26%	4.31%	3.20%	4.03%	0.69%	4.68%	0.94%	0.64%	0.55%	7.10%	1.40%	0.00%	1.02%	0.62%	0.95%	0.00%	2.00%	2.71%	2.01%	3.25%	10.70%	2.15%	0.91%	0.85%	5.52%	9.82%	1.56%	2.14%	1.56%	0.99%	3.45%	6.53%	5.51%	2.17%	3.41%	0.00%	4.00%	6.19%	1.79%	4.06%	0.00%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	529	3	5	3	7	0	1	3	12	7	3	13	3	13	19	26	10	10	8	28	2	13	8	7	8	23	10	3	3	8	14	7	2	3	0	2	1	6	7	2	22	9	2	4	18	35	2	15	5	2	2	22	24	6	15	2	4	4	7	16	10					
